;race_idx;race_name;ALO;BOT;BUT;ERI;GRO;GUT;HAM;HAR;HUL;KVY;MAG;MAS;NAS;PAL;PER;RAI;RIC;ROS;SAI;VER;VET;WEH
0;1;AUS;ab;8;14;ab;6;ab;2;ab;7;np;12;5;15;11;13;ab;4;1;9;10;3;16
1;2;BHR;f;9;ab;12;5;ab;3;17;15;7;11;8;14;np;16;2;4;1;ab;6;np;13
2;3;CHN;12;10;13;16;19;14;7;21;15;3;17;6;20;22;11;5;4;1;9;8;2;18
3;4;RUS;6;4;10;14;8;17;2;ab;ab;15;7;5;16;13;9;3;11;1;12;ab;ab;18
4;5;ESP;ab;5;9;12;ab;11;ab;17;ab;10;15;8;14;13;7;2;4;ab;6;1;3;16
5;6;MCO;5;12;9;ab;13;11;1;15;6;ab;ab;10;ab;ab;3;ab;2;7;8;ab;4;14
6;7;CAN;11;3;ab;15;14;13;1;19;8;12;16;ab;18;ab;10;6;7;5;9;4;2;17
7;8;EUR;ab;6;11;17;13;16;5;18;9;ab;14;10;12;15;3;4;7;1;ab;8;2;ab
8;9;AUT;18;9;6;15;7;11;1;16;19;ab;14;20;13;12;17;3;5;4;8;2;ab;10
9;10;GBR;13;14;12;ab;ab;16;1;ab;7;10;17;11;15;ab;6;5;4;3;8;2;9;ab
10;11;HUN;7;9;ab;20;14;13;1;21;10;16;15;18;17;12;11;6;3;2;8;5;4;19
11;12;DEU;12;9;8;18;13;11;1;20;7;15;16;ab;ab;19;10;6;2;4;14;3;5;17
12;13;BEL;7;8;ab;ab;13;12;3;-;4;14;ab;10;17;15;5;9;2;1;ab;11;6;ab
13;14;ITA;14;6;12;16;11;13;2;-;10;ab;17;9;ab;ab;8;4;5;1;15;7;3;ab
14;15;SGP;7;ab;ab;17;np;11;3;-;ab;9;10;12;13;15;8;4;2;1;14;6;5;16
15;16;MYS;7;5;9;12;ab;ab;ab;-;8;14;ab;13;ab;10;6;4;1;3;11;2;ab;15
16;17;JPN;16;10;18;15;11;20;3;-;8;13;14;9;19;12;7;5;6;1;17;2;4;22
17;18;USA;5;16;9;14;10;ab;1;-;ab;11;12;7;15;13;8;ab;3;2;6;ab;4;17
18;19;MEX;13;8;12;11;20;19;1;-;7;18;17;9;15;14;10;6;3;2;16;4;5;ab
19;20;BRA;10;11;16;ab;np;ab;1;-;7;13;14;ab;9;ab;4;ab;8;2;6;3;5;15
20;21;ABD;10;ab;ab;15;11;12;1;-;7;ab;ab;9;16;17;8;6;5;2;ab;4;3;14
