;race_idx;race_name;ALO;BOT;BUT;ERI;GRO;GUT;HAM;HAR;HUL;KVY;MAG;MAS;NAS;PAL;PER;RAI;RIC;ROS;SAI;VER;VET;WEH
0;1;AUS;12;11;13;16;19;20;1;21;10;18;15;6;17;14;9;4;8;2;7;5;3;22
1;2;BHR;-;6;14;17;9;13;1;21;8;15;19;7;22;20;18;4;5;2;11;10;3;16
2;3;CHN;12;5;13;15;14;18;22;20;10;6;17;11;16;19;7;3;2;1;8;9;4;21
3;4;RUS;14;3;12;22;15;16;10;21;13;8;17;5;19;18;7;4;6;1;11;9;2;20
4;5;ESP;10;7;12;19;14;16;1;22;11;13;15;18;20;17;9;5;3;2;8;4;6;21
5;6;MCO;10;11;13;17;15;12;3;19;5;9;16;14;22;18;8;6;1;2;7;21;4;20
6;7;CAN;10;7;12;19;15;14;1;21;9;13;22;8;20;17;11;6;4;2;16;5;3;18
7;8;EUR;14;8;19;20;11;15;10;17;12;7;21;6;16;22;2;5;3;1;13;9;4;18
8;9;AUT;14;8;5;21;13;11;1;19;3;20;17;10;22;18;16;6;7;2;15;9;4;12
9;10;GBR;10;7;17;22;13;14;1;19;9;15;16;12;21;18;11;5;4;2;8;3;6;20
10;11;HUN;7;10;8;20;11;15;2;22;9;12;19;18;16;17;13;14;3;1;6;4;5;21
11;12;DEU;14;8;12;22;15;11;2;20;7;19;17;10;21;16;9;5;3;1;13;4;6;18
12;13;BEL;22;8;9;20;11;13;21;-;7;19;12;10;17;14;6;3;5;1;15;2;4;16
13;14;ITA;13;5;15;19;12;10;1;-;9;17;21;11;18;20;8;4;6;2;16;7;3;14
14;15;SGP;9;11;13;16;15;14;3;-;8;7;17;12;18;19;10;5;2;1;6;4;22;20
15;16;MYS;22;11;9;17;12;13;1;-;8;15;14;10;18;19;7;6;4;2;16;3;5;21
16;17;JPN;15;11;17;19;8;10;2;-;9;13;18;12;20;16;7;3;6;1;14;5;4;22
17;18;USA;12;8;19;16;17;14;1;-;7;13;18;9;21;15;11;5;3;2;10;4;6;20
18;19;MEX;11;8;13;15;21;17;1;-;5;18;14;9;19;22;12;6;4;2;10;3;7;16
19;20;BRA;10;11;17;21;7;12;1;-;8;14;18;13;22;16;9;3;6;2;15;4;5;19
20;21;ABD;9;11;12;22;14;13;1;-;7;17;18;10;19;15;8;4;3;2;21;6;5;16
