;race_idx;race_name;ALE;ALO;BAR;BER;BUR;BUT;COU;DLR;FIS;FRE;HAK;HEI;IRV;MAR;MON;PAN;RAI;MSC;RSC;TRU;VER;VIL
0;1;AUS;14;19;2;18;21;16;6;-;17;4;3;10;12;22;11;9;13;1;5;7;15;8
1;2;MYS;13;22;2;19;15;17;8;-;16;9;4;11;12;21;6;10;14;1;3;5;18;7
2;3;BRA;15;19;6;16;14;20;5;-;18;8;3;9;13;22;4;11;10;1;2;7;17;12
3;4;SMR;14;18;6;16;15;21;1;-;19;9;2;12;13;22;7;8;10;4;3;5;17;11
4;5;ESP;15;18;4;16;14;21;3;20;19;8;2;10;13;22;12;11;9;1;5;6;17;7
5;6;AUT;20;18;4;15;17;21;7;14;19;11;8;6;13;22;2;10;9;1;3;5;16;12
6;7;MCO;11;18;4;20;21;17;1;14;10;13;3;16;6;22;7;12;15;2;5;8;19;9
7;8;CAN;16;21;5;17;19;20;3;14;18;-;8;11;15;22;10;6;7;1;2;4;13;9
8;9;EUR;14;21;4;18;17;20;5;16;15;8;6;10;12;22;3;13;9;1;2;7;19;11
9;10;FRA;19;21;8;20;15;17;3;14;16;7;4;9;12;22;6;11;13;2;1;5;18;10
10;11;GBR;14;21;6;20;16;18;3;13;19;5;2;9;15;22;8;11;7;1;10;4;17;12
11;12;DEU;14;21;6;19;16;18;5;9;17;-;3;7;11;22;1;13;8;4;2;10;20;12
12;13;HUN;12;18;3;20;19;17;2;13;15;16;6;7;14;22;8;11;9;1;4;5;21;10
13;14;BEL;13;20;5;21;18;15;9;10;8;4;7;14;17;22;1;11;12;3;2;16;19;6
14;15;ITA;16;21;2;18;-;11;6;10;14;12;7;8;13;-;1;17;9;3;4;5;19;15
15;16;USA;9;17;5;19;-;10;7;16;12;15;4;6;14;-;3;13;11;1;2;8;20;18
16;17;JPN;11;18;4;20;-;9;7;16;6;15;5;10;13;-;2;17;12;1;3;8;21;14
