;sc;HAM;RAI;KOV;ALO;MAS;KUB;TRU;GLO;VET;BOU;COU;PIQ;WEB;NAK;ROS;HEI;BAR;BUT;SUT;FIS
0;0;6;7;3;2;5;1;4;10;12;9;ab;8;17;19;18;15;14;11;13;16
1;0;18;5;3;2;7;1;4;8;11;6;ab;9;15;19;17;14;13;10;12;16
2;0;18;5;3;2;7;1;4;8;10;6;ab;9;14;19;17;15;13;12;11;16
3;0;18;5;3;2;7;1;4;8;10;6;ab;9;14;19;17;13;15;12;11;16
4;0;18;5;3;2;7;1;4;11;9;6;ab;8;14;19;17;13;15;12;10;16
5;0;17;5;3;2;7;1;4;19;9;6;ab;8;12;18;16;11;14;13;10;15
6;0;17;5;3;2;7;1;4;ab;9;6;ab;8;12;18;16;11;14;13;10;15
7;0;17;4;3;2;7;1;5;ab;9;6;ab;8;12;18;16;11;14;13;10;15
8;0;16;4;3;2;7;1;5;ab;9;6;ab;8;10;17;15;11;12;13;ab;14
9;0;16;4;3;2;7;1;5;ab;9;6;ab;8;10;17;14;11;12;15;ab;13
10;0;16;4;3;2;7;1;5;ab;9;6;ab;8;10;17;14;11;12;15;ab;13
11;0;16;4;3;2;7;1;5;ab;9;6;ab;8;10;17;14;11;12;15;ab;13
12;0;16;4;3;2;7;1;5;ab;9;6;ab;8;10;17;14;11;12;15;ab;13
13;0;16;4;3;2;7;1;5;ab;9;6;ab;8;10;17;14;11;12;15;ab;13
14;0;16;4;3;2;7;1;5;ab;9;6;ab;8;10;17;13;11;12;15;ab;14
15;0;16;4;3;2;7;1;5;ab;9;6;ab;8;10;17;13;11;12;15;ab;14
16;0;15;3;ab;1;6;2;4;ab;8;5;ab;7;9;16;12;10;11;14;ab;13
17;0;15;8;ab;1;6;7;2;ab;5;3;ab;4;9;16;12;10;11;14;ab;13
18;0;15;7;ab;5;11;6;1;ab;4;2;ab;3;8;16;12;9;10;14;ab;13
19;0;15;7;ab;5;14;6;1;ab;4;2;ab;3;8;16;11;9;10;13;ab;12
20;0;15;7;ab;5;14;6;1;ab;4;2;ab;3;8;16;11;9;10;12;ab;13
21;0;14;6;ab;4;13;5;8;ab;3;1;ab;2;7;15;11;9;10;12;ab;ab
22;0;14;6;ab;4;13;5;8;ab;3;1;ab;2;7;15;11;9;10;12;ab;ab
23;0;14;5;ab;3;13;4;7;ab;8;1;ab;2;6;15;11;9;10;12;ab;ab
24;0;14;5;ab;3;13;4;7;ab;8;2;ab;1;6;15;11;9;10;12;ab;ab
25;0;14;4;ab;2;13;3;6;ab;8;7;ab;1;5;15;11;9;10;12;ab;ab
26;0;14;4;ab;2;13;3;6;ab;8;7;ab;1;5;15;11;9;10;12;ab;ab
27;0;14;4;ab;2;13;3;6;ab;8;7;ab;1;5;15;10;9;11;12;ab;ab
28;0;14;3;ab;1;12;2;5;ab;8;7;ab;6;4;15;10;9;11;13;ab;ab
29;0;14;3;ab;1;12;2;5;ab;8;7;ab;6;4;15;10;9;11;13;ab;ab
30;0;14;3;ab;1;12;2;5;ab;8;7;ab;6;4;15;10;9;11;13;ab;ab
31;0;14;3;ab;1;12;2;5;ab;8;7;ab;6;4;15;10;9;11;13;ab;ab
32;0;14;3;ab;1;12;2;5;ab;8;7;ab;6;4;15;10;9;11;13;ab;ab
33;0;13;3;ab;1;12;2;4;ab;8;7;ab;6;5;15;10;9;11;14;ab;ab
34;0;13;3;ab;1;12;2;4;ab;7;6;ab;5;10;15;9;8;11;14;ab;ab
35;0;13;3;ab;1;12;2;4;ab;7;6;ab;5;10;15;9;8;11;14;ab;ab
36;0;13;3;ab;1;12;2;4;ab;7;6;ab;5;10;15;9;8;11;14;ab;ab
37;0;13;3;ab;1;11;2;4;ab;7;6;ab;5;10;15;9;8;12;14;ab;ab
38;0;12;3;ab;1;11;2;4;ab;7;6;ab;5;10;15;9;8;13;14;ab;ab
39;0;12;3;ab;1;10;2;4;ab;7;6;ab;5;11;15;9;8;13;14;ab;ab
40;0;13;3;ab;1;9;2;4;ab;7;6;ab;5;10;15;8;11;12;14;ab;ab
41;0;12;3;ab;1;9;2;4;ab;7;6;ab;5;10;15;8;11;13;14;ab;ab
42;0;12;3;ab;1;8;2;4;ab;7;6;ab;5;9;15;11;10;13;14;ab;ab
43;0;12;2;ab;6;8;1;3;ab;7;5;ab;4;9;15;11;10;13;14;ab;ab
44;0;12;2;ab;6;8;1;3;ab;7;5;ab;4;9;15;11;10;13;14;ab;ab
45;0;12;1;ab;6;8;2;3;ab;7;5;ab;4;9;15;11;10;13;14;ab;ab
46;0;12;1;ab;5;8;7;2;ab;6;4;ab;3;9;15;11;10;13;14;ab;ab
47;0;12;1;ab;5;8;7;2;ab;6;4;ab;3;9;15;11;10;13;14;ab;ab
48;0;12;7;ab;4;8;6;1;ab;5;3;ab;2;9;15;11;10;13;14;ab;ab
49;0;12;7;ab;4;8;6;2;ab;5;3;ab;1;9;15;11;10;13;14;ab;ab
50;0;12;5;ab;2;8;4;6;ab;3;7;ab;1;9;15;11;10;13;14;ab;ab
51;0;12;4;ab;2;7;3;5;ab;8;6;ab;1;9;15;11;10;13;14;ab;ab
52;0;12;3;ab;1;8;2;5;ab;7;6;ab;4;9;15;11;10;13;14;ab;ab
53;0;12;3;ab;1;10;2;5;ab;7;6;ab;4;8;15;11;9;13;14;ab;ab
54;0;12;3;ab;1;10;2;5;ab;7;6;ab;4;8;15;11;9;13;14;ab;ab
55;0;12;3;ab;1;10;2;5;ab;7;6;ab;4;8;15;11;9;13;14;ab;ab
56;0;12;3;ab;1;10;2;5;ab;7;6;ab;4;8;15;11;9;13;14;ab;ab
57;0;12;3;ab;1;10;2;5;ab;7;6;ab;4;8;15;11;9;13;14;ab;ab
58;0;12;3;ab;1;10;2;5;ab;7;6;ab;4;8;15;11;9;13;14;ab;ab
59;0;12;3;ab;1;9;2;5;ab;7;6;ab;4;8;15;11;10;13;14;ab;ab
60;0;12;3;ab;1;9;2;5;ab;7;6;ab;4;8;15;11;10;13;14;ab;ab
61;0;12;3;ab;1;9;2;5;ab;7;6;ab;4;8;15;11;10;13;14;ab;ab
62;0;12;3;ab;1;9;2;5;ab;7;6;ab;4;8;15;11;10;13;14;ab;ab
63;0;12;3;ab;1;9;2;5;ab;7;6;ab;4;8;15;11;10;13;14;ab;ab
64;0;12;3;ab;1;8;2;5;ab;7;6;ab;4;9;15;11;10;13;14;ab;ab
65;0;12;3;ab;1;8;2;5;ab;7;6;ab;4;9;15;11;10;13;14;ab;ab
66;0;12;3;ab;1;8;2;5;ab;7;6;ab;4;9;15;11;10;13;14;ab;ab
