;sc;RAI;ALO;MAS;KUB;HAM;KOV;WEB;TRU;HEI;PIQ;BAR;NAK;BUT;GLO;ROS;BOU;COU;VET;FIS;SUT;DAV;SAT
41;0;1;ab;2;4;3;ab;5;6;12;ab;ab;7;9;11;ab;ab;10;ab;8;ab;ab;13
42;0;1;ab;2;4;3;ab;5;6;12;ab;ab;7;9;11;ab;ab;10;ab;8;ab;ab;13
43;0;1;ab;2;4;3;ab;5;6;12;ab;ab;7;8;11;ab;ab;9;ab;10;ab;ab;13
44;0;1;ab;2;4;3;ab;5;6;11;ab;ab;7;8;10;ab;ab;9;ab;12;ab;ab;13
45;0;1;ab;2;4;3;ab;5;6;12;ab;ab;7;8;10;ab;ab;9;ab;11;ab;ab;13
46;0;1;ab;4;3;2;ab;7;10;12;ab;ab;5;6;9;ab;ab;8;ab;11;ab;ab;13
47;0;1;ab;2;4;3;ab;7;10;12;ab;ab;5;6;9;ab;ab;8;ab;11;ab;ab;13
48;0;1;ab;2;4;3;ab;7;10;12;ab;ab;5;6;9;ab;ab;8;ab;11;ab;ab;13
49;0;1;ab;2;4;3;ab;7;10;12;ab;ab;5;6;9;ab;ab;8;ab;11;ab;ab;13
50;0;1;ab;2;4;3;ab;7;10;12;ab;ab;6;5;9;ab;ab;8;ab;11;ab;ab;13
51;0;1;ab;2;4;3;ab;6;8;12;ab;ab;9;5;10;ab;ab;7;ab;11;ab;ab;13
52;0;1;ab;2;4;3;ab;6;7;12;ab;ab;8;5;11;ab;ab;9;ab;10;ab;ab;13
53;0;1;ab;2;4;3;ab;6;8;10;ab;ab;7;5;11;ab;ab;12;ab;9;ab;ab;13
54;0;1;ab;2;4;3;ab;5;8;9;ab;ab;7;6;11;ab;ab;13;ab;10;ab;ab;12
55;0;1;ab;2;4;3;ab;5;8;9;ab;ab;7;6;11;ab;ab;13;ab;10;ab;ab;12
56;0;1;ab;2;4;3;ab;5;8;9;ab;ab;7;6;11;ab;ab;13;ab;10;ab;ab;12
57;0;1;ab;2;4;3;ab;5;8;9;ab;ab;7;6;11;ab;ab;13;ab;10;ab;ab;12
58;0;1;ab;2;4;3;ab;5;8;9;ab;ab;7;6;11;ab;ab;13;ab;10;ab;ab;12
59;0;1;ab;2;4;3;ab;5;8;9;ab;ab;7;6;11;ab;ab;13;ab;10;ab;ab;12
60;0;1;ab;2;4;3;ab;5;8;9;ab;ab;7;6;11;ab;ab;12;ab;10;ab;ab;13
61;0;1;ab;2;4;3;ab;5;8;9;ab;ab;7;6;11;ab;ab;12;ab;10;ab;ab;13
62;0;1;ab;2;4;3;ab;5;8;9;ab;ab;7;6;11;ab;ab;12;ab;10;ab;ab;13
63;0;1;ab;2;4;3;ab;5;8;9;ab;ab;7;6;11;ab;ab;12;ab;10;ab;ab;13
64;0;1;ab;2;4;3;ab;5;8;9;ab;ab;7;6;11;ab;ab;12;ab;10;ab;ab;13
65;0;1;ab;2;4;3;ab;5;8;9;ab;ab;7;6;11;ab;ab;12;ab;10;ab;ab;ab
