;sc;MAS;RAI;HAM;KOV;KUB;ROS;ALO;TRU;WEB;GLO;BUT;HEI;NAK;BAR;COU;BOU;PIQ;SUT;VET;FIS
66;1;3;5;1;10;2;ab;11;14;6;13;12;15;9;8;ab;ab;ab;4;7;ab
67;0;3;8;1;9;2;ab;10;13;4;12;11;14;7;6;ab;ab;ab;ab;5;ab
68;0;3;9;1;8;2;ab;10;13;4;12;11;14;7;6;ab;ab;ab;ab;5;ab
69;0;3;9;1;8;2;ab;10;13;4;12;11;14;7;6;ab;ab;ab;ab;5;ab
70;0;3;9;1;8;2;ab;10;13;4;12;11;14;7;6;ab;ab;ab;ab;5;ab
71;0;3;9;1;8;2;ab;10;13;4;12;11;14;7;6;ab;ab;ab;ab;5;ab
72;0;3;9;1;8;2;ab;10;13;4;12;11;14;7;6;ab;ab;ab;ab;5;ab
73;0;3;9;1;8;2;ab;10;13;4;12;11;14;7;6;ab;ab;ab;ab;5;ab
74;0;3;9;1;8;2;ab;10;13;4;12;11;14;7;6;ab;ab;ab;ab;5;ab
75;0;3;9;1;8;2;ab;10;13;4;12;11;14;7;6;ab;ab;ab;ab;5;ab
