;sc;MSC;COU;BAR;HAK;FRE;VIL;TRU;ZON;DLR;FIS;HER;RSC;VER;WUR;SAL;IRV;ALE;BUT;DIN;GEN;HEI;MAZ
22;0;1;9;3;4;5;2;7;6;14;10;ab;11;8;13;15;21;12;18;16;19;17;20
23;0;1;11;3;4;5;2;6;7;13;8;ab;9;19;12;14;21;10;17;15;18;16;20
24;0;1;11;2;4;5;3;6;7;13;8;ab;9;19;12;14;21;10;17;15;18;16;20
25;0;1;11;2;4;5;3;6;7;13;8;ab;9;19;12;14;21;10;17;15;18;16;20
26;0;1;11;2;4;6;3;5;7;13;8;ab;9;19;12;14;21;10;17;15;18;16;20
27;0;1;11;2;4;6;3;5;7;13;8;ab;9;19;12;14;21;10;17;15;18;16;20
28;0;1;11;2;4;6;3;5;7;13;8;ab;9;19;12;14;21;10;17;15;18;16;20
29;0;1;11;2;4;6;3;5;7;13;8;ab;9;19;12;14;21;10;17;15;18;16;20
30;0;1;11;2;4;6;3;5;7;13;8;ab;9;19;12;14;21;10;17;15;18;16;20
31;0;1;11;2;4;7;3;5;6;13;8;ab;9;19;12;14;21;10;17;15;18;16;20
32;0;1;10;2;4;ab;3;5;6;12;7;ab;8;18;11;13;20;9;16;14;17;15;19
33;0;1;10;2;4;ab;3;5;6;12;7;ab;8;17;11;13;20;9;15;14;16;19;18
34;0;2;10;1;3;ab;4;5;6;12;7;ab;8;17;11;13;19;9;15;14;16;ab;18
35;0;2;9;1;3;ab;4;5;6;11;7;ab;8;16;10;12;19;18;14;13;15;ab;17
36;0;2;9;1;3;ab;4;5;6;11;7;ab;8;16;10;12;19;18;14;13;15;ab;17
37;0;2;9;1;3;ab;4;5;6;11;7;ab;8;16;10;12;19;17;14;13;15;ab;18
38;0;2;8;1;3;ab;4;13;5;10;6;ab;7;16;9;11;18;ab;14;12;15;ab;17
39;0;2;8;1;3;ab;4;11;5;15;6;ab;7;13;9;14;18;ab;12;10;16;ab;17
40;0;2;8;1;3;ab;4;11;5;14;6;ab;7;12;9;13;18;ab;15;10;16;ab;17
41;0;2;6;1;7;ab;3;9;4;14;5;ab;10;11;8;13;18;ab;15;12;16;ab;17
42;0;1;9;2;5;ab;3;7;8;13;4;ab;10;11;6;ab;17;ab;14;12;15;ab;16
43;0;1;8;2;3;ab;5;6;7;11;4;ab;9;13;12;ab;17;ab;15;10;14;ab;16
44;0;1;10;4;2;ab;7;5;11;13;3;ab;9;8;6;ab;17;ab;15;12;14;ab;16
45;0;1;10;3;4;ab;7;5;11;13;2;ab;9;8;6;ab;17;ab;15;12;14;ab;16
46;0;1;9;2;4;ab;10;5;11;12;3;ab;8;7;6;ab;17;ab;15;13;14;ab;16
47;0;1;9;2;4;ab;10;5;11;12;3;ab;8;7;6;ab;17;ab;15;13;14;ab;16
48;0;1;9;2;4;ab;10;5;11;ab;3;ab;8;7;6;ab;16;ab;14;12;13;ab;15
49;0;1;9;2;4;ab;10;5;11;ab;3;ab;8;7;6;ab;16;ab;14;12;13;ab;15
50;0;1;9;2;4;ab;10;5;11;ab;3;ab;8;7;6;ab;16;ab;14;12;13;ab;15
51;0;1;9;2;4;ab;10;5;11;ab;3;ab;8;7;6;ab;16;ab;14;12;13;ab;15
52;0;1;9;2;4;ab;10;5;11;ab;3;ab;8;7;6;ab;16;ab;14;12;13;ab;15
53;0;1;9;2;4;ab;10;5;11;ab;3;ab;8;7;6;ab;16;ab;14;12;13;ab;15
54;0;1;9;2;4;ab;10;5;11;ab;3;ab;8;7;6;ab;16;ab;14;12;13;ab;15
55;0;1;9;2;4;ab;10;5;11;ab;3;ab;8;7;6;ab;16;ab;14;12;13;ab;15
56;0;1;9;2;4;ab;10;5;11;ab;3;ab;8;6;7;ab;16;ab;14;12;13;ab;15
57;0;1;9;2;4;ab;10;5;11;ab;3;ab;8;6;7;ab;16;ab;14;12;13;ab;15
58;0;1;9;2;4;ab;10;5;11;ab;3;ab;8;6;7;ab;16;ab;14;12;13;ab;15
59;0;1;9;2;4;ab;10;6;11;ab;3;ab;8;5;7;ab;16;ab;14;12;13;ab;15
60;0;1;9;2;4;ab;10;6;11;ab;3;ab;8;5;7;ab;16;ab;14;12;13;ab;15
61;0;1;9;2;4;ab;10;6;11;ab;3;ab;8;5;7;ab;16;ab;14;12;13;ab;15
62;0;1;9;2;4;ab;10;6;11;ab;3;ab;8;5;7;ab;16;ab;13;12;14;ab;15
63;0;1;9;2;4;ab;10;6;11;ab;3;ab;8;5;7;ab;16;ab;13;12;14;ab;15
64;0;1;8;2;4;ab;15;6;9;ab;3;ab;14;5;7;ab;13;ab;11;10;16;ab;12
65;0;1;8;2;4;ab;15;6;9;ab;3;ab;14;5;7;ab;13;ab;11;10;16;ab;12
66;0;1;8;2;4;ab;15;6;9;ab;3;ab;14;5;7;ab;13;ab;11;10;16;ab;12
67;0;1;7;2;4;ab;15;6;8;ab;3;ab;14;5;9;ab;13;ab;11;10;16;ab;12
68;0;1;7;2;4;ab;15;6;8;ab;3;ab;14;5;9;ab;13;ab;11;10;16;ab;12
