;sc;MSC;TRU;COU;FRE;HAK;BAR;ALE;FIS;RSC;IRV;HER;WUR;SAL;BUT;VER;DLR;VIL;HEI;DIN;ZON;GEN;MAZ
58;0;ab;ab;1;2;7;3;ab;4;ab;5;11;ab;6;ab;9;ab;8;10;ab;ab;ab;ab
59;0;ab;ab;1;2;7;3;ab;4;ab;5;11;ab;6;ab;9;ab;8;10;ab;ab;ab;ab
60;0;ab;ab;1;2;7;3;ab;4;ab;5;10;ab;6;ab;ab;ab;8;9;ab;ab;ab;ab
61;0;ab;ab;1;2;7;3;ab;4;ab;5;10;ab;6;ab;ab;ab;8;9;ab;ab;ab;ab
62;0;ab;ab;1;2;7;3;ab;4;ab;5;10;ab;6;ab;ab;ab;8;9;ab;ab;ab;ab
63;0;ab;ab;1;2;7;3;ab;4;ab;5;10;ab;6;ab;ab;ab;8;9;ab;ab;ab;ab
64;0;ab;ab;1;2;7;3;ab;4;ab;5;10;ab;6;ab;ab;ab;8;9;ab;ab;ab;ab
65;0;ab;ab;1;2;7;3;ab;4;ab;5;10;ab;6;ab;ab;ab;8;9;ab;ab;ab;ab
66;0;ab;ab;1;2;7;3;ab;4;ab;5;10;ab;6;ab;ab;ab;8;9;ab;ab;ab;ab
67;0;ab;ab;1;2;7;3;ab;4;ab;5;10;ab;6;ab;ab;ab;8;9;ab;ab;ab;ab
68;0;ab;ab;1;2;7;3;ab;4;ab;5;10;ab;6;ab;ab;ab;8;9;ab;ab;ab;ab
69;0;ab;ab;1;2;7;3;ab;4;ab;5;10;ab;6;ab;ab;ab;8;9;ab;ab;ab;ab
70;0;ab;ab;1;10;6;2;ab;3;ab;4;9;ab;5;ab;ab;ab;7;8;ab;ab;ab;ab
71;0;ab;ab;1;10;6;2;ab;3;ab;4;9;ab;5;ab;ab;ab;7;8;ab;ab;ab;ab
72;0;ab;ab;1;10;6;2;ab;3;ab;4;9;ab;5;ab;ab;ab;7;8;ab;ab;ab;ab
73;0;ab;ab;1;10;6;2;ab;3;ab;4;9;ab;5;ab;ab;ab;7;8;ab;ab;ab;ab
74;0;ab;ab;1;10;6;2;ab;3;ab;4;9;ab;5;ab;ab;ab;7;8;ab;ab;ab;ab
75;0;ab;ab;1;10;6;2;ab;3;ab;4;9;ab;5;ab;ab;ab;7;8;ab;ab;ab;ab
76;0;ab;ab;1;10;6;2;ab;3;ab;4;9;ab;5;ab;ab;ab;7;8;ab;ab;ab;ab
77;0;ab;ab;1;10;6;2;ab;3;ab;4;9;ab;5;ab;ab;ab;7;8;ab;ab;ab;ab
