;sc;HAK;COU;BAR;MSC;TRU;ZON;VIL;FIS;SAL;VER;DIN;DLR;HEI;WUR;FRE;HER;ALE;BUT;RSC;GEN;BUR;MAZ
57;0;1;2;3;ab;ab;11;4;ab;6;ab;10;ab;ab;9;ab;7;ab;5;ab;8;12;13
58;0;1;2;3;ab;ab;ab;4;ab;6;ab;10;ab;ab;9;ab;7;ab;5;ab;8;11;12
59;0;1;2;3;ab;ab;ab;4;ab;6;ab;10;ab;ab;9;ab;7;ab;5;ab;8;11;12
60;0;1;2;3;ab;ab;ab;4;ab;6;ab;10;ab;ab;9;ab;7;ab;5;ab;8;11;12
61;0;1;2;3;ab;ab;ab;4;ab;6;ab;10;ab;ab;9;ab;7;ab;5;ab;8;11;12
62;0;1;2;3;ab;ab;ab;4;ab;6;ab;10;ab;ab;9;ab;7;ab;5;ab;8;11;12
63;0;1;2;3;ab;ab;ab;4;ab;6;ab;10;ab;ab;9;ab;7;ab;5;ab;8;11;12
64;0;1;2;3;ab;ab;ab;4;ab;6;ab;10;ab;ab;9;ab;7;ab;5;ab;8;11;12
65;0;1;2;3;ab;ab;ab;4;ab;6;ab;10;ab;ab;9;ab;7;ab;5;ab;8;11;12
66;0;1;2;3;ab;ab;ab;4;ab;6;ab;10;ab;ab;9;ab;7;ab;5;ab;8;11;12
67;0;1;2;3;ab;ab;ab;4;ab;6;ab;10;ab;ab;9;ab;7;ab;5;ab;8;11;12
68;0;1;2;3;ab;ab;ab;4;ab;6;ab;10;ab;ab;9;ab;7;ab;5;ab;8;11;12
69;0;1;2;3;ab;ab;ab;4;ab;6;ab;9;ab;ab;10;ab;7;ab;5;ab;8;ab;12
70;0;1;2;3;ab;ab;ab;4;ab;6;ab;9;ab;ab;10;ab;7;ab;5;ab;8;ab;12
