;sc;COU;MSC;HAK;BAR;RSC;TRU;FIS;IRV;VIL;FRE;BUT;DLR;VER;WUR;DIN;HER;ALE;ZON;SAL;GEN;MAZ
26;0;3;1;2;5;9;ab;4;7;11;ab;14;6;8;15;18;10;12;16;13;17;19
27;0;3;1;2;5;9;ab;4;7;11;ab;13;6;8;14;17;10;12;15;ab;16;18
28;0;3;1;2;5;9;ab;4;7;11;ab;13;6;8;14;17;10;12;15;ab;16;18
29;0;3;1;2;5;ab;ab;4;ab;8;ab;10;6;ab;11;14;7;9;12;ab;13;15
30;0;3;1;2;5;ab;ab;4;ab;8;ab;10;6;ab;11;14;7;9;12;ab;13;15
31;0;3;1;2;4;ab;ab;5;ab;8;ab;10;6;ab;11;14;7;9;12;ab;13;15
32;0;3;1;2;4;ab;ab;5;ab;8;ab;9;6;ab;11;14;7;10;12;ab;13;15
33;0;3;1;2;6;ab;ab;4;ab;8;ab;9;5;ab;10;14;7;11;12;ab;13;15
34;0;3;1;2;6;ab;ab;4;ab;8;ab;9;5;ab;10;14;7;11;12;ab;13;15
35;0;3;2;1;6;ab;ab;4;ab;8;ab;9;5;ab;10;14;7;11;12;ab;13;15
36;0;3;2;1;6;ab;ab;4;ab;8;ab;9;5;ab;10;14;7;11;12;ab;13;15
37;0;3;2;1;6;ab;ab;4;ab;8;ab;9;5;ab;10;14;7;11;12;ab;13;15
38;0;3;2;1;6;ab;ab;4;ab;8;ab;9;5;ab;10;14;7;11;12;ab;13;15
39;0;3;2;1;5;ab;ab;6;ab;7;ab;10;4;ab;9;14;8;11;12;ab;13;15
40;0;3;2;1;5;ab;ab;6;ab;7;ab;9;4;ab;11;13;8;10;12;ab;14;15
41;0;3;2;1;5;ab;ab;6;ab;7;ab;9;4;ab;10;13;8;11;12;ab;15;14
42;0;3;2;1;5;ab;ab;6;ab;7;ab;9;4;ab;10;13;8;11;12;ab;15;14
43;0;3;2;1;5;ab;ab;6;ab;7;ab;9;4;ab;10;13;8;11;12;ab;14;15
44;0;3;2;1;5;ab;ab;6;ab;7;ab;9;4;ab;10;13;8;12;11;ab;14;15
45;0;5;1;2;4;ab;ab;6;ab;7;ab;9;3;ab;10;12;8;13;11;ab;14;15
46;0;5;1;2;4;ab;ab;6;ab;ab;ab;8;3;ab;9;11;7;12;10;ab;13;14
47;0;5;1;2;3;ab;ab;6;ab;ab;ab;8;4;ab;9;11;7;12;10;ab;ab;13
48;0;4;1;2;3;ab;ab;5;ab;ab;ab;8;6;ab;9;11;7;13;10;ab;ab;12
49;0;4;1;2;3;ab;ab;5;ab;ab;ab;8;6;ab;9;10;7;13;11;ab;ab;12
50;0;4;1;2;3;ab;ab;5;ab;ab;ab;8;6;ab;9;10;7;13;11;ab;ab;12
51;0;3;1;2;4;ab;ab;5;ab;ab;ab;8;6;ab;9;10;7;12;ab;ab;ab;11
52;0;3;1;2;4;ab;ab;5;ab;ab;ab;8;6;ab;9;10;7;12;ab;ab;ab;11
53;0;3;1;2;4;ab;ab;5;ab;ab;ab;8;6;ab;9;10;7;12;ab;ab;ab;11
54;0;3;1;2;4;ab;ab;5;ab;ab;ab;8;6;ab;9;10;7;12;ab;ab;ab;11
55;0;3;1;2;4;ab;ab;5;ab;ab;ab;8;6;ab;9;10;7;12;ab;ab;ab;11
56;0;3;1;2;4;ab;ab;5;ab;ab;ab;8;6;ab;9;10;7;12;ab;ab;ab;11
57;0;3;1;2;4;ab;ab;5;ab;ab;ab;8;6;ab;9;10;7;12;ab;ab;ab;11
58;0;3;1;2;4;ab;ab;5;ab;ab;ab;8;6;ab;9;10;7;12;ab;ab;ab;11
59;0;3;1;2;4;ab;ab;5;ab;ab;ab;8;6;ab;9;10;7;12;ab;ab;ab;11
60;0;3;1;2;4;ab;ab;5;ab;ab;ab;9;6;ab;8;10;7;12;ab;ab;ab;11
61;0;3;1;2;4;ab;ab;5;ab;ab;ab;7;6;ab;12;8;11;10;ab;ab;ab;9
62;0;3;1;2;4;ab;ab;5;ab;ab;ab;10;6;ab;12;7;11;9;ab;ab;ab;8
63;0;3;1;2;4;ab;ab;5;ab;ab;ab;10;6;ab;12;7;11;9;ab;ab;ab;8
64;0;3;1;2;4;ab;ab;5;ab;ab;ab;10;6;ab;12;7;11;9;ab;ab;ab;8
65;0;3;1;2;4;ab;ab;5;ab;ab;ab;10;6;ab;12;7;11;9;ab;ab;ab;8
66;0;3;1;2;4;ab;ab;5;ab;ab;ab;10;6;ab;12;7;11;9;ab;ab;ab;8
