;sc;HAM;BUT;WEB;VET;MAS;HUL;ALO;RAI;ROS;DRE;SEN;PER;MSC;KOB;RIC;MAL;VER;GRO;PET;KOV;GLO;PIC;KAR;DLR
55;0;ab;1;6;9;4;2;3;13;16;5;ab;ab;7;10;11;ab;8;ab;14;15;17;12;19;18
56;0;ab;1;5;8;3;2;4;12;15;7;ab;ab;6;9;13;ab;10;ab;14;16;17;11;19;18
57;0;ab;1;5;7;2;4;3;11;15;10;ab;ab;6;8;13;ab;9;ab;14;16;17;12;19;18
58;0;ab;1;4;7;2;5;3;11;15;10;ab;ab;6;8;12;ab;9;ab;14;16;17;13;19;18
59;0;ab;1;4;7;2;5;3;11;15;10;ab;ab;6;8;12;ab;9;ab;14;17;16;13;19;18
60;0;ab;1;4;7;2;5;3;11;15;10;ab;ab;6;8;12;ab;9;ab;14;17;16;13;19;18
61;0;ab;1;4;7;3;5;2;11;15;10;ab;ab;6;8;14;ab;9;ab;13;17;16;12;19;18
62;0;ab;1;4;7;3;5;2;11;15;10;ab;ab;6;8;14;ab;9;ab;13;17;16;12;19;18
63;0;ab;1;4;6;3;5;2;11;15;10;ab;ab;7;8;14;ab;9;ab;13;17;16;12;19;18
64;0;ab;1;4;6;3;5;2;11;15;10;ab;ab;7;8;14;ab;9;ab;12;17;16;13;19;18
65;0;ab;1;4;6;3;5;2;11;15;10;ab;ab;7;8;14;ab;9;ab;12;17;16;13;19;18
66;0;ab;1;4;6;3;5;2;11;16;9;ab;ab;7;8;14;ab;10;ab;12;15;17;13;19;18
67;0;ab;1;4;6;3;5;2;11;16;9;ab;ab;7;8;14;ab;10;ab;12;15;17;13;19;18
68;0;ab;1;4;6;3;5;2;10;15;19;ab;ab;7;9;13;ab;8;ab;11;14;16;12;18;17
69;1;ab;1;4;6;3;5;2;10;15;19;ab;ab;7;9;13;ab;8;ab;11;14;16;12;18;17
70;1;ab;1;4;6;3;5;2;10;15;19;ab;ab;7;9;13;ab;8;ab;11;14;16;12;18;17
