;sc;HAM;GRO;VET;BUT;RAI;ALO;MAS;MAL;SEN;HUL;WEB;DRE;ROS;PER;KOB;VER;MSC;RIC;KOV;PET;PIC;GLO;DLR;KAR
0;0;1;2;4;3;6;5;9;12;8;10;7;14;11;13;19;17;24;15;16;18;20;21;22;23
1;0;1;2;4;3;6;5;9;12;8;10;7;14;11;13;19;16;24;15;17;18;20;21;22;23
2;0;1;2;4;3;6;5;9;12;8;10;7;14;11;13;19;16;24;15;17;18;20;23;21;22
3;0;1;2;4;3;6;5;9;12;8;10;7;14;11;13;19;16;24;15;17;18;20;23;21;22
4;0;1;2;4;3;6;5;9;12;8;10;7;14;11;13;19;16;24;15;17;18;20;23;21;22
5;0;1;2;4;3;6;5;9;12;8;10;7;14;11;13;19;16;24;15;17;18;20;23;21;22
6;0;1;2;4;3;6;5;9;12;8;10;7;14;11;13;19;16;24;15;17;18;20;23;21;22
7;0;1;2;4;3;6;5;9;12;8;10;7;14;11;13;19;16;24;15;17;18;20;23;21;22
8;0;1;2;4;3;6;5;9;12;8;10;7;14;11;13;22;16;24;15;17;18;19;23;20;21
9;0;1;2;4;3;6;5;9;12;8;10;7;14;11;13;21;16;24;15;17;18;19;23;20;22
10;0;1;2;4;3;6;5;9;12;8;10;7;14;11;13;20;16;24;15;17;18;19;23;21;22
11;0;1;2;4;3;6;5;9;12;8;10;7;14;11;13;20;17;24;15;16;18;19;23;21;22
12;0;1;2;4;3;6;5;9;12;8;10;7;14;11;13;19;20;23;15;16;17;18;24;21;22
13;0;1;2;4;3;6;5;9;12;8;10;7;14;11;13;19;20;22;15;16;17;18;24;21;23
14;0;1;2;3;4;6;5;9;13;8;11;7;14;10;12;19;20;22;18;15;16;17;24;21;23
15;0;1;2;3;10;5;4;8;16;7;15;6;12;9;11;18;20;21;17;13;14;19;24;22;23
16;0;1;2;3;8;4;5;7;14;10;12;6;16;11;9;18;19;21;17;13;15;20;24;22;23
