;sc;WEB;ROS;HAM;GRO;ALO;MSC;MAS;RAI;VET;HUL;KOB;BUT;SEN;DRE;RIC;VER;KOV;PET;GLO;DLR;PIC;KAR;PER;MAL
54;0;1;2;5;ab;3;7;6;11;4;10;ab;14;12;9;15;8;13;ab;18;ab;17;19;16;ab
55;0;1;2;5;ab;3;7;6;11;4;10;ab;14;12;9;15;8;13;ab;18;ab;17;19;16;ab
56;0;1;2;5;ab;3;7;6;11;4;10;ab;14;12;9;15;8;13;ab;18;ab;17;19;16;ab
57;0;1;2;5;ab;3;7;6;11;4;10;ab;14;12;9;15;8;13;ab;18;ab;17;19;16;ab
58;0;1;2;5;ab;3;7;6;11;4;10;ab;14;12;9;15;8;13;ab;18;ab;17;19;16;ab
59;0;1;2;5;ab;3;7;6;11;4;10;ab;14;12;9;15;8;13;ab;18;ab;17;19;16;ab
60;0;1;2;5;ab;3;7;6;11;4;10;ab;14;12;9;15;8;13;ab;18;ab;17;19;16;ab
61;0;1;2;5;ab;3;8;6;11;4;10;ab;14;12;9;15;7;13;ab;18;ab;17;19;16;ab
62;0;1;2;5;ab;3;9;6;11;4;10;ab;14;12;8;15;7;13;ab;18;ab;17;19;16;ab
63;0;1;2;5;ab;3;ab;6;10;4;9;ab;13;11;8;14;7;12;ab;17;ab;16;18;15;ab
64;0;1;2;5;ab;3;ab;6;10;4;9;ab;13;11;8;14;7;12;ab;16;ab;ab;17;15;ab
65;0;1;2;5;ab;3;ab;6;10;4;9;ab;13;11;8;ab;7;12;ab;15;ab;ab;16;14;ab
66;0;1;2;5;ab;3;ab;6;10;4;9;ab;13;11;8;ab;7;12;ab;15;ab;ab;16;14;ab
67;0;1;2;5;ab;3;ab;6;10;4;9;ab;14;11;8;ab;7;12;ab;15;ab;ab;16;13;ab
68;0;1;2;5;ab;3;ab;6;10;4;9;ab;14;11;8;ab;7;12;ab;15;ab;ab;16;13;ab
69;0;1;2;5;ab;3;ab;6;9;4;8;ab;13;10;7;ab;11;12;ab;15;ab;ab;16;14;ab
70;0;1;2;5;ab;3;ab;6;9;4;8;ab;16;10;7;ab;11;12;ab;14;ab;ab;15;13;ab
71;0;1;2;5;ab;3;ab;6;9;4;8;ab;16;10;7;ab;11;13;ab;14;ab;ab;15;12;ab
72;0;1;2;5;ab;3;ab;6;9;4;8;ab;16;10;7;ab;11;13;ab;14;ab;ab;15;12;ab
73;0;1;2;5;ab;3;ab;6;9;4;8;ab;16;10;7;ab;12;13;ab;14;ab;ab;15;11;ab
74;0;1;2;5;ab;3;ab;6;9;4;8;ab;16;10;7;ab;12;13;ab;14;ab;ab;15;11;ab
75;0;1;2;5;ab;3;ab;6;9;4;8;ab;16;10;7;ab;12;13;ab;14;ab;ab;15;11;ab
76;0;1;2;5;ab;3;ab;6;9;4;8;ab;16;10;7;ab;12;13;ab;14;ab;ab;15;11;ab
77;0;1;2;5;ab;3;ab;6;9;4;8;ab;16;10;7;ab;12;13;ab;14;ab;ab;15;11;ab
