;sc;HAM;BUT;MSC;WEB;VET;GRO;ROS;ALO;PER;RAI;MAL;MAS;SEN;DRE;RIC;HUL;KOB;VER;PET;GLO;PIC;DLR;KAR;KOV
27;0;3;19;11;6;4;ab;15;1;2;5;13;16;9;7;17;10;12;8;14;18;20;23;22;21
28;0;3;18;11;6;4;ab;15;1;2;5;13;16;9;7;17;10;12;8;14;19;20;23;22;21
29;0;3;18;12;6;4;ab;14;1;2;5;13;16;9;7;17;10;11;8;15;19;20;23;22;21
30;0;3;17;12;6;4;ab;14;1;2;5;13;16;9;7;18;10;11;8;15;19;20;23;22;21
31;0;3;17;12;6;4;ab;14;1;2;5;13;16;9;7;18;10;11;8;15;19;20;23;22;21
32;0;3;17;12;6;4;ab;14;1;2;5;13;16;9;7;18;10;11;8;15;19;20;23;22;21
33;0;3;17;12;6;4;ab;14;1;2;5;13;16;9;7;18;10;11;8;15;19;20;23;22;21
34;0;3;16;12;6;4;ab;14;1;2;5;13;17;9;7;18;10;11;8;15;19;20;23;22;21
35;0;3;15;12;6;4;ab;14;1;2;5;13;18;9;7;17;10;11;8;16;19;20;23;22;21
36;0;3;15;12;6;4;ab;14;1;2;5;13;18;9;7;17;10;11;8;16;19;20;22;23;21
37;0;3;15;12;6;4;ab;14;1;2;5;13;17;9;7;18;10;11;8;16;19;20;22;23;21
38;0;3;15;12;6;4;ab;14;1;2;5;13;19;10;8;17;9;11;7;16;18;20;22;23;21
39;0;3;16;12;8;4;ab;14;2;1;5;13;18;11;9;15;7;10;6;17;19;21;23;22;20
40;0;2;16;12;5;4;ab;15;3;1;6;11;18;8;7;14;10;13;9;17;19;21;23;22;20
41;0;3;16;12;5;4;ab;15;1;2;6;11;18;8;7;14;10;13;9;17;19;21;23;22;20
42;0;3;16;12;5;4;ab;15;1;2;6;11;17;8;7;14;10;13;9;18;19;21;23;22;20
43;0;3;16;12;5;4;ab;15;1;2;6;11;17;7;8;14;10;13;9;18;19;21;23;22;20
44;0;3;16;12;5;4;ab;15;1;2;6;11;17;7;8;14;10;13;9;18;19;21;23;22;20
45;0;3;14;12;5;4;ab;15;1;2;6;11;17;7;8;13;10;16;9;18;19;21;23;22;20
46;0;3;14;12;4;8;ab;15;1;2;5;11;16;6;7;13;10;ab;9;17;18;20;22;21;19
47;0;3;14;11;4;12;ab;15;1;2;5;10;16;6;7;13;9;ab;8;17;18;20;22;21;19
48;0;3;14;11;4;12;ab;15;1;2;5;10;16;6;7;13;9;ab;8;17;18;20;22;21;19
49;0;3;14;11;4;12;ab;15;1;2;5;10;16;6;7;13;9;ab;8;17;18;20;22;21;19
50;0;3;14;11;4;12;ab;15;1;2;5;10;16;6;7;13;9;ab;8;17;18;20;22;21;19
51;0;3;14;11;4;12;ab;15;1;2;5;10;16;6;7;13;9;ab;8;17;18;20;22;21;19
52;0;3;14;11;4;12;ab;15;1;2;5;10;16;6;7;13;9;ab;8;17;18;20;22;21;19
53;0;3;14;10;4;12;ab;15;1;2;5;11;16;6;7;13;9;ab;8;17;18;20;22;21;19
54;0;3;13;10;4;11;ab;14;1;2;5;19;15;6;7;12;9;ab;8;16;17;20;21;22;18
55;0;3;14;10;4;11;ab;13;1;2;5;19;15;6;7;12;9;ab;8;16;17;20;21;22;18
