;sc;HAM;BUT;GRO;MSC;WEB;VET;ROS;MAL;HUL;RIC;VER;ALO;KOB;SEN;DRE;MAS;RAI;KOV;PET;GLO;PIC;PER
27;0;2;1;ab;ab;6;3;5;7;ab;17;11;4;9;14;10;13;8;16;15;18;19;12
28;0;2;1;ab;ab;6;3;5;7;ab;17;11;4;9;13;10;14;8;16;15;18;19;12
29;0;2;1;ab;ab;6;3;5;7;ab;17;11;4;9;16;10;13;8;15;14;18;19;12
30;0;2;1;ab;ab;5;3;10;6;ab;17;12;4;8;16;9;13;7;15;14;18;19;11
31;0;2;1;ab;ab;5;3;11;6;ab;17;12;4;8;16;9;13;7;15;14;18;19;10
32;0;2;1;ab;ab;5;3;10;6;ab;17;11;4;8;16;12;13;7;15;14;18;19;9
33;0;2;1;ab;ab;4;3;10;5;ab;16;11;7;8;15;12;13;6;17;14;18;19;9
34;0;2;1;ab;ab;4;3;10;5;ab;15;11;8;7;14;12;13;6;16;ab;17;18;9
35;1;4;2;ab;ab;3;1;9;5;ab;15;10;7;11;14;12;13;6;16;ab;17;18;8
36;1;3;1;ab;ab;4;2;9;5;ab;15;12;6;10;14;11;13;8;16;ab;17;18;7
37;1;3;1;ab;ab;4;2;8;6;ab;15;12;5;10;14;11;13;9;16;ab;17;18;7
38;1;3;1;ab;ab;4;2;8;6;ab;15;12;5;10;14;11;13;9;ab;ab;16;17;7
39;1;3;1;ab;ab;4;2;8;6;ab;15;12;5;10;14;11;13;9;ab;ab;16;17;7
40;1;3;1;ab;ab;4;2;8;6;ab;15;12;5;10;14;11;13;9;ab;ab;16;17;7
41;0;3;1;ab;ab;4;2;8;6;ab;14;12;5;9;15;11;13;10;ab;ab;16;17;7
42;0;3;1;ab;ab;4;2;8;6;ab;14;12;5;9;15;11;13;10;ab;ab;16;17;7
43;0;3;1;ab;ab;4;2;8;6;ab;14;12;5;9;15;11;13;10;ab;ab;16;17;7
44;0;3;1;ab;ab;4;2;8;6;ab;14;12;5;9;15;11;13;10;ab;ab;16;17;7
45;0;3;1;ab;ab;4;2;8;6;ab;14;12;5;9;15;11;13;10;ab;ab;16;17;7
46;0;3;1;ab;ab;4;2;8;6;ab;13;12;5;9;15;11;ab;10;ab;ab;14;16;7
47;0;3;1;ab;ab;4;2;8;6;ab;13;12;5;9;15;11;ab;10;ab;ab;14;16;7
48;0;3;1;ab;ab;4;2;8;6;ab;13;12;5;9;15;11;ab;10;ab;ab;14;16;7
49;0;3;1;ab;ab;4;2;8;6;ab;12;11;5;9;15;13;ab;10;ab;ab;14;16;7
50;0;3;1;ab;ab;4;2;8;6;ab;12;11;5;9;15;13;ab;10;ab;ab;14;16;7
51;0;3;1;ab;ab;4;2;8;6;ab;12;11;5;9;15;13;ab;10;ab;ab;14;16;7
52;0;3;1;ab;ab;4;2;8;6;ab;12;11;5;9;16;13;ab;10;ab;ab;14;15;7
53;0;3;1;ab;ab;4;2;8;6;ab;12;11;5;9;16;13;ab;10;ab;ab;14;15;7
54;0;3;1;ab;ab;4;2;8;6;ab;12;11;5;9;16;13;ab;10;ab;ab;14;15;7
55;0;3;1;ab;ab;4;2;8;6;ab;12;11;5;9;16;13;ab;10;ab;ab;14;15;7
56;0;3;1;ab;ab;4;2;8;6;ab;12;11;5;9;16;13;ab;10;ab;ab;14;15;7
57;0;3;1;ab;ab;4;2;12;13;ab;9;11;5;6;16;10;ab;7;ab;ab;14;15;8
