;sc;MAL;ALO;GRO;RAI;PER;ROS;VET;MSC;KOB;BUT;WEB;DRE;HUL;VER;RIC;MAS;SEN;PET;KOV;PIC;GLO;DLR;KAR;HAM
56;0;1;2;4;3;ab;5;9;ab;6;8;11;14;10;12;13;15;ab;17;16;ab;18;19;ab;7
57;0;1;2;4;3;ab;5;8;ab;6;9;11;14;10;12;13;15;ab;17;16;ab;18;19;ab;7
58;0;1;2;4;3;ab;5;8;ab;6;9;11;14;10;12;13;15;ab;17;16;ab;18;19;ab;7
59;0;1;2;4;3;ab;6;8;ab;5;9;11;14;10;12;13;15;ab;17;16;ab;18;19;ab;7
60;0;1;2;4;3;ab;6;8;ab;5;9;11;14;10;12;13;15;ab;17;16;ab;18;19;ab;7
61;0;1;2;4;3;ab;6;8;ab;5;9;11;14;10;12;13;15;ab;17;16;ab;18;19;ab;7
62;0;1;2;4;3;ab;6;7;ab;5;9;11;14;10;12;13;15;ab;17;16;ab;18;19;ab;8
63;0;1;2;4;3;ab;7;6;ab;5;9;11;14;10;12;13;15;ab;17;16;ab;18;19;ab;8
64;0;1;2;4;3;ab;7;6;ab;5;9;11;14;10;12;13;15;ab;17;16;ab;18;19;ab;8
65;0;1;2;4;3;ab;7;6;ab;5;9;11;14;10;12;13;15;ab;17;16;ab;18;19;ab;8
