;sc;VET;HAM;ALO;WEB;ROS;MAS;GRO;DRE;MSC;BUT;KOB;RAI;HUL;RIC;PER;SEN;KOV;PET;VER;DLR;GLO;MAL;PIC;KAR
58;0;2;3;1;7;6;10;4;11;ab;16;9;8;12;14;5;17;18;19;15;ab;ab;13;20;ab
59;0;2;3;1;7;6;10;4;11;ab;16;9;8;12;14;5;17;18;19;15;ab;ab;13;20;ab
60;0;2;3;1;7;6;10;4;11;ab;16;9;8;12;14;5;17;18;19;15;ab;ab;13;20;ab
61;0;3;2;1;7;6;10;4;11;ab;16;9;8;12;14;5;17;18;19;15;ab;ab;13;20;ab
62;0;5;2;1;7;6;10;3;11;ab;16;9;8;12;14;4;17;18;19;15;ab;ab;13;20;ab
63;0;5;1;2;7;6;10;3;11;ab;16;9;8;12;14;4;17;18;19;15;ab;ab;13;20;ab
64;0;5;1;2;7;6;10;3;11;ab;16;9;8;12;14;4;17;18;19;15;ab;ab;13;20;ab
65;0;5;1;3;7;6;10;2;11;ab;16;9;8;12;14;4;17;18;19;15;ab;ab;13;20;ab
66;0;5;1;3;7;6;10;2;11;ab;16;9;8;12;14;4;17;18;19;15;ab;ab;13;20;ab
67;0;5;1;4;7;6;10;2;11;ab;16;9;8;12;14;3;17;18;19;15;ab;ab;13;20;ab
68;0;4;1;5;7;6;10;2;11;ab;16;9;8;12;14;3;17;18;19;15;ab;ab;13;20;ab
69;0;4;1;5;7;6;10;2;11;ab;16;9;8;12;14;3;17;18;19;15;ab;ab;13;20;ab
