Date;Open;High;Low;Close
02/18/2022;4384.57;4394.60;4327.22;4348.87
02/17/2022;4456.06;4456.06;4373.81;4380.26
02/16/2022;4455.75;4489.55;4429.68;4475.01
02/15/2022;4429.28;4472.77;4429.28;4471.07
02/14/2022;4412.61;4426.22;4364.84;4401.67
02/11/2022;4506.27;4526.33;4401.41;4418.64
02/10/2022;4553.24;4588.92;4484.31;4504.08
02/09/2022;4547.00;4590.03;4547.00;4587.18
02/08/2022;4480.02;4531.32;4465.40;4521.54
02/07/2022;4505.75;4521.86;4471.47;4483.87
02/04/2022;4482.79;4539.66;4451.50;4500.53
02/03/2022;4535.41;4542.88;4470.39;4477.44
02/02/2022;4566.39;4595.31;4544.32;4589.38
02/01/2022;4519.57;4550.49;4483.53;4546.54
01/31/2022;4431.79;4516.89;4414.02;4515.55
01/28/2022;4336.19;4432.72;4292.46;4431.85
01/27/2022;4380.58;4428.74;4309.50;4326.51
01/26/2022;4408.43;4453.23;4304.80;4349.93
01/25/2022;4366.64;4411.01;4287.11;4356.45
01/24/2022;4356.32;4417.35;4222.62;4410.13
01/21/2022;4471.38;4494.52;4395.34;4397.94
01/20/2022;4547.35;4602.11;4477.95;4482.73
01/19/2022;4588.03;4611.55;4530.20;4532.76
01/18/2022;4632.24;4632.24;4568.70;4577.11
01/14/2022;4637.99;4665.13;4614.75;4662.85
01/13/2022;4733.56;4744.13;4650.29;4659.03
01/12/2022;4728.59;4748.83;4706.71;4726.35
01/11/2022;4669.14;4714.13;4638.27;4713.07
01/10/2022;4655.34;4673.02;4582.24;4670.29
01/07/2022;4697.66;4707.95;4662.74;4677.03
01/06/2022;4693.39;4725.01;4671.26;4696.05
01/05/2022;4787.99;4797.70;4699.44;4700.58
01/04/2022;4804.51;4818.62;4774.27;4793.54
01/03/2022;4778.14;4796.64;4758.17;4796.56
12/31/2021;4775.21;4786.83;4765.75;4766.18
12/30/2021;4794.23;4808.93;4775.33;4778.73
12/29/2021;4788.64;4804.06;4778.08;4793.06
12/28/2021;4795.49;4807.02;4780.04;4786.35
12/27/2021;4733.99;4791.49;4733.99;4791.19
12/23/2021;4703.96;4740.74;4703.96;4725.79
12/22/2021;4650.36;4697.67;4645.53;4696.56
12/21/2021;4594.96;4651.14;4583.16;4649.23
12/20/2021;4587.90;4587.90;4531.10;4568.02
12/17/2021;4652.50;4666.70;4600.22;4620.64
12/16/2021;4719.13;4731.99;4651.89;4668.67
12/15/2021;4636.46;4712.60;4611.22;4709.85
12/14/2021;4642.99;4660.47;4606.52;4634.09
12/13/2021;4710.30;4710.30;4667.60;4668.97
12/10/2021;4687.64;4713.57;4670.24;4712.02
