,days,Pearsons r,p-value
0,365,0.020539411040460778,0.7450934115033108
1,180,0.32278084967430154,0.0002713429871482836
2,90,0.5169005200459635,2.3536088514348547e-05
3,60,0.7537264033545343,3.048654902830997e-08
4,15,0.90569424698081,0.00030840095791212854
