;race_idx;race_name;ALB;ALO;BOT;GAS;HAM;LAT;LEC;MAG;NOR;OCO;PER;RIC;RUS;SAI;MSC;STR;TSU;VER;VET;ZHO
0;1;BHR;14;8;6;10;5;20;1;7;13;11;4;18;9;3;12;19;16;2;-;15
1;2;SAU;17;7;8;9;16;19;2;10;11;5;1;12;6;3;14;15;20;4;-;13
2;3;AUS;16;10;12;11;5;19;1;17;4;8;3;7;6;9;15;20;13;2;18;14
3;4;ERO;20;5;8;17;13;18;2;4;3;19;7;6;11;10;12;15;16;1;9;14
4;5;MIA;18;11;5;7;6;19;1;16;8;20;4;14;12;2;15;10;9;3;13;17
5;6;ESP;19;17;7;14;6;20;1;8;11;12;5;9;4;3;10;18;13;2;16;15
6;7;MCO;16;7;12;17;8;19;1;13;5;10;3;14;6;2;15;18;11;4;9;20
