;sc;VET;RAI;BOT;HAM;VER;RIC;ALO;VAN;SAI;PAL;OCO;HUL;PER;GRO;MAG;KVY;STR;WEH;DRE;ERI
56;0;1;2;4;3;5;ab;6;10;7;14;9;12;8;ab;11;13;15;17;18;16
57;0;1;2;4;3;5;ab;6;10;7;14;9;12;8;ab;11;13;15;17;18;16
58;0;1;2;4;3;5;ab;6;10;7;14;9;12;8;ab;11;13;15;17;18;16
59;0;1;2;4;3;5;ab;6;10;7;14;9;13;8;ab;11;12;15;17;18;16
60;0;1;2;4;3;5;ab;6;10;7;14;9;13;8;ab;11;12;15;17;ab;16
61;0;1;2;4;3;5;ab;6;10;7;14;9;13;8;ab;11;12;15;16;ab;17
62;0;1;2;4;3;5;ab;6;10;7;14;9;13;8;ab;11;12;15;16;ab;17
63;0;1;2;4;3;5;ab;6;10;7;14;9;13;8;ab;11;12;15;16;ab;17
64;0;1;2;4;3;5;ab;6;10;7;14;9;13;8;ab;11;12;15;16;ab;17
65;0;1;2;4;3;5;ab;6;10;7;14;9;13;8;ab;11;12;15;16;ab;17
66;0;1;2;4;3;5;ab;6;10;7;13;9;14;8;ab;11;12;15;16;ab;17
67;0;1;2;4;3;5;ab;6;10;7;13;9;17;8;ab;11;12;14;15;ab;16
68;0;1;2;4;3;5;ab;6;10;7;13;9;17;8;ab;11;12;14;15;ab;16
69;0;1;2;3;4;5;ab;6;10;7;12;9;17;8;ab;13;11;14;15;ab;16
