;sc;HAM;VET;BOT;RAI;VER;RIC;MAS;PER;OCO;HUL;KVY;ALO;SAI;GRO;PAL;VAN;STR;MAG;ERI;WEH
38;0;1;7;2;5;ab;3;ab;4;6;9;10;8;ab;13;15;12;14;11;16;17
39;0;1;7;2;5;ab;3;ab;4;6;9;10;8;ab;13;15;12;14;11;16;17
40;0;1;6;2;7;ab;3;ab;4;5;9;10;8;ab;14;15;12;13;11;16;17
41;0;1;6;2;7;ab;3;ab;4;5;8;9;11;ab;14;15;12;13;10;16;17
42;0;1;6;2;7;ab;3;ab;4;5;8;9;11;ab;14;15;12;13;10;16;17
43;0;1;6;2;7;ab;3;ab;4;5;8;9;11;ab;14;15;13;12;10;16;17
44;0;1;6;2;7;ab;3;ab;4;5;8;9;11;ab;13;14;16;12;10;15;17
45;0;1;6;2;7;ab;3;ab;4;5;8;9;11;ab;12;13;16;10;15;14;17
46;0;1;6;2;7;ab;3;ab;4;5;8;9;11;ab;12;13;16;10;15;14;17
47;0;1;6;2;7;ab;3;ab;4;5;8;9;11;ab;12;13;16;10;15;14;17
48;0;1;7;2;6;ab;3;ab;4;5;8;9;11;ab;12;13;16;10;15;14;17
49;0;1;7;2;6;ab;3;ab;4;5;8;9;11;ab;12;13;16;10;15;14;17
50;0;1;7;2;6;ab;3;ab;4;5;8;9;11;ab;12;13;16;10;15;14;17
51;0;1;7;2;6;ab;3;ab;4;5;8;9;11;ab;12;13;16;10;15;14;17
52;0;1;7;2;6;ab;3;ab;4;5;8;17;10;ab;11;12;15;9;14;13;16
53;0;1;7;2;6;ab;3;ab;4;5;8;17;10;ab;11;12;15;9;14;13;16
54;0;1;7;2;6;ab;3;ab;4;5;8;ab;10;ab;11;12;15;9;13;14;16
55;0;1;7;2;6;ab;3;ab;4;5;8;ab;10;ab;11;12;15;9;13;14;16
56;0;1;7;2;6;ab;3;ab;4;5;8;ab;10;ab;11;12;15;9;13;14;16
57;0;1;7;2;6;ab;3;ab;4;5;8;ab;10;ab;11;12;15;9;13;14;16
58;0;1;7;2;6;ab;3;ab;4;5;8;ab;10;ab;11;12;15;9;13;14;16
59;0;1;6;2;7;ab;3;ab;4;5;8;ab;10;ab;11;12;15;9;13;14;16
