;sc;WEB;VET;HAM;ALO;BUT;MSC;KUB;ROS;MAS;KOB;SUT;DLR;HUL;BUE;ALG;LIU;BAR;TRU;PET;KOV;SEN;GLO;DGR;CHA
28;0;1;3;2;4;6;5;9;16;7;14;8;ab;12;17;11;15;10;18;13;np;ab;19;20;ab
29;0;1;3;2;4;6;5;9;16;7;14;8;ab;12;17;11;15;10;18;13;np;ab;19;20;ab
30;0;1;3;2;4;6;5;9;16;7;14;8;ab;12;17;11;15;10;18;13;np;ab;19;20;ab
31;0;1;3;2;4;6;5;9;16;7;13;8;ab;14;17;11;15;10;18;12;np;ab;19;20;ab
32;0;1;3;2;4;6;5;9;15;7;13;8;ab;16;17;11;14;10;18;12;np;ab;19;20;ab
33;0;1;3;2;4;6;5;9;15;7;13;8;ab;16;17;11;14;10;18;12;np;ab;19;20;ab
34;0;1;3;2;4;6;5;9;15;7;13;8;ab;16;17;11;14;10;18;12;np;ab;19;20;ab
35;0;1;3;2;4;6;5;9;16;7;13;8;ab;15;17;11;14;10;18;12;np;ab;19;20;ab
36;0;1;3;2;4;6;5;9;16;7;13;8;ab;15;17;11;14;10;18;12;np;ab;19;20;ab
37;0;1;3;2;4;6;5;9;16;7;13;8;ab;15;17;11;14;10;18;12;np;ab;19;20;ab
38;0;1;3;2;4;6;5;9;16;7;13;8;ab;15;17;11;14;10;18;12;np;ab;19;20;ab
39;0;1;3;2;4;6;5;9;16;7;13;8;ab;15;17;11;14;10;18;12;np;ab;19;20;ab
40;0;1;3;2;4;6;5;9;16;7;13;8;ab;15;17;11;14;10;18;12;np;ab;19;20;ab
41;0;1;3;2;4;6;5;9;16;7;13;8;ab;15;17;11;14;10;18;12;np;ab;19;20;ab
42;0;1;3;2;4;6;5;9;16;7;13;8;ab;15;ab;11;14;10;17;12;np;ab;18;19;ab
43;0;1;3;2;4;6;5;9;16;7;13;8;ab;15;ab;11;14;10;17;12;np;ab;18;19;ab
44;0;1;3;2;4;6;5;9;16;7;13;8;ab;15;ab;11;14;10;17;12;np;ab;18;19;ab
45;0;1;3;2;4;6;5;9;16;7;13;8;ab;15;ab;11;14;10;17;12;np;ab;18;19;ab
46;0;1;3;2;4;6;5;9;16;7;13;8;ab;15;ab;11;14;10;17;12;np;ab;18;19;ab
47;0;1;3;2;4;6;5;9;16;7;13;8;ab;15;ab;11;14;10;17;12;np;ab;18;19;ab
48;0;1;3;2;4;6;5;9;15;7;13;8;ab;16;ab;11;14;10;17;12;np;ab;18;19;ab
49;0;1;3;2;4;6;5;9;15;7;13;8;ab;16;ab;11;14;10;17;12;np;ab;18;19;ab
50;0;1;3;2;4;6;5;9;15;7;13;8;ab;16;ab;11;14;10;17;12;np;ab;18;19;ab
51;0;1;3;2;4;6;5;9;15;7;13;8;ab;16;ab;11;14;10;17;12;np;ab;18;19;ab
52;0;1;3;2;4;6;5;9;15;7;13;8;ab;16;ab;11;14;10;17;12;np;ab;18;19;ab
53;0;1;3;2;4;6;5;9;15;7;13;8;ab;16;ab;11;14;10;17;12;np;ab;18;19;ab
54;0;1;4;2;3;6;5;9;15;7;13;8;ab;16;ab;11;14;10;17;12;np;ab;18;19;ab
55;0;1;4;2;3;6;5;9;15;7;13;8;ab;16;ab;11;14;10;17;12;np;ab;18;19;ab
56;0;1;4;2;3;6;5;9;15;7;13;8;ab;16;ab;11;14;10;17;12;np;ab;18;19;ab
57;0;1;4;2;3;6;5;9;15;7;13;8;ab;16;ab;11;14;10;17;12;np;ab;18;19;ab
58;0;1;4;2;3;6;5;9;15;7;13;8;ab;16;ab;11;14;10;17;12;np;ab;18;19;ab
59;0;1;4;2;3;6;5;9;15;7;13;8;ab;16;ab;11;14;10;17;12;np;ab;18;19;ab
60;0;1;4;2;3;6;5;9;15;7;13;8;ab;16;ab;11;14;10;17;12;np;ab;18;19;ab
61;0;1;4;2;3;6;5;9;15;7;13;8;ab;16;ab;11;14;10;17;12;np;ab;18;19;ab
62;0;1;4;2;3;6;5;9;15;7;13;8;ab;16;ab;11;14;10;17;12;np;ab;18;19;ab
63;0;1;4;2;3;6;5;9;15;7;13;8;ab;16;ab;11;14;10;17;12;np;ab;18;19;ab
64;0;1;3;14;2;5;4;8;13;6;12;7;ab;16;ab;10;15;9;17;11;np;ab;18;19;ab
65;0;1;3;14;2;5;4;8;13;6;12;7;ab;16;ab;10;15;9;17;11;np;ab;18;19;ab
