;sc;VET;WEB;ALO;HAM;ROS;MAS;BUT;KUB;MSC;BAR;HUL;KOB;HEI;SUT;ALG;BUE;LIU;TRU;GLO;PET;KOV;DGR;YAM;SEN
26;0;1;ab;2;3;ab;4;6;8;5;9;7;17;18;10;12;16;11;ab;13;15;14;ab;20;19
27;0;1;ab;2;3;ab;4;9;7;5;8;6;17;18;12;11;16;10;ab;13;15;14;ab;20;19
28;0;1;ab;2;3;ab;4;15;7;5;8;6;14;16;18;9;13;10;ab;11;12;17;ab;20;19
29;0;1;ab;2;3;ab;4;15;6;5;7;8;14;16;18;9;13;10;ab;12;11;17;ab;20;19
30;0;1;ab;2;3;ab;4;13;6;5;7;11;12;14;15;8;ab;9;ab;16;10;17;ab;19;18
31;1;1;ab;2;3;ab;4;12;9;5;6;8;10;13;14;15;ab;11;ab;ab;7;17;ab;18;16
32;1;1;ab;3;2;ab;4;12;9;5;6;8;10;13;14;15;ab;11;ab;ab;7;17;ab;18;16
33;1;1;ab;3;2;ab;4;12;9;5;6;8;10;13;14;15;ab;11;ab;ab;7;17;ab;18;16
34;0;1;ab;2;3;ab;4;12;9;5;6;8;10;13;14;15;ab;11;ab;ab;7;16;ab;18;17
35;0;1;ab;2;3;ab;4;15;9;5;6;8;11;12;13;14;ab;10;ab;ab;7;16;ab;18;17
36;0;1;ab;2;3;ab;4;15;9;5;6;8;11;13;12;14;ab;10;ab;ab;7;16;ab;18;17
37;0;1;ab;2;3;ab;4;15;9;5;6;8;11;12;13;14;ab;10;ab;ab;7;16;ab;18;17
38;0;1;ab;2;3;ab;4;15;9;5;6;8;11;12;14;13;ab;10;ab;ab;7;17;ab;18;16
39;0;1;ab;2;3;ab;4;14;8;5;6;7;10;11;13;12;ab;9;ab;ab;ab;15;ab;17;16
40;0;1;ab;2;3;ab;4;14;8;5;6;7;10;11;13;12;ab;9;ab;ab;ab;15;ab;17;16
41;0;1;ab;2;3;ab;4;14;8;5;6;7;10;11;12;13;ab;9;ab;ab;ab;15;ab;17;16
42;0;1;ab;2;3;ab;4;14;8;5;6;7;10;11;12;13;ab;9;ab;ab;ab;15;ab;17;16
43;0;1;ab;2;3;ab;4;14;8;5;6;7;10;11;12;13;ab;9;ab;ab;ab;15;ab;17;16
44;0;1;ab;2;3;ab;4;14;8;5;6;7;10;11;12;13;ab;9;ab;ab;ab;15;ab;17;16
45;0;ab;ab;1;2;ab;3;13;7;4;5;6;9;11;10;12;ab;8;ab;ab;ab;14;ab;16;15
46;0;ab;ab;1;2;ab;3;12;7;4;5;6;9;10;ab;11;ab;8;ab;ab;ab;13;ab;15;14
47;0;ab;ab;1;2;ab;3;12;7;4;5;6;9;10;ab;11;ab;8;ab;ab;ab;13;ab;15;14
48;0;ab;ab;1;2;ab;3;12;7;4;5;6;9;10;ab;11;ab;8;ab;ab;ab;13;ab;15;14
49;0;ab;ab;1;2;ab;3;12;7;4;5;6;9;10;ab;11;ab;8;ab;ab;ab;13;ab;15;14
50;0;ab;ab;1;2;ab;3;12;6;4;5;8;9;10;ab;11;ab;7;ab;ab;ab;13;ab;15;14
51;0;ab;ab;1;2;ab;3;12;5;4;7;11;8;9;ab;10;ab;6;ab;ab;ab;13;ab;15;14
52;0;ab;ab;1;2;ab;3;12;5;4;7;11;8;9;ab;10;ab;6;ab;ab;ab;13;ab;15;14
53;0;ab;ab;1;2;ab;3;12;5;4;7;11;8;9;ab;10;ab;6;ab;ab;ab;13;ab;ab;14
54;0;ab;ab;1;2;ab;3;12;5;4;7;10;8;9;ab;11;ab;6;ab;ab;ab;13;ab;ab;14
