;sc;WEB;KUB;VET;MAS;HAM;ROS;MSC;BUT;BAR;LIU;HUL;SUT;BUE;PET;DLR;KOB;ALG;KOV;TRU;GLO;DGR;SEN;CHA;ALO
54;0;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;14;17;ab;ab;15;16;6
55;0;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;14;17;ab;ab;15;16;6
56;0;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;14;17;ab;ab;15;16;6
57;0;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;14;17;ab;ab;15;16;6
58;0;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;ab;15;ab;ab;ab;14;6
59;0;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;ab;15;ab;ab;ab;14;6
60;0;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;ab;15;ab;ab;ab;14;6
61;0;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;ab;15;ab;ab;ab;14;6
62;0;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;ab;15;ab;ab;ab;14;6
63;0;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;ab;15;ab;ab;ab;14;6
64;0;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;ab;15;ab;ab;ab;14;6
65;0;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;ab;15;ab;ab;ab;14;6
66;0;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;ab;15;ab;ab;ab;14;6
67;0;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;ab;15;ab;ab;ab;14;6
68;0;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;ab;15;ab;ab;ab;14;6
69;0;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;ab;15;ab;ab;ab;14;6
70;0;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;ab;15;ab;ab;ab;14;6
71;0;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;ab;15;ab;ab;ab;14;6
72;0;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;ab;15;ab;ab;ab;14;6
73;0;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;ab;15;ab;ab;ab;14;6
74;1;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;ab;15;ab;ab;ab;14;6
75;1;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;ab;15;ab;ab;ab;14;6
76;1;1;3;2;4;5;8;7;ab;ab;10;ab;9;11;13;ab;ab;12;ab;15;ab;ab;ab;14;6
77;1;1;3;2;4;5;8;6;ab;ab;10;ab;9;11;13;ab;ab;12;ab;15;ab;ab;ab;14;7
