;sc;VET;WEB;KUB;ALO;BUT;ROS;BAR;HAM;HUL;MSC;HEI;MAS;PET;KOB;SUT;ALG;LIU;BUE;TRU;KOV;DGR;GLO;SEN;YAM
32;0;2;3;ab;4;1;7;10;5;ab;8;9;ab;ab;6;11;12;ab;13;15;14;np;16;17;18
33;0;2;3;ab;4;1;7;10;5;ab;8;9;ab;ab;6;11;12;ab;13;15;14;np;16;17;18
34;0;2;3;ab;4;1;7;10;5;ab;8;9;ab;ab;6;11;12;ab;13;15;14;np;16;17;18
35;0;2;3;ab;4;1;7;10;5;ab;8;9;ab;ab;6;11;12;ab;13;15;14;np;16;17;18
36;0;2;3;ab;4;1;7;10;5;ab;8;9;ab;ab;6;11;12;ab;13;15;14;np;16;17;18
37;0;2;3;ab;4;1;7;10;5;ab;8;9;ab;ab;6;11;12;ab;13;15;14;np;16;17;18
38;0;1;2;ab;3;5;6;9;4;ab;7;8;ab;ab;12;10;11;ab;13;15;14;np;16;17;18
39;0;1;2;ab;3;5;6;9;4;ab;7;8;ab;ab;12;10;11;ab;13;15;14;np;16;17;18
40;0;1;2;ab;3;5;6;9;4;ab;7;8;ab;ab;12;10;11;ab;13;15;14;np;16;17;18
41;0;1;2;ab;3;5;6;9;4;ab;7;8;ab;ab;12;10;11;ab;13;15;14;np;16;17;18
42;0;1;2;ab;3;5;6;9;4;ab;7;8;ab;ab;12;10;11;ab;13;15;14;np;16;17;18
43;0;1;2;ab;3;4;6;9;5;ab;7;8;ab;ab;10;12;13;ab;11;15;14;np;16;17;18
44;0;1;2;ab;3;4;6;9;5;ab;7;8;ab;ab;10;ab;12;ab;11;14;13;np;15;16;17
45;0;1;2;ab;3;4;6;9;5;ab;7;8;ab;ab;10;ab;12;ab;11;14;13;np;15;16;17
46;0;1;2;ab;3;4;6;9;5;ab;7;8;ab;ab;10;ab;12;ab;11;14;13;np;15;16;17
47;0;1;2;ab;3;4;17;9;5;ab;6;7;ab;ab;8;ab;11;ab;10;13;12;np;14;15;16
48;0;1;2;ab;3;4;17;9;5;ab;6;8;ab;ab;7;ab;11;ab;10;13;12;np;14;15;16
49;0;1;2;ab;3;4;17;9;5;ab;6;8;ab;ab;7;ab;11;ab;10;13;12;np;14;15;16
50;0;1;2;ab;3;4;17;9;5;ab;6;8;ab;ab;7;ab;11;ab;10;13;12;np;14;15;ab
51;0;1;2;ab;3;4;17;9;5;ab;6;8;ab;ab;7;ab;11;ab;10;13;12;np;14;15;ab
52;0;1;2;ab;3;4;17;9;5;ab;6;8;ab;ab;7;ab;11;ab;10;13;12;np;14;15;ab
