;sc;VET;WEB;ALO;BUT;MAS;ROS;MSC;BAR;KUB;SUT;HAM;BUE;LIU;DLR;HUL;KOB;ALG;PET;KOV;TRU;GLO;DGR;SEN;CHA
20;0;1;8;7;2;5;4;13;9;3;ab;6;ab;10;11;ab;ab;12;ab;14;np;15;16;ab;17
21;0;1;7;8;2;6;4;13;9;3;ab;5;ab;10;11;ab;ab;12;ab;14;np;15;16;ab;17
22;0;1;7;8;2;6;4;12;9;3;ab;5;ab;10;11;ab;ab;13;ab;14;np;15;16;ab;17
23;0;1;7;8;2;6;4;12;9;3;ab;5;ab;10;11;ab;ab;13;ab;14;np;15;16;ab;17
24;0;1;7;8;2;6;4;12;9;3;ab;5;ab;10;11;ab;ab;13;ab;14;np;15;17;ab;16
25;0;ab;6;7;1;5;4;11;8;2;ab;3;ab;9;10;ab;ab;12;ab;13;np;14;16;ab;15
26;0;ab;6;7;1;5;4;11;8;2;ab;3;ab;9;10;ab;ab;12;ab;13;np;14;ab;ab;15
27;0;ab;5;7;1;6;4;11;8;2;ab;3;ab;9;10;ab;ab;12;ab;13;np;14;ab;ab;15
28;0;ab;5;7;1;6;4;11;8;2;ab;3;ab;9;10;ab;ab;12;ab;13;np;14;ab;ab;15
29;0;ab;5;7;1;6;4;12;8;2;ab;3;ab;9;10;ab;ab;11;ab;13;np;14;ab;ab;15
30;0;ab;5;7;1;6;4;12;10;2;ab;3;ab;8;9;ab;ab;11;ab;13;np;14;ab;ab;15
31;0;ab;7;6;1;5;4;12;10;2;ab;3;ab;8;9;ab;ab;11;ab;13;np;14;ab;ab;15
32;0;ab;7;5;1;4;6;12;10;2;ab;3;ab;8;9;ab;ab;11;ab;13;np;14;ab;ab;15
33;0;ab;6;4;1;3;7;12;10;2;ab;5;ab;8;9;ab;ab;11;ab;13;np;14;ab;ab;15
34;0;ab;6;4;1;3;7;12;10;2;ab;5;ab;8;9;ab;ab;11;ab;13;np;14;ab;ab;15
35;0;ab;6;4;1;3;7;12;10;2;ab;5;ab;8;9;ab;ab;11;ab;13;np;14;ab;ab;15
36;0;ab;6;4;1;3;7;12;10;2;ab;5;ab;8;9;ab;ab;11;ab;13;np;14;ab;ab;15
37;0;ab;6;4;1;3;7;12;10;2;ab;5;ab;8;9;ab;ab;11;ab;13;np;14;ab;ab;15
38;0;ab;6;4;1;3;7;12;10;2;ab;5;ab;8;9;ab;ab;11;ab;13;np;14;ab;ab;15
39;0;ab;6;4;1;3;7;12;10;2;ab;5;ab;8;9;ab;ab;11;ab;13;np;14;ab;ab;15
40;0;ab;6;4;1;3;7;12;10;2;ab;5;ab;8;9;ab;ab;11;ab;13;np;14;ab;ab;15
41;0;ab;6;4;1;3;7;12;10;2;ab;5;ab;8;9;ab;ab;11;ab;13;np;ab;ab;ab;14
42;0;ab;6;4;1;3;7;12;10;2;ab;5;ab;8;9;ab;ab;11;ab;13;np;ab;ab;ab;14
43;0;ab;6;4;1;3;7;12;10;2;ab;5;ab;8;9;ab;ab;11;ab;13;np;ab;ab;ab;14
44;0;ab;6;4;1;3;7;12;10;2;ab;5;ab;8;9;ab;ab;11;ab;13;np;ab;ab;ab;14
