;sc;VET;WEB;ALO;HAM;ROS;KUB;MAS;BAR;DLR;MSC;SUT;KOB;HUL;BUT;PET;BUE;ALG;KOV;GLO;LIU;TRU;DGR;CHA;YAM
0;0;24;1;5;2;4;3;23;6;11;7;10;9;13;8;12;14;15;17;18;19;16;20;21;22
1;0;24;1;5;2;4;3;23;6;11;7;10;9;13;8;12;14;15;17;19;18;16;20;21;22
2;0;24;1;5;2;4;3;23;6;11;7;10;9;13;8;12;14;15;17;19;18;16;20;21;22
3;0;24;1;5;2;4;3;23;6;11;7;10;9;13;8;12;14;15;17;19;18;16;20;21;22
4;0;24;1;5;2;4;3;23;6;11;7;10;9;13;8;12;14;15;17;19;18;16;20;21;22
5;0;24;1;5;2;4;3;23;6;11;7;10;9;13;8;12;14;15;18;19;17;16;20;21;22
6;0;24;1;5;2;4;3;23;6;11;7;10;9;13;8;12;14;15;18;19;17;16;20;21;22
7;0;24;1;5;2;4;3;22;6;11;7;10;9;13;8;12;14;15;18;19;17;16;20;21;23
8;0;24;1;5;2;4;3;20;6;11;7;10;9;13;8;12;14;15;18;19;17;16;23;21;22
9;0;23;1;5;2;4;3;20;6;11;7;10;9;13;8;12;14;15;18;19;16;17;ab;21;22
10;0;23;1;5;2;4;3;20;6;11;10;9;8;13;7;12;14;15;18;19;16;17;ab;21;22
11;0;23;1;6;2;4;3;20;7;9;15;8;10;12;5;11;13;14;18;19;16;17;ab;21;22
12;0;23;1;12;2;3;4;19;13;9;15;6;14;8;5;7;10;11;18;20;16;17;ab;21;22
13;0;22;1;11;2;3;10;19;12;15;14;5;13;7;4;6;8;9;18;20;16;17;ab;21;23
14;0;22;1;11;2;3;10;18;12;15;14;5;13;6;4;8;7;9;19;20;16;17;ab;21;23
15;0;21;1;8;2;6;7;19;10;13;12;14;11;4;3;15;9;5;18;20;16;17;ab;22;23
16;0;21;1;7;2;6;8;18;9;12;11;13;10;4;3;14;16;5;19;20;15;17;ab;22;23
17;0;21;1;7;2;5;8;17;9;12;11;13;10;4;3;14;16;6;19;20;15;18;ab;22;23
18;0;21;1;6;2;5;19;16;8;11;10;12;9;4;3;13;15;7;18;20;14;17;ab;22;23
19;0;20;1;6;2;5;ab;16;8;11;10;12;9;4;3;13;15;7;18;19;14;17;ab;21;22
20;0;20;1;6;2;5;ab;16;8;11;10;12;9;4;3;13;15;7;18;19;14;17;ab;21;22
21;0;20;1;5;2;4;ab;16;8;11;10;12;9;3;6;13;15;7;19;18;14;17;ab;21;22
22;0;19;1;5;2;4;ab;16;8;11;10;12;9;3;6;13;15;7;20;18;14;17;ab;21;22
23;0;18;1;5;2;4;ab;16;8;11;10;12;9;3;6;13;15;7;20;19;14;17;ab;21;22
24;0;17;1;5;2;4;ab;16;8;11;10;12;9;3;6;13;15;7;20;19;14;18;ab;21;22
25;0;17;1;5;2;4;ab;16;8;13;10;11;9;3;6;12;15;7;20;19;14;18;ab;21;22
26;0;17;1;4;2;3;ab;15;8;16;10;11;9;6;5;12;14;7;20;19;13;18;ab;21;22
27;1;17;1;4;2;3;ab;14;6;16;8;10;7;11;5;12;13;9;20;19;15;18;ab;21;22
28;1;15;1;4;2;3;ab;14;6;16;8;9;7;10;5;11;13;12;20;19;17;18;ab;21;22
29;1;15;1;12;2;3;ab;14;5;ab;7;8;6;9;4;10;13;11;19;18;16;17;ab;20;21
30;0;14;1;16;2;3;ab;13;5;ab;7;8;6;9;4;10;12;11;19;18;15;17;ab;20;21
31;0;13;1;16;2;3;ab;12;5;ab;8;7;6;9;4;10;15;11;19;18;14;17;ab;20;21
32;0;12;1;16;2;3;ab;13;5;ab;8;7;6;9;4;10;15;11;19;18;14;17;ab;20;21
33;0;11;1;15;2;3;ab;13;5;ab;8;7;6;9;4;10;16;12;19;18;14;17;ab;20;21
