;sc;BAR;WEB;SUT;TRU;RAI;BUE;ROS;KUB;NAK;ALO;KOB;ALG;GRO;BUT;VET;KOV;HAM;HEI;FIS2;LIU
19;0;1;2;ab;ab;14;5;4;3;8;ab;6;15;13;7;9;11;10;12;16;17
20;0;2;1;ab;ab;13;5;4;3;8;ab;6;14;12;7;9;11;10;17;15;16
21;0;10;1;ab;ab;13;4;3;2;7;ab;5;14;12;6;8;11;9;ab;15;16
22;0;9;1;ab;ab;13;4;2;3;7;ab;5;14;12;6;8;11;10;ab;15;16
23;0;9;1;ab;ab;13;3;2;8;6;ab;4;14;12;5;7;11;10;ab;15;16
24;0;7;1;ab;ab;12;13;10;6;3;ab;4;14;11;2;5;9;8;ab;15;16
25;0;6;1;ab;ab;12;13;10;5;8;ab;3;14;11;2;4;9;7;ab;15;16
26;0;6;1;ab;ab;10;11;16;5;15;ab;3;12;9;2;4;8;7;ab;13;14
27;0;6;1;ab;ab;10;11;ab;5;15;ab;3;12;9;2;4;8;7;ab;13;14
28;0;6;1;ab;ab;10;11;ab;5;15;ab;3;12;9;2;4;8;7;ab;13;14
29;0;4;1;ab;ab;8;9;ab;3;14;ab;6;13;7;10;2;15;5;ab;11;12
30;0;4;1;ab;ab;7;8;ab;3;ab;ab;12;14;6;9;2;13;5;ab;10;11
31;0;4;1;ab;ab;7;8;ab;3;ab;ab;12;14;6;9;2;13;5;ab;10;11
32;0;4;1;ab;ab;7;8;ab;3;ab;ab;12;14;6;9;2;13;5;ab;10;11
33;0;4;1;ab;ab;6;8;ab;3;ab;ab;12;14;9;7;2;13;5;ab;10;11
34;0;4;1;ab;ab;6;8;ab;3;ab;ab;11;14;13;7;2;12;5;ab;9;10
35;0;4;1;ab;ab;6;8;ab;3;ab;ab;11;14;13;7;2;12;5;ab;9;10
36;0;4;1;ab;ab;6;8;ab;3;ab;ab;11;14;13;7;2;12;5;ab;9;10
37;0;3;1;ab;ab;5;8;ab;2;ab;ab;10;14;12;6;7;11;4;ab;13;9
38;0;3;1;ab;ab;5;8;ab;2;ab;ab;10;14;12;6;7;11;4;ab;13;9
39;0;3;1;ab;ab;5;8;ab;2;ab;ab;10;14;12;6;7;11;4;ab;13;9
40;0;3;1;ab;ab;5;8;ab;2;ab;ab;10;14;12;6;7;11;4;ab;13;9
41;0;3;1;ab;ab;5;8;ab;2;ab;ab;10;14;12;6;7;11;4;ab;13;9
42;0;3;1;ab;ab;6;7;ab;2;ab;ab;10;14;12;4;5;11;9;ab;13;8
43;0;3;1;ab;ab;11;6;ab;2;ab;ab;8;14;12;4;5;10;7;ab;13;9
44;0;3;1;ab;ab;10;6;ab;2;ab;ab;8;14;11;4;5;9;7;ab;13;12
45;0;3;1;ab;ab;10;6;ab;2;ab;ab;8;13;11;4;5;9;7;ab;12;14
46;0;2;1;ab;ab;10;6;ab;3;ab;ab;8;13;11;4;5;9;7;ab;12;14
