;sc;BUT;RAI;BAR;VET;MAS;ROS;KOV;WEB;ALO;NAK;BUE;PIQ;FIS;BOU;SUT;HEI;KUB;TRU;HAM;GLO
65;0;1;3;2;ab;4;6;ab;5;7;10;ab;ab;9;8;15;11;ab;13;14;12
66;0;1;3;2;ab;4;6;ab;5;7;10;ab;ab;9;8;15;11;ab;13;14;12
67;0;1;3;2;ab;4;6;ab;5;7;10;ab;ab;9;8;15;11;ab;13;14;12
68;0;1;3;2;ab;4;6;ab;5;7;10;ab;ab;9;8;15;12;ab;13;14;11
69;0;1;3;2;ab;4;6;ab;5;7;10;ab;ab;9;8;15;12;ab;14;13;11
70;0;1;3;2;ab;4;6;ab;5;7;10;ab;ab;9;8;15;12;ab;14;13;11
71;0;1;3;2;ab;4;6;ab;5;7;10;ab;ab;9;8;15;12;ab;14;13;11
72;0;1;3;2;ab;4;6;ab;5;7;10;ab;ab;9;8;15;12;ab;14;13;11
73;0;1;3;2;ab;4;6;ab;5;7;10;ab;ab;9;8;15;12;ab;14;13;11
74;0;1;3;2;ab;4;6;ab;5;7;10;ab;ab;9;8;15;12;ab;14;13;11
75;0;1;3;2;ab;4;6;ab;5;7;10;ab;ab;9;8;15;12;ab;14;13;11
76;0;1;3;2;ab;4;6;ab;5;7;15;ab;ab;9;8;14;11;ab;13;12;10
77;0;1;3;2;ab;4;6;ab;5;7;15;ab;ab;9;8;14;11;ab;13;12;10
