;race_idx;race_name;ALG;ALO;BAR;BUE;BUT;CHA;DLR;DGR;GLO;HAM;HUL;KOB;KOV;KUB;LIU;MAS;PET;ROS;MSC;SEN;SUT;TRU;VET;WEB
0;1;BHR;13;1;10;16;7;ab;ab;ab;ab;3;14;ab;15;11;9;2;ab;5;6;ab;12;17;4;8
1;2;AUS;11;4;8;ab;1;14;12;ab;ab;6;ab;ab;13;2;7;3;ab;5;10;ab;ab;np;ab;9
2;3;MYS;9;13;12;11;8;15;np;14;ab;6;10;ab;nc;4;ab;7;ab;3;ab;16;5;17;1;2
3;4;CHN;13;4;12;ab;1;17;ab;ab;np;2;15;ab;14;5;ab;9;7;3;10;16;11;ab;6;8
4;5;ESP;10;2;9;ab;5;ab;ab;19;18;14;16;12;np;8;15;6;11;13;4;ab;7;17;3;1
5;6;MCO;11;6;ab;10;ab;14;ab;ab;ab;5;ab;ab;ab;3;9;4;13;7;12;ab;8;15;2;1
6;7;TUR;12;8;14;16;2;20;11;19;18;1;17;10;ab;6;13;7;15;5;4;ab;9;ab;ab;3
7;8;CAN;12;3;14;8;2;18;ab;19;ab;1;13;ab;16;7;9;15;17;6;11;ab;10;ab;4;5
8;9;EUR;13;8;4;9;3;18;12;17;19;2;ab;7;ab;5;16;11;14;10;15;20;6;21;1;ab
9;10;GBR;ab;14;5;12;4;19;ab;ab;18;2;10;6;17;ab;11;15;13;3;9;-;8;16;7;1
10;11;DEU;15;1;12;ab;5;-;14;ab;18;4;13;11;ab;7;16;2;10;8;9;19;17;ab;3;6
11;12;HUN;ab;2;10;12;8;-;7;18;16;ab;6;9;14;ab;13;4;5;ab;11;17;ab;15;3;1
12;13;BEL;13;ab;ab;12;ab;-;11;17;18;1;14;8;16;3;10;4;9;6;7;ab;5;19;15;2
13;14;ITA;15;1;10;11;2;-;14;20;17;ab;7;ab;18;8;12;3;13;5;9;ab;16;ab;4;6
14;15;SGP;12;1;6;14;4;-;-;15;ab;ab;10;ab;16;7;ab;8;11;5;13;ab;9;ab;2;3
15;16;JPN;11;3;9;10;4;-;-;np;14;5;ab;7;12;ab;ab;ab;ab;17;6;15;ab;13;1;2
16;17;KOR;11;1;7;ab;12;-;-;ab;ab;2;10;8;13;5;6;3;ab;ab;4;14;ab;ab;ab;ab
17;18;BRA;11;3;14;13;5;-;-;nc;20;4;8;10;18;9;ab;15;16;6;7;21;12;19;1;2
18;19;ABD;9;7;12;15;3;-;-;18;ab;2;16;14;17;5;ab;10;6;4;ab;19;13;21;1;8
