;sc;HAM;ROS;RIC;VET;ALO;MAS;RAI;BOT;MAG;KVY;BUT;VER;HUL;GUT;PER;GRO;SUT;MAL;BIA;KOB;CHI;ERI
0;0;1;21;4;2;3;6;5;8;9;10;7;11;12;13;14;15;16;17;18;np;20;19
1;0;1;21;4;2;3;6;5;8;9;10;7;11;12;13;14;15;16;17;18;np;20;19
2;0;1;21;4;2;3;6;5;8;9;10;7;11;12;13;14;15;16;17;18;np;20;19
3;0;1;20;4;2;3;6;5;8;9;10;7;11;12;13;14;15;16;17;18;np;21;19
4;0;1;20;4;2;3;6;5;8;9;10;7;11;12;13;14;15;16;17;18;np;21;19
5;0;1;20;4;2;3;6;5;8;9;10;7;11;12;13;14;15;16;17;18;np;21;19
6;0;1;20;4;2;3;6;5;8;9;10;7;11;12;13;14;15;16;17;18;np;21;19
7;0;1;20;4;2;3;6;5;8;9;11;7;10;12;13;14;15;18;16;17;np;21;19
8;0;1;19;4;2;3;6;5;8;9;11;7;10;15;12;13;14;21;16;17;np;20;18
9;0;1;19;4;2;3;9;5;7;8;13;6;10;18;11;12;15;21;14;16;np;20;17
10;0;1;18;4;2;3;12;6;8;7;16;5;9;15;10;11;19;20;13;14;np;21;17
11;0;1;17;4;2;3;9;10;11;6;15;5;13;14;8;7;16;18;19;12;np;20;21
12;0;1;20;6;3;4;8;9;11;5;15;2;12;13;10;7;16;17;18;14;np;19;21
13;0;1;ab;5;2;4;6;7;9;12;15;3;11;13;10;8;16;17;18;14;np;19;20
14;0;1;ab;4;2;3;5;6;7;10;13;8;9;11;15;12;14;16;18;17;np;19;20
15;0;1;ab;4;2;3;5;6;7;10;12;8;9;11;17;16;13;14;15;18;np;19;20
16;0;1;ab;4;2;3;5;6;7;10;12;8;9;11;19;16;13;14;15;17;np;20;18
17;0;1;ab;4;2;3;5;6;7;10;12;8;9;11;ab;16;13;14;15;17;np;19;18
18;0;1;ab;4;2;3;5;6;7;10;12;8;9;11;ab;16;13;14;15;17;np;19;18
19;0;1;ab;4;2;3;5;6;7;10;12;8;9;11;ab;16;13;14;15;17;np;19;18
20;0;1;ab;4;2;3;5;6;7;10;12;8;9;11;ab;16;13;14;15;17;np;19;18
21;0;1;ab;4;2;3;7;5;6;10;12;8;9;11;ab;16;13;14;15;17;np;19;18
22;0;1;ab;4;2;3;11;5;6;9;12;7;8;10;ab;14;16;13;15;17;np;19;18
23;0;1;ab;3;2;4;9;5;11;7;15;6;10;8;ab;12;14;13;17;16;np;19;18
24;0;1;ab;2;3;4;8;5;9;7;14;6;11;10;ab;12;13;17;15;16;np;19;18
25;0;1;ab;2;4;3;6;7;9;8;14;5;10;11;ab;12;13;17;15;16;np;19;18
26;0;2;ab;1;4;3;6;7;8;10;14;5;9;11;ab;12;13;17;15;16;np;19;18
27;0;1;ab;4;3;2;6;7;8;10;14;5;9;11;ab;12;13;16;15;17;np;19;18
28;0;1;ab;4;3;2;6;7;8;10;13;5;9;11;ab;14;12;16;15;17;np;19;18
29;0;1;ab;4;3;2;6;7;8;10;12;5;9;11;ab;16;13;15;14;17;np;19;18
30;1;1;ab;4;3;2;5;8;6;10;12;7;9;11;ab;17;13;14;15;16;np;19;18
31;1;1;ab;3;2;4;5;8;6;10;11;7;9;12;ab;17;13;14;15;16;np;19;18
32;1;1;ab;3;2;4;5;8;6;10;11;7;9;12;ab;17;13;14;15;16;np;19;18
33;1;1;ab;3;2;4;5;8;6;10;11;7;9;12;ab;17;13;14;15;16;np;19;18
34;1;1;ab;3;2;4;5;8;6;10;11;7;9;12;ab;17;13;14;15;16;np;19;18
35;1;1;ab;3;2;4;5;8;6;10;11;7;9;12;ab;17;13;14;15;16;np;19;18
