;sc;ROS;HAM;VET;BOT;MAS;RIC;ALO;VER;BUT;RAI;HUL;MAG;PER;GRO;KVY;SUT;MAL;CHI;BIA;ERI;KOB;GUT
59;0;1;ab;4;9;5;3;7;10;8;12;6;11;2;ab;ab;14;ab;ab;ab;ab;ab;13
60;0;1;ab;4;9;5;3;7;10;8;12;6;11;2;ab;ab;14;ab;ab;ab;ab;ab;13
61;0;1;ab;4;9;5;3;7;10;8;12;6;11;2;ab;ab;14;ab;ab;ab;ab;ab;13
62;0;1;ab;4;9;5;3;7;10;8;12;6;11;2;ab;ab;14;ab;ab;ab;ab;ab;13
63;0;1;ab;4;9;5;3;7;10;8;12;6;11;2;ab;ab;13;ab;ab;ab;ab;ab;14
64;0;1;ab;4;9;5;3;7;10;8;12;6;11;2;ab;ab;13;ab;ab;ab;ab;ab;14
65;0;1;ab;4;9;5;2;7;10;8;12;6;11;3;ab;ab;13;ab;ab;ab;ab;ab;14
66;0;1;ab;4;9;5;2;7;10;8;12;6;11;3;ab;ab;13;ab;ab;ab;ab;ab;14
67;0;2;ab;4;9;5;1;7;10;8;12;6;11;3;ab;ab;13;ab;ab;ab;ab;ab;14
68;0;2;ab;3;9;5;1;8;10;6;12;7;11;4;ab;ab;13;ab;ab;ab;ab;ab;14
69;1;2;ab;3;7;12;1;6;8;4;10;5;9;11;ab;ab;13;ab;ab;ab;ab;ab;14
