;sc;ROS;VET;BUT;HUL;MAG;HAM;PER;RIC;KVY;VER;GRO;BIA;SUT;BOT;MAS;ALO;CHI;RAI;GUT;MAL;ERI;KOB
0;1;1;5;2;6;3;4;20;7;8;18;17;11;12;9;ab;14;10;ab;13;15;16;19
1;1;1;5;2;6;3;4;19;7;8;17;16;10;11;9;ab;13;20;ab;12;14;15;18
2;0;1;5;2;6;4;3;19;8;9;17;15;10;11;7;ab;12;20;ab;13;14;16;18
3;0;1;5;3;7;4;2;19;8;9;16;15;11;12;6;ab;10;20;ab;13;14;17;18
4;0;1;5;3;7;4;2;18;8;9;16;15;11;12;6;ab;10;20;ab;13;14;17;19
5;0;1;5;3;7;4;2;17;9;10;16;15;11;12;6;ab;8;20;ab;13;14;18;19
6;0;1;5;3;7;4;2;17;9;10;16;15;11;12;6;ab;8;20;ab;13;14;18;19
7;0;1;5;3;8;4;2;17;9;10;16;15;12;11;6;ab;7;20;ab;13;14;19;18
8;0;1;5;3;9;4;2;17;8;10;13;14;12;11;6;ab;7;20;ab;16;15;19;18
9;0;1;4;3;9;5;2;16;8;10;13;14;12;11;6;ab;7;19;ab;ab;15;18;17
10;0;1;10;3;8;4;2;16;7;9;12;14;13;11;5;ab;6;19;ab;ab;15;18;17
11;0;1;10;3;8;4;2;16;7;9;12;13;14;11;5;ab;6;18;ab;ab;15;ab;17
12;0;1;10;3;8;5;2;15;7;9;12;13;14;11;4;ab;6;18;ab;ab;16;ab;17
13;0;1;10;3;8;5;2;14;7;9;12;13;15;11;4;ab;6;18;ab;ab;16;ab;17
14;0;1;8;3;9;6;2;13;7;14;11;12;15;10;4;ab;5;18;ab;ab;16;ab;17
15;0;1;7;4;8;6;2;14;9;13;11;12;16;10;3;ab;5;18;ab;ab;15;ab;17
16;0;1;7;4;8;6;2;14;9;13;11;12;16;10;3;ab;5;18;ab;ab;15;ab;17
17;0;1;7;4;8;6;2;14;9;12;11;13;16;10;3;ab;5;18;ab;ab;15;ab;17
18;0;2;7;4;8;6;1;14;9;12;11;13;16;10;3;ab;5;18;ab;ab;15;ab;17
19;0;2;7;4;8;6;1;14;9;12;11;13;16;10;3;ab;5;18;ab;ab;15;ab;17
20;0;2;7;4;9;6;1;14;8;12;11;13;16;10;3;ab;5;18;ab;ab;15;ab;17
21;0;2;7;4;9;6;1;14;8;12;11;13;16;10;3;ab;5;18;ab;ab;15;ab;17
22;0;2;7;4;9;6;1;14;8;11;12;13;16;10;3;ab;5;18;ab;ab;15;ab;17
23;0;2;7;4;9;6;1;13;8;10;11;12;16;15;3;ab;5;18;ab;ab;14;ab;17
24;0;1;6;5;9;7;2;13;8;10;11;12;16;15;3;ab;4;18;ab;ab;14;ab;17
25;0;1;5;4;8;6;2;13;7;10;11;12;16;15;3;ab;9;18;ab;ab;14;ab;17
26;0;1;5;4;9;6;2;15;7;10;11;12;14;13;3;ab;8;18;ab;ab;16;ab;17
27;0;1;5;4;9;8;2;15;6;10;12;11;14;13;3;ab;7;18;ab;ab;16;ab;17
28;0;ab;3;5;8;7;1;13;4;9;11;10;14;12;2;ab;6;17;ab;ab;15;ab;16
29;0;ab;3;5;10;7;1;13;4;8;11;9;15;12;2;ab;6;17;ab;ab;14;ab;16
30;0;ab;3;5;9;7;1;12;4;8;10;13;15;11;2;ab;6;17;ab;ab;14;ab;16
31;0;ab;2;5;9;7;1;12;4;8;10;13;15;11;3;ab;6;17;ab;ab;14;ab;16
32;0;ab;2;5;9;7;1;12;4;8;10;13;15;11;3;ab;6;17;ab;ab;14;ab;16
33;0;ab;6;4;9;7;1;12;3;8;10;13;15;11;2;ab;5;17;ab;ab;14;ab;16
34;0;ab;6;4;9;7;1;12;3;8;10;13;15;11;2;ab;5;17;ab;ab;14;ab;16
35;0;ab;6;4;8;7;1;12;3;10;9;13;15;11;2;ab;5;17;ab;ab;14;ab;16
36;0;ab;6;4;8;7;1;11;3;9;10;13;15;12;2;ab;5;17;ab;ab;14;ab;16
37;0;ab;6;4;8;7;1;11;3;9;10;13;15;12;2;ab;5;17;ab;ab;14;ab;16
38;0;ab;6;4;8;7;1;11;3;9;10;13;15;12;2;ab;5;17;ab;ab;14;ab;16
39;0;ab;6;4;8;7;1;11;3;9;10;13;15;12;2;ab;5;17;ab;ab;14;ab;16
40;0;ab;6;4;8;7;1;11;3;9;10;13;15;12;2;ab;5;17;ab;ab;14;ab;16
41;0;ab;6;4;8;7;1;11;3;9;10;12;15;13;2;ab;5;17;ab;ab;14;ab;16
42;0;ab;6;4;8;7;1;11;3;9;10;12;15;13;2;ab;5;17;ab;ab;14;ab;16
43;0;ab;6;4;8;7;1;11;3;9;10;12;15;13;2;ab;5;17;ab;ab;14;ab;16
44;0;ab;6;4;8;7;1;11;3;9;10;12;15;13;2;ab;5;17;ab;ab;14;ab;16
45;0;ab;6;4;8;7;1;11;3;9;10;12;15;13;2;ab;5;17;ab;ab;14;ab;16
46;0;ab;5;4;8;7;1;11;3;9;10;12;15;13;2;ab;6;17;ab;ab;14;ab;16
47;0;ab;5;4;8;7;1;11;3;9;10;12;15;13;2;ab;6;17;ab;ab;14;ab;16
48;0;ab;5;4;8;7;1;11;3;9;10;12;15;13;2;ab;6;17;ab;ab;14;ab;16
49;0;ab;5;4;8;7;1;11;3;9;10;12;14;13;2;ab;6;16;ab;ab;17;ab;15
50;0;ab;5;4;8;7;1;11;3;9;10;12;14;13;2;ab;6;16;ab;ab;17;ab;15
51;0;ab;5;4;8;7;1;11;3;9;10;12;14;13;2;ab;6;16;ab;ab;17;ab;15
