;sc;ROS;VET;BOT;RIC;ALO;MAS;BUT;VER;HUL;KVY;SUT;PER;GUT;GRO;BIA;RAI;KOB;CHI;ERI;MAL;MAG;HAM
20;0;5;6;9;1;3;2;14;4;ab;13;12;8;10;ab;18;11;15;17;ab;19;16;7
21;0;5;6;9;1;3;2;14;4;ab;13;12;8;10;ab;18;11;16;17;ab;19;15;7
22;1;5;6;8;1;3;2;13;4;ab;12;11;ab;9;ab;17;10;15;16;ab;18;14;7
23;1;3;4;13;6;1;7;12;2;ab;11;10;ab;8;ab;17;9;15;16;ab;18;14;5
24;1;3;4;13;6;1;7;12;2;ab;11;10;ab;8;ab;16;9;ab;15;ab;17;14;5
25;1;3;4;13;6;1;7;12;2;ab;11;10;ab;8;ab;16;9;ab;15;ab;17;14;5
26;0;3;4;13;6;1;7;12;2;ab;11;10;ab;8;ab;15;9;ab;16;ab;17;14;5
27;0;3;4;14;6;1;7;11;2;ab;12;10;ab;8;ab;15;9;ab;17;ab;16;13;5
28;0;3;4;14;6;1;7;11;2;ab;12;10;ab;8;ab;16;9;ab;17;ab;15;13;5
29;0;3;4;13;6;1;7;10;2;ab;14;11;ab;9;ab;16;8;ab;17;ab;15;12;5
30;0;3;4;13;6;1;7;9;2;ab;17;10;ab;12;ab;15;8;ab;16;ab;14;11;5
31;0;5;6;12;4;1;7;9;2;ab;17;10;ab;16;ab;14;8;ab;15;ab;13;11;3
32;0;13;7;11;4;1;5;8;2;ab;16;9;ab;ab;ab;14;6;ab;15;ab;12;10;3
33;0;11;13;10;3;1;5;7;4;ab;16;8;ab;ab;ab;14;6;ab;15;ab;12;9;2
34;0;10;13;9;3;1;4;6;12;ab;16;7;ab;ab;ab;14;5;ab;15;ab;11;8;2
35;0;10;13;9;3;1;4;6;12;ab;16;7;ab;ab;ab;14;5;ab;15;ab;11;8;2
36;0;10;13;9;3;1;4;6;12;ab;16;7;ab;ab;ab;14;5;ab;15;ab;11;8;2
37;0;8;12;9;3;2;4;13;11;ab;16;6;ab;ab;ab;14;5;ab;15;ab;10;7;1
38;0;6;12;9;1;5;3;13;11;ab;16;7;ab;ab;ab;14;4;ab;15;ab;10;8;2
