;race_idx;race_name;ALO;BOT;ERI;GRO;HAM;HUL;KVY;MAG;MAS;OCO;PAL;PER;RAI;RIC;SAI;STR;VAN;VER;VET;WEH
0;1;AUS;13;3;15;6;1;12;9;17;7;14;20;11;4;10;8;19;18;5;2;-
1;2;CHN;13;3;14;17;1;7;9;12;6;20;18;8;4;5;11;10;16;19;2;-
2;3;BHR;15;1;19;9;2;7;11;20;8;14;10;18;5;4;16;12;17;6;3;13
3;4;RUS;15;3;19;20;4;8;13;14;6;10;16;9;2;5;11;12;17;7;1;18
4;5;ESP;7;3;16;14;1;13;20;11;9;10;17;8;4;6;12;18;19;5;2;15
5;6;MCO;-;3;20;8;14;12;11;13;15;16;17;7;1;5;6;18;10;4;2;19
6;7;CAN;12;3;19;14;1;10;11;18;7;9;15;8;4;6;13;17;16;5;2;20
7;8;AZE;16;2;18;17;1;14;11;13;9;7;20;6;3;10;12;8;19;5;4;15
8;9;AUT;12;1;19;7;3;11;14;15;17;9;16;8;4;5;10;18;13;6;2;20
9;10;GBR;13;4;19;10;1;6;12;17;15;8;11;7;2;20;14;16;9;6;3;18
10;11;HUN;8;3;20;15;4;7;13;16;-;12;11;14;2;6;10;17;9;5;1;18
11;12;BEL;11;3;19;12;1;7;17;13;16;9;10;8;4;6;14;18;15;5;2;20
12;13;ITA;13;6;18;20;1;12;14;16;9;5;17;11;7;3;15;4;10;2;8;19
13;14;SGP;8;6;20;15;5;7;13;16;17;14;11;12;4;3;10;18;9;2;1;19
14;15;MYS;10;5;19;16;1;8;-;17;11;6;12;9;2;4;14;13;7;3;20;18
15;16;JPN;10;2;19;16;1;12;-;13;9;7;14;8;6;4;15;18;11;5;3;20
16;17;USA;9;3;16;14;1;15;12;20;11;7;-;10;5;4;8;17;13;6;2;19
17;18;MEX;14;4;16;19;3;8;-;18;11;6;-;10;5;7;9;12;15;2;1;17
18;19;BRA;7;1;19;12;20;8;-;14;10;11;-;6;3;5;9;18;13;4;2;16
19;20;ABD;11;1;19;16;2;7;-;14;10;9;-;8;5;4;12;15;13;6;3;18
