;sc;BAR;MSC;RSC;MON;FIS;TRU;MAS;HEI;BUT;COU;RAI;PAN;VIL;SAT;DLR;IRV;SAL;MCN;WEB;DAV
24;0;1;2;3;17;4;8;5;10;6;9;7;16;ab;11;13;ab;12;14;15;18
25;0;1;2;3;17;4;8;5;10;6;9;7;16;ab;11;13;ab;12;14;15;18
26;0;1;2;3;15;4;8;5;10;6;9;7;14;ab;11;13;ab;12;16;17;18
27;0;1;2;3;14;4;8;5;10;6;9;7;12;ab;11;15;ab;13;16;17;18
28;0;1;2;3;13;4;8;5;10;6;9;7;12;ab;11;15;ab;14;16;17;18
29;0;1;2;3;13;10;7;4;9;5;8;6;12;ab;11;15;ab;14;16;17;18
30;0;1;2;3;12;9;7;4;8;ab;6;5;10;ab;11;14;ab;13;15;16;17
31;0;1;3;2;12;6;9;8;7;ab;5;4;10;ab;11;14;ab;13;15;16;17
32;0;2;3;1;12;6;8;7;9;ab;5;4;10;ab;11;14;ab;13;15;16;17
33;0;1;2;3;11;6;8;7;9;ab;5;4;12;ab;10;14;ab;13;15;16;17
34;0;1;2;3;11;5;8;6;9;ab;7;4;12;ab;10;14;ab;13;15;16;17
35;0;1;2;3;11;4;8;5;9;ab;7;6;12;ab;10;14;ab;13;15;16;17
36;0;1;2;3;11;4;8;5;9;ab;7;6;12;ab;10;14;ab;13;15;16;17
37;0;1;2;3;11;4;8;5;9;ab;7;6;12;ab;10;14;ab;13;15;16;17
38;0;1;2;3;11;4;8;5;9;ab;7;6;12;ab;10;14;ab;13;15;16;17
39;0;1;2;3;11;4;8;5;9;ab;7;6;12;ab;10;14;ab;13;15;16;17
40;0;1;2;3;11;4;8;5;9;ab;7;6;12;ab;10;14;ab;13;15;16;17
41;0;1;2;3;11;4;8;5;9;ab;7;6;12;ab;10;14;ab;13;15;16;17
42;0;1;2;3;11;4;8;5;9;ab;7;6;12;ab;10;14;ab;13;15;16;17
43;0;1;2;3;11;4;8;5;9;ab;7;6;12;ab;10;14;ab;13;15;16;17
44;0;1;2;3;11;4;8;5;9;ab;7;6;12;ab;10;14;ab;13;15;16;17
45;0;1;2;3;11;4;8;5;9;ab;7;6;12;ab;10;14;ab;13;15;16;17
46;0;1;2;3;11;4;8;5;9;ab;7;6;12;ab;10;14;ab;13;15;16;17
47;0;1;2;3;11;4;8;5;9;ab;7;6;12;ab;10;14;ab;13;15;16;17
48;0;1;2;3;11;4;8;5;9;ab;7;6;12;ab;10;14;ab;13;15;16;17
