;sc;MON;MSC;BAR;RAI;RSC;COU;BUT;TRU;IRV;HEI;PAN;MAS;VIL;SAT;DLR;SAL;MCN;WEB;YOO
0;0;1;2;np;3;4;5;6;8;9;10;18;7;13;17;16;11;12;14;15
1;0;1;2;np;3;4;5;6;8;9;10;18;7;13;17;16;11;12;14;15
2;0;1;2;np;3;4;5;6;8;9;10;18;7;13;16;15;11;12;14;17
3;0;1;2;np;3;4;5;6;8;9;10;18;7;13;16;15;11;12;14;17
4;0;1;2;np;3;4;5;6;8;9;10;18;7;13;16;15;11;12;14;17
5;0;1;2;np;3;4;5;6;8;9;10;18;7;13;16;15;11;12;14;17
6;0;1;2;np;3;4;5;6;7;8;10;18;9;13;16;15;11;12;14;17
7;0;1;2;np;3;4;5;6;7;8;9;18;15;12;16;14;10;11;13;17
8;0;1;2;np;3;4;5;6;7;8;9;18;15;12;16;14;10;11;13;17
9;0;1;2;np;3;4;5;6;7;8;9;18;16;12;15;14;10;11;13;17
10;0;1;2;np;3;4;5;6;7;8;9;18;16;12;15;14;10;11;13;17
11;0;1;2;np;3;4;5;6;7;8;9;18;16;12;15;14;10;11;13;17
12;0;1;2;np;3;4;5;6;7;8;9;18;16;12;15;14;10;11;13;17
13;0;1;2;np;3;4;5;6;7;8;9;18;16;12;15;14;10;11;13;17
14;0;1;2;np;3;4;5;6;7;8;9;18;16;12;15;14;10;11;13;17
15;0;1;2;np;3;4;5;6;7;8;9;18;16;12;15;14;10;11;13;17
16;0;1;2;np;3;4;5;6;7;8;9;18;16;12;15;14;10;11;13;17
17;0;1;2;np;3;4;5;6;7;8;9;18;16;12;15;14;10;11;13;17
18;0;1;2;np;3;4;5;6;7;8;9;18;16;12;15;14;10;11;13;17
19;0;1;2;np;3;4;5;6;7;8;9;18;16;12;15;14;10;11;13;17
20;0;1;2;np;3;4;5;9;6;7;8;18;15;16;14;13;10;11;12;17
21;0;1;2;np;3;5;4;7;8;11;6;18;15;16;14;13;9;10;12;17
22;0;1;2;np;3;5;4;7;8;11;6;18;15;16;14;13;9;10;12;17
23;0;3;1;np;2;5;4;7;8;10;6;17;13;15;ab;14;9;11;12;16
24;0;4;1;np;2;5;3;7;8;9;6;17;11;12;ab;15;10;14;13;16
25;0;4;2;np;1;5;3;7;8;9;6;17;10;11;ab;15;12;14;13;16
26;0;4;3;np;2;5;1;7;8;9;6;17;10;11;ab;15;12;14;13;16
27;0;3;2;np;4;5;1;6;8;9;7;17;14;10;ab;15;11;13;12;16
28;0;2;1;np;3;4;5;6;7;8;9;17;14;10;ab;15;11;13;12;16
29;0;2;1;np;3;4;5;6;7;8;9;ab;14;10;ab;15;11;13;12;16
30;0;2;1;np;3;4;5;6;7;8;9;ab;14;10;ab;15;11;13;12;16
31;0;2;1;np;3;4;5;6;7;8;9;ab;14;10;ab;15;11;13;12;16
32;0;2;1;np;3;4;5;6;7;8;9;ab;14;10;ab;15;11;13;12;16
33;0;2;1;np;3;4;5;6;7;8;9;ab;14;10;ab;15;11;13;12;16
34;0;2;1;np;3;4;5;6;7;8;9;ab;14;10;ab;15;11;13;12;16
35;0;1;3;np;2;4;5;6;7;8;9;ab;13;ab;ab;14;10;12;11;15
36;0;1;3;np;2;4;5;6;7;8;9;ab;13;ab;ab;14;10;12;11;15
37;0;1;3;np;2;4;5;6;7;8;9;ab;13;ab;ab;14;10;12;11;15
38;0;1;3;np;2;4;5;6;7;8;9;ab;13;ab;ab;14;10;12;11;15
39;0;1;3;np;2;4;5;6;7;8;9;ab;13;ab;ab;14;10;12;11;15
40;0;1;3;np;2;4;5;6;7;8;9;ab;13;ab;ab;14;10;12;11;15
41;0;1;3;np;2;4;5;6;7;8;9;ab;13;ab;ab;14;10;12;11;15
42;0;3;2;np;1;4;5;6;7;8;9;ab;13;ab;ab;14;10;12;11;15
43;0;6;2;np;1;4;3;5;7;8;9;ab;13;ab;ab;14;10;12;11;15
44;0;4;2;np;1;5;3;7;6;8;9;ab;11;ab;ab;14;13;12;10;15
45;0;4;2;np;1;5;3;7;6;8;9;ab;11;ab;ab;13;12;14;10;15
46;0;4;2;np;1;5;3;6;7;8;9;ab;10;ab;ab;13;12;14;11;15
47;0;4;2;np;1;5;3;6;7;8;9;ab;10;ab;ab;13;12;14;11;15
48;0;4;3;np;1;5;2;6;7;8;9;ab;ab;ab;ab;11;ab;12;10;13
49;0;4;3;np;2;5;1;6;ab;7;8;ab;ab;ab;ab;10;ab;11;9;12
50;0;4;3;np;2;5;1;6;ab;7;8;ab;ab;ab;ab;10;ab;11;9;12
51;0;4;3;np;2;5;1;6;ab;7;8;ab;ab;ab;ab;10;ab;11;9;12
52;0;4;3;np;2;5;1;6;ab;ab;7;ab;ab;ab;ab;9;ab;10;8;11
53;0;4;3;np;2;5;1;6;ab;ab;7;ab;ab;ab;ab;9;ab;10;8;11
54;0;4;2;np;1;5;3;6;ab;ab;7;ab;ab;ab;ab;9;ab;10;8;11
55;0;4;2;np;1;5;3;6;ab;ab;7;ab;ab;ab;ab;10;ab;9;8;11
56;0;4;2;np;1;5;3;6;ab;ab;7;ab;ab;ab;ab;10;ab;9;8;11
57;0;4;2;np;1;5;3;6;ab;ab;7;ab;ab;ab;ab;10;ab;9;8;11
58;0;4;2;np;1;5;3;6;ab;ab;7;ab;ab;ab;ab;10;ab;9;8;11
59;0;4;2;np;1;5;3;6;ab;ab;7;ab;ab;ab;ab;10;ab;9;8;11
60;0;4;2;np;1;5;3;6;ab;ab;7;ab;ab;ab;ab;10;ab;9;8;11
61;0;4;2;np;1;5;3;6;ab;ab;7;ab;ab;ab;ab;10;ab;9;8;11
62;0;4;2;np;1;5;3;6;ab;ab;7;ab;ab;ab;ab;10;ab;9;8;11
63;0;4;2;np;1;5;3;6;ab;ab;7;ab;ab;ab;ab;10;ab;9;8;11
64;0;4;2;np;1;5;3;6;ab;ab;7;ab;ab;ab;ab;10;ab;9;8;11
65;0;4;2;np;1;5;3;6;ab;ab;7;ab;ab;ab;ab;9;ab;11;8;10
66;0;4;2;np;1;5;3;6;ab;ab;7;ab;ab;ab;ab;9;ab;11;8;10
67;0;4;1;np;2;5;3;6;ab;ab;7;ab;ab;ab;ab;9;ab;11;8;10
68;0;4;1;np;2;5;3;6;ab;ab;7;ab;ab;ab;ab;9;ab;11;8;10
69;0;4;1;np;2;5;3;6;ab;ab;7;ab;ab;ab;ab;9;ab;11;8;10
70;0;4;1;np;2;5;3;6;ab;ab;7;ab;ab;ab;ab;9;ab;11;8;10
71;0;4;1;np;2;5;3;6;ab;ab;7;ab;ab;ab;ab;9;ab;11;8;10
