;sc;MON;MSC;RSC;COU;RAI;TRU;BUT;BAR;HEI;SAL;DLR;MAS;IRV;FIS;VIL;MCN;PAN;FRE;SAT;WEB;BER;YOO
59;0;7;1;2;3;4;5;6;ab;12;8;11;ab;9;ab;10;ab;ab;ab;13;14;ab;15
60;0;6;1;2;3;4;ab;5;ab;12;7;10;ab;8;ab;9;ab;ab;ab;11;13;ab;14
61;0;6;1;2;3;4;ab;5;ab;ab;7;10;ab;8;ab;9;ab;ab;ab;11;12;ab;13
62;0;6;1;2;3;4;ab;5;ab;ab;7;10;ab;8;ab;9;ab;ab;ab;11;12;ab;13
63;0;6;1;2;3;4;ab;5;ab;ab;7;10;ab;8;ab;9;ab;ab;ab;11;12;ab;13
64;0;6;1;2;3;4;ab;5;ab;ab;7;10;ab;8;ab;9;ab;ab;ab;11;12;ab;13
65;0;6;1;2;3;4;ab;5;ab;ab;7;10;ab;8;ab;9;ab;ab;ab;11;12;ab;13
66;0;6;1;2;3;4;ab;5;ab;ab;7;10;ab;8;ab;9;ab;ab;ab;11;12;ab;13
67;0;5;1;2;3;12;ab;4;ab;ab;6;9;ab;7;ab;8;ab;ab;ab;10;11;ab;13
68;0;5;1;2;3;12;ab;4;ab;ab;6;8;ab;7;ab;10;ab;ab;ab;9;11;ab;13
69;0;5;1;2;3;12;ab;4;ab;ab;6;8;ab;7;ab;10;ab;ab;ab;9;11;ab;13
70;0;5;1;2;3;12;ab;4;ab;ab;6;8;ab;7;ab;10;ab;ab;ab;9;11;ab;13
