;race_idx;race_name;ALO;BUT;DLR;DRE;GLO;GRO;HAM;HUL;KAR;KOB;KOV;MAL;MAS;PER;PET;PIC;RAI;RIC;ROS;MSC;SEN;VER;VET;WEB
0;1;AUS;12;2;-;15;20;3;1;9;-;13;18;8;16;22;19;21;17;10;7;4;14;11;6;5
1;2;MYS;8;2;22;14;20;6;1;16;23;17;24;11;12;9;19;21;10;15;7;3;13;18;5;4
2;3;CHN;9;5;22;15;20;10;7;16;23;3;18;13;12;8;19;21;4;17;1;2;14;24;11;6
3;4;BHR;9;4;20;10;23;7;2;13;24;12;16;21;14;8;18;19;11;6;5;22;15;17;1;3
4;5;ESP;2;10;22;12;21;3;24;13;23;9;19;1;16;5;18;20;4;15;6;8;17;14;7;11
5;6;MCO;5;12;20;14;19;4;3;10;22;11;17;24;7;23;18;21;8;15;2;6;13;16;9;1
6;7;CAN;3;10;20;8;21;7;2;13;24;11;17;22;6;15;18;23;12;14;5;9;16;19;1;4
7;8;EUR;11;9;21;10;24;4;2;8;22;7;16;3;13;15;20;23;5;17;6;12;14;18;1;19
8;9;GBR;1;16;21;10;20;9;8;14;22;17;19;7;5;15;18;24;6;12;11;3;13;23;4;2
9;10;DEU;1;6;23;9;22;19;7;4;24;12;16;5;13;17;18;20;10;11;21;3;14;15;2;8
10;11;HUN;6;4;23;12;22;2;1;10;24;15;19;8;7;14;20;21;5;18;13;17;9;16;3;11
11;12;BEL;5;1;21;9;20;8;7;11;24;2;18;6;14;4;19;22;3;16;23;13;17;15;10;12
12;13;ITA;10;2;23;9;19;-;1;24;21;8;17;22;3;12;18;20;7;14;6;4;13;16;5;11
13;14;SGP;5;4;24;6;20;8;1;11;23;17;19;2;13;14;18;21;12;15;10;9;22;16;3;7
14;15;JPN;6;8;20;11;18;4;9;15;24;3;17;12;10;5;22;21;7;14;13;23;16;19;1;2
15;16;KOR;4;11;22;14;20;7;3;8;23;13;19;15;6;12;18;24;5;21;9;10;17;16;2;1
16;17;IND;5;4;22;16;21;11;3;12;23;17;20;9;6;8;19;24;7;15;10;14;13;18;1;2
17;18;ABD;6;5;22;12;21;9;1;10;23;15;18;3;8;11;20;19;4;16;7;13;14;17;24;2
18;19;USA;7;12;23;13;19;8;2;6;24;16;22;9;11;15;21;20;4;18;17;5;10;14;1;3
19;20;BRA;7;2;24;10;21;18;1;6;23;14;20;16;5;12;19;22;8;15;9;13;11;17;4;3
