;race_idx;race_name;ALO;BIA;BOT;BUT;CHI;DRE;GRO;GUT;HAM;HUL;MAL;MAS;PER;PIC;RAI;RIC;ROS;SUT;VDG;VER;VET;WEB
0;1;AUS;2;15;14;9;17;8;10;13;5;np;ab;4;11;16;1;ab;ab;7;18;12;3;6
1;2;MYS;ab;13;11;17;16;ab;6;12;3;8;ab;5;9;14;7;18;4;ab;15;10;1;2
2;3;CHN;1;15;13;5;17;8;9;ab;3;10;14;6;11;16;2;7;ab;ab;18;12;4;ab
3;4;BHR;8;19;14;10;20;4;3;18;5;12;11;15;6;17;2;16;9;13;21;ab;1;7
4;5;ESP;1;18;16;8;19;7;ab;11;12;15;14;3;9;17;2;10;6;13;ab;ab;4;5
5;6;MCO;7;ab;12;6;14;9;ab;13;4;11;ab;ab;16;ab;10;ab;1;5;15;8;2;3
6;7;CAN;2;17;14;12;19;7;13;20;3;ab;16;8;11;18;9;15;5;10;ab;6;1;4
7;8;GBR;3;16;12;13;17;9;19;14;4;10;11;6;20;15;5;8;1;7;18;ab;ab;2
8;9;DEU;4;ab;16;6;19;11;3;14;5;10;15;ab;8;17;2;12;9;13;18;ab;1;7
9;10;HUN;5;16;ab;7;17;18;6;ab;1;11;10;8;9;15;2;13;19;ab;14;12;3;4
10;11;BEL;2;18;15;6;19;ab;8;14;3;13;17;7;11;ab;ab;10;4;9;16;12;1;5
11;12;ITA;2;19;15;10;20;ab;8;13;9;5;14;4;12;17;11;7;6;16;18;ab;1;3
12;13;SGP;2;18;13;7;17;20;ab;12;5;9;11;6;8;19;3;ab;4;10;16;14;1;15
13;14;KOR;6;16;12;8;17;ab;3;11;5;4;13;9;10;14;2;19;7;20;15;18;1;ab
14;15;JPN;4;ab;17;9;19;11;3;7;ab;6;16;10;15;18;5;13;8;14;ab;12;1;2
15;16;IND;11;18;16;14;17;8;3;15;6;19;12;4;5;ab;7;10;2;9;ab;13;1;ab
16;17;ABD;5;20;15;12;21;6;4;13;7;14;11;8;9;19;ab;16;3;10;18;17;1;2
17;18;USA;5;18;8;10;21;15;2;13;4;6;17;12;7;20;-;11;9;ab;19;16;1;3
18;19;BRA;3;17;ab;4;19;11;ab;12;9;8;16;7;6;ab;-;10;5;13;18;15;1;2
