;race_idx;race_name;ALB;ALO;BAR;BUT;COU;DAV;FIS;HAM;HEI;KOV;KUB;LIU;MAS;RAI;ROS;SAT;RSC;SPE;SUT;TRU;VET;WEB;WUR
0;1;AUS;22;2;17;14;19;11;6;4;3;13;5;20;16;1;12;10;9;18;21;8;-;7;15
1;2;MYS;21;2;19;15;13;18;12;4;5;11;7;16;1;3;6;14;9;17;22;8;-;10;20
2;3;BHR;22;4;15;16;21;13;7;2;5;12;6;18;1;3;10;17;14;19;20;9;-;8;11
3;4;ESP;21;2;12;14;9;15;10;4;7;8;5;16;1;3;11;13;17;22;20;6;-;19;18
4;5;MCO;22;1;9;10;11;17;4;2;7;15;8;13;3;16;5;21;20;18;19;14;-;6;12
5;6;CAN;22;2;13;15;14;17;9;1;3;19;8;12;5;4;7;11;18;16;21;10;-;6;20
6;7;USA;22;2;15;13;11;16;10;1;5;6;-;19;3;4;14;18;12;20;21;8;7;9;17
7;8;FRA;21;10;13;12;16;20;5;2;7;6;4;17;1;3;9;19;11;15;22;8;-;14;18
8;9;GBR;22;3;14;18;12;19;8;1;9;7;5;16;4;2;17;21;6;15;20;10;-;11;13
9;10;EUR;-;2;14;17;20;15;13;10;4;7;5;19;3;1;11;16;9;18;21;8;-;6;12
10;11;HUN;-;1;18;17;11;15;8;2;3;12;7;16;14;4;5;19;6;-;21;9;20;10;13
11;12;TUR;-;4;14;15;13;11;10;2;6;7;5;17;1;3;8;19;18;-;21;9;20;12;16
12;13;ITA;-;1;12;10;20;14;15;2;4;7;6;19;3;5;8;17;18;-;21;9;16;11;13
13;14;BEL;-;3;18;14;13;21;11;4;7;10;5;15;2;1;6;19;12;-;20;9;17;8;16
14;15;JPN;-;2;17;7;13;19;11;1;5;12;10;15;4;3;6;21;16;-;20;14;9;8;18
15;16;CHN;-;4;17;10;5;15;18;1;8;14;9;11;3;2;16;20;6;-;21;13;12;7;19
16;17;BRA;-;4;11;16;9;20;12;2;6;17;7;14;1;3;10;18;15;-;21;8;13;5;-
