;race_idx;race_name;ALO;BOT;BUT;ERI;GRO;HAM;HUL;KVY;MAL;MAS;MER;NAS;PER;RAI;RIC;ROS;SAI;STE;VER;VET
0;1;AUS;-;6;17;16;9;1;14;13;10;3;20;11;15;5;7;2;8;19;12;4
1;2;MYS;18;9;17;10;8;1;13;5;12;7;19;16;14;11;4;3;15;20;6;2
2;3;CHN;18;5;17;10;8;1;16;12;11;4;20;9;15;6;7;2;14;19;13;3
3;4;BHR;14;5;20;13;10;1;8;17;16;6;19;12;11;4;7;3;9;18;15;2
4;5;ESP;13;4;14;16;11;2;17;8;12;9;20;15;18;7;10;1;5;19;6;3
5;6;MCO;15;17;12;18;11;1;13;5;9;14;20;16;7;6;4;2;8;19;10;3
6;7;CAN;14;4;20;13;5;1;7;8;6;17;18;15;10;3;9;2;11;19;12;16
7;8;AUT;15;6;17;12;10;1;5;8;11;4;19;9;16;18;14;2;13;20;7;3
8;9;GBR;17;4;18;15;12;1;9;7;14;3;20;16;11;5;10;2;8;19;13;6
9;10;HUN;15;6;16;17;10;1;11;7;14;8;19;18;13;5;4;2;12;20;9;3
10;11;BEL;18;3;17;13;4;1;11;12;8;7;20;16;5;14;6;2;10;19;15;9
11;12;ITA;17;6;16;10;8;1;9;14;11;5;19;12;7;2;15;4;13;18;20;3
12;13;SGP;12;7;15;17;10;5;11;4;18;9;-;16;13;3;2;6;14;19;8;1
13;14;JPN;14;3;16;17;8;2;11;10;13;5;-;18;9;6;7;1;12;19;15;4
14;15;RUS;16;3;13;17;8;2;6;11;14;15;19;12;7;5;10;1;20;18;9;4
15;16;USA;11;12;14;16;13;2;7;4;15;9;-;17;6;8;3;1;20;19;10;5
16;17;MEX;16;6;20;14;12;2;10;4;13;7;-;17;9;15;5;1;11;19;8;3
17;18;BRA;20;4;17;14;15;2;6;7;16;8;-;11;13;5;9;1;12;19;10;3
18;19;ABD;17;6;12;18;15;2;7;9;13;8;20;14;4;3;5;1;10;19;11;16
