;sc;HAM;ROS;RAI;VER2;VET;RIC;GRO;HUL;PER;ALO;BOT;GUT;MAS;KVY2;SAI;PAL;BUT;MAG;WEH;ERI;NAS;OCO
61;0;1;2;ab;7;5;10;np;6;3;12;13;ab;ab;11;4;ab;16;15;14;ab;8;9
62;0;1;2;ab;7;5;9;np;6;3;12;13;ab;ab;11;4;ab;16;15;14;ab;8;10
63;0;1;2;ab;7;5;8;np;6;3;12;13;ab;ab;11;4;ab;16;14;15;ab;9;10
64;0;1;2;ab;6;5;8;np;7;3;12;13;ab;ab;11;4;ab;16;14;15;ab;9;10
65;0;1;2;ab;5;6;8;np;7;3;12;13;ab;ab;11;4;ab;16;14;15;ab;9;10
66;0;1;2;ab;4;6;8;np;7;3;12;13;ab;ab;11;5;ab;16;14;15;ab;9;10
67;0;1;2;ab;4;6;8;np;7;3;12;13;ab;ab;11;5;ab;16;14;15;ab;9;10
68;0;1;2;ab;3;6;8;np;7;4;11;12;ab;ab;13;5;ab;16;14;15;ab;9;10
69;0;1;2;ab;3;5;8;np;7;4;10;12;ab;ab;13;6;ab;16;14;15;ab;9;11
70;0;1;2;ab;3;5;8;np;7;4;10;11;ab;ab;13;6;ab;16;14;15;ab;9;12
