;sc;HAM;ROS;RIC;RAI;VET;VER2;HUL;PER;ALO;MAS;BOT;BUT;GUT;GRO;PAL;WEH;KVY2;MAG;NAS;OCO;SAI;ERI
27;0;1;2;5;6;3;4;9;10;8;7;ab;ab;12;11;17;18;ab;ab;15;16;14;13
28;0;3;1;5;6;2;4;9;10;8;7;ab;ab;14;11;16;18;ab;ab;13;15;17;12
29;0;2;3;5;6;1;4;9;10;8;7;ab;ab;14;11;16;18;ab;ab;13;15;17;12
30;0;2;3;5;6;1;4;8;9;7;10;ab;ab;14;11;16;18;ab;ab;13;15;17;12
31;0;2;3;5;6;1;4;8;9;7;10;ab;ab;13;11;16;18;ab;ab;14;15;17;12
32;0;2;3;5;6;1;4;8;9;7;10;ab;ab;13;11;16;18;ab;ab;14;15;17;12
33;0;2;3;5;6;1;4;7;9;8;10;ab;ab;12;11;16;18;ab;ab;14;15;17;13
34;0;2;3;5;6;1;4;7;8;9;10;ab;ab;12;11;16;18;ab;ab;14;15;17;13
35;0;2;3;5;6;1;4;7;8;9;10;ab;ab;12;11;14;17;ab;ab;18;15;16;13
36;0;2;3;5;6;1;4;7;8;9;10;ab;ab;12;11;14;16;ab;ab;18;17;15;13
37;0;1;2;4;5;6;3;7;8;9;10;ab;ab;12;11;13;15;ab;ab;18;17;14;16
38;0;1;2;4;5;6;3;7;8;10;9;ab;ab;12;11;13;15;ab;ab;18;16;14;17
39;0;1;2;4;5;6;3;7;8;10;9;ab;ab;12;11;13;15;ab;ab;18;16;14;17
40;0;1;2;4;6;5;3;7;8;10;9;ab;ab;12;11;14;13;ab;ab;18;16;15;17
41;0;1;2;4;6;5;3;7;8;10;9;ab;ab;12;11;17;13;ab;ab;16;14;ab;15
42;0;1;2;4;6;5;3;7;8;10;9;ab;ab;12;11;17;13;ab;ab;16;14;ab;15
43;0;1;2;4;6;5;3;7;8;10;9;ab;ab;12;11;17;13;ab;ab;16;14;ab;15
44;0;1;2;4;6;5;3;7;8;10;9;ab;ab;12;11;17;13;ab;ab;16;14;ab;15
45;0;1;2;5;6;4;3;7;8;10;9;ab;ab;12;11;17;13;ab;ab;16;14;ab;15
46;0;1;2;5;6;4;3;7;8;10;9;ab;ab;12;11;17;13;ab;ab;16;14;ab;15
47;0;1;2;5;6;4;3;7;8;10;9;ab;ab;12;11;17;13;ab;ab;16;14;ab;15
48;0;1;2;5;6;4;3;7;8;10;9;ab;ab;12;11;17;14;ab;ab;16;13;ab;15
49;0;1;2;5;6;4;3;7;8;10;9;ab;ab;12;11;17;14;ab;ab;16;13;ab;15
50;0;1;2;5;6;3;4;7;8;10;9;ab;ab;12;11;17;14;ab;ab;16;13;ab;15
51;0;1;2;5;6;3;4;7;8;10;9;ab;ab;12;11;17;14;ab;ab;16;13;ab;15
52;0;1;2;5;6;3;4;7;8;10;9;ab;ab;12;11;17;14;ab;ab;16;13;ab;15
53;0;1;2;5;6;3;4;7;8;10;9;ab;ab;12;11;17;14;ab;ab;16;13;ab;15
54;0;1;2;5;6;3;4;7;8;10;9;ab;ab;12;11;17;14;ab;ab;16;ab;ab;15
