;sc;MSC;BAR;MON;BUT;ALO;WEB;SAT;RSC;TRU;RAI;MAS;COU;DMA;FIS;HEI;PTO;BAU;PAN;KLI;BRU
22;0;1;2;7;4;3;8;10;5;6;ab;11;9;13;14;12;16;ab;17;15;18
23;0;1;2;6;4;3;8;10;5;7;ab;11;9;15;13;12;16;ab;17;14;18
24;0;1;2;6;3;4;8;10;5;7;ab;11;9;15;13;12;16;ab;17;14;18
25;0;1;2;8;7;3;6;10;4;5;ab;11;9;15;13;12;16;ab;17;14;18
26;0;1;2;7;6;3;9;11;4;5;ab;10;8;15;13;12;16;ab;17;14;18
27;0;1;2;6;5;3;9;11;4;7;ab;10;8;15;14;13;16;ab;17;12;18
28;0;1;2;6;5;3;10;11;4;7;ab;9;8;15;14;13;16;ab;17;12;18
29;0;1;2;6;5;3;ab;10;4;7;ab;9;8;14;13;12;15;ab;16;11;17
30;0;1;2;6;5;3;ab;10;4;7;ab;9;8;14;13;12;15;ab;16;11;17
31;0;1;2;6;5;3;ab;10;4;7;ab;9;8;14;13;12;15;ab;16;11;17
32;0;1;2;6;5;3;ab;10;4;7;ab;9;8;14;12;13;15;ab;16;11;17
33;0;1;2;6;5;3;ab;10;4;7;ab;9;8;14;12;13;15;ab;16;11;17
34;0;1;2;6;5;3;ab;10;4;7;ab;9;8;14;12;13;15;ab;16;11;17
35;0;1;2;6;5;3;ab;9;4;7;ab;10;8;14;12;13;15;ab;16;11;17
36;0;1;2;6;5;3;ab;9;4;7;ab;10;8;13;11;12;15;ab;16;14;17
37;0;1;2;5;6;3;ab;9;4;7;ab;10;8;13;11;12;15;ab;16;14;17
38;0;1;2;5;6;3;ab;9;4;7;ab;10;8;13;11;12;15;ab;16;14;17
39;0;1;2;5;6;3;ab;9;4;7;ab;10;8;13;11;12;15;ab;16;14;17
40;0;1;2;5;6;3;ab;9;4;7;ab;10;8;13;11;12;15;ab;16;14;17
41;0;1;2;5;6;3;ab;9;4;7;ab;10;8;14;11;12;15;ab;16;13;17
42;0;1;2;5;6;3;ab;9;4;7;ab;10;8;13;11;16;14;ab;15;12;17
43;0;1;2;5;6;3;ab;9;4;7;ab;10;8;13;11;ab;14;ab;15;12;nc
44;0;1;2;5;6;3;ab;9;4;7;ab;ab;8;12;10;ab;13;ab;14;11;nc
45;0;1;2;5;6;3;ab;9;4;7;ab;ab;8;12;10;ab;13;ab;14;11;nc
46;0;1;2;5;6;3;ab;9;4;7;ab;ab;8;12;10;ab;13;ab;14;11;nc
47;0;1;2;5;6;3;ab;9;4;7;ab;ab;8;12;10;ab;13;ab;14;11;nc
48;0;1;2;5;6;3;ab;9;4;7;ab;ab;8;12;10;ab;13;ab;14;11;nc
49;0;1;2;5;6;3;ab;9;4;7;ab;ab;8;12;10;ab;13;ab;14;11;nc
50;0;1;2;5;6;3;ab;9;4;7;ab;ab;8;12;10;ab;14;ab;13;11;nc
51;0;1;2;5;6;3;ab;9;4;7;ab;ab;8;12;10;ab;14;ab;13;11;nc
52;0;1;2;5;6;3;ab;9;4;7;ab;ab;8;12;10;ab;14;ab;13;11;nc
53;0;1;2;5;6;3;ab;9;4;7;ab;ab;8;12;10;ab;14;ab;13;11;nc
54;0;1;2;5;6;3;ab;9;4;7;ab;ab;8;12;10;ab;14;ab;13;11;nc
55;0;1;2;5;6;3;ab;9;4;7;ab;ab;8;12;10;ab;14;ab;13;11;nc
56;0;1;2;5;6;3;ab;9;4;7;ab;ab;8;12;10;ab;14;ab;13;11;nc
57;0;1;2;5;6;3;ab;9;4;7;ab;ab;8;12;10;ab;14;ab;13;11;nc
