;sc;TRU;BUT;ALO;MSC;RAI;BAR;SAT;COU;MON;FIS;WEB;RSC;PAN;KLI;DMA;MAS;HEI;PTO;BAU;BRU
60;0;1;2;ab;ab;ab;3;ab;ab;4;ab;ab;8;9;ab;6;5;7;ab;10;ab
61;0;1;2;ab;ab;ab;3;ab;ab;4;ab;ab;8;9;ab;6;5;7;ab;10;ab
62;0;1;2;ab;ab;ab;3;ab;ab;4;ab;ab;8;9;ab;6;5;7;ab;10;ab
63;0;1;2;ab;ab;ab;3;ab;ab;4;ab;ab;8;9;ab;6;5;7;ab;10;ab
64;0;1;2;ab;ab;ab;3;ab;ab;4;ab;ab;8;9;ab;6;5;7;ab;10;ab
65;0;1;2;ab;ab;ab;3;ab;ab;4;ab;ab;8;9;ab;6;5;7;ab;10;ab
66;0;1;2;ab;ab;ab;3;ab;ab;4;ab;ab;8;9;ab;6;5;7;ab;10;ab
67;0;1;2;ab;ab;ab;3;ab;ab;4;ab;ab;8;9;ab;6;5;7;ab;10;ab
68;0;1;2;ab;ab;ab;3;ab;ab;4;ab;ab;8;9;ab;6;5;7;ab;10;ab
69;0;1;2;ab;ab;ab;3;ab;ab;4;ab;ab;10;8;ab;6;5;7;ab;9;ab
70;0;1;2;ab;ab;ab;3;ab;ab;4;ab;ab;10;8;ab;6;5;7;ab;9;ab
71;0;1;2;ab;ab;ab;3;ab;ab;4;ab;ab;10;8;ab;6;5;7;ab;9;ab
72;0;1;2;ab;ab;ab;3;ab;ab;4;ab;ab;10;8;ab;6;5;7;ab;9;ab
73;0;1;2;ab;ab;ab;3;ab;ab;4;ab;ab;10;8;ab;6;5;7;ab;9;ab
74;0;1;2;ab;ab;ab;3;ab;ab;4;ab;ab;10;8;ab;6;5;7;ab;9;ab
75;0;1;2;ab;ab;ab;3;ab;ab;4;ab;ab;10;8;ab;6;5;7;ab;9;ab
76;0;1;2;ab;ab;ab;3;ab;ab;4;ab;ab;10;8;ab;6;5;7;ab;9;ab
