;sc;BAR;MSC;SAT;BUT;MON;RSC;RAI;PAN;ALO;WEB;DMA;COU;KLI;FIS;MAS;HEI;PTO;BRU;BAU;TRU
42;0;1;3;4;ab;6;ab;10;5;ab;9;ab;8;ab;7;ab;11;ab;ab;12;2
43;0;1;3;4;ab;6;ab;10;5;ab;9;ab;8;ab;7;ab;ab;ab;ab;11;2
44;0;1;3;6;ab;5;ab;10;4;ab;9;ab;8;ab;7;ab;ab;ab;ab;11;2
45;0;1;2;6;ab;4;ab;10;3;ab;9;ab;8;ab;7;ab;ab;ab;ab;11;5
46;0;1;2;5;ab;3;ab;10;6;ab;8;ab;9;ab;7;ab;ab;ab;ab;11;4
47;0;1;2;5;ab;3;ab;9;6;ab;7;ab;8;ab;10;ab;ab;ab;ab;11;4
48;0;1;2;5;ab;3;ab;9;6;ab;7;ab;8;ab;10;ab;ab;ab;ab;11;4
49;0;1;2;5;ab;3;ab;9;6;ab;7;ab;8;ab;10;ab;ab;ab;ab;11;4
50;0;2;1;5;ab;3;ab;8;6;ab;7;ab;9;ab;10;ab;ab;ab;ab;11;4
51;0;2;1;5;ab;3;ab;8;6;ab;7;ab;9;ab;10;ab;ab;ab;ab;11;4
52;0;2;1;5;ab;3;ab;8;6;ab;7;ab;9;ab;10;ab;ab;ab;ab;11;4
53;0;2;1;5;ab;3;ab;8;6;ab;7;ab;9;ab;10;ab;ab;ab;ab;11;4
54;0;2;1;5;ab;3;ab;8;6;ab;7;ab;9;ab;10;ab;ab;ab;ab;11;4
55;0;2;1;5;ab;3;ab;8;6;ab;7;ab;9;ab;10;ab;ab;ab;ab;11;4
56;0;2;1;4;ab;5;ab;8;6;ab;7;ab;9;ab;10;ab;ab;ab;ab;11;3
57;0;2;1;4;ab;dsq;ab;6;5;ab;7;ab;8;ab;9;ab;ab;ab;ab;10;3
58;0;2;1;4;ab;dsq;ab;6;5;ab;7;ab;8;ab;9;ab;ab;ab;ab;10;3
59;0;2;1;4;ab;dsq;ab;7;5;ab;6;ab;8;ab;9;ab;ab;ab;ab;10;3
60;0;2;1;4;ab;dsq;ab;6;5;ab;ab;ab;7;ab;8;ab;ab;ab;ab;9;3
61;0;2;1;3;ab;dsq;ab;6;5;ab;ab;ab;7;ab;8;ab;ab;ab;ab;9;4
62;0;2;1;3;ab;dsq;ab;6;5;ab;ab;ab;7;ab;8;ab;ab;ab;ab;9;4
63;0;2;1;3;ab;dsq;ab;6;5;ab;ab;ab;7;ab;8;ab;ab;ab;ab;9;4
64;0;2;1;3;ab;dsq;ab;6;5;ab;ab;ab;7;ab;8;ab;ab;ab;ab;9;4
65;0;2;1;3;ab;dsq;ab;6;5;ab;ab;ab;7;ab;9;ab;ab;ab;ab;8;4
66;0;2;1;3;ab;dsq;ab;6;5;ab;ab;ab;7;ab;9;ab;ab;ab;ab;8;4
67;0;2;1;3;ab;dsq;ab;6;5;ab;ab;ab;7;ab;9;ab;ab;ab;ab;8;4
68;0;2;1;3;ab;dsq;ab;6;5;ab;ab;ab;7;ab;9;ab;ab;ab;ab;8;4
69;0;2;1;3;ab;dsq;ab;6;5;ab;ab;ab;7;ab;9;ab;ab;ab;ab;8;4
70;0;2;1;3;ab;dsq;ab;6;5;ab;ab;ab;7;ab;9;ab;ab;ab;ab;8;4
71;0;2;1;3;ab;dsq;ab;6;5;ab;ab;ab;7;ab;9;ab;ab;ab;ab;8;4
72;0;2;1;3;ab;dsq;ab;6;5;ab;ab;ab;7;ab;9;ab;ab;ab;ab;8;4
