;sc;ALO;MSC;COU;BUT;TRU;MON;SAT;GEN;RAI;BAR;DMA;WEB;KLI;PAN;FIS;MAS;HEI;PTO;BRU;BAU
41;0;2;1;6;4;3;8;ab;10;7;5;14;9;11;15;13;12;16;17;18;ab
42;0;1;2;6;4;3;8;ab;10;7;5;14;9;11;15;13;12;16;17;18;ab
43;0;1;2;6;4;3;8;ab;10;7;5;14;9;11;15;13;12;16;17;18;ab
44;0;1;2;6;4;3;8;ab;10;7;5;14;9;11;15;13;12;16;17;18;ab
45;0;1;2;6;4;3;8;ab;10;7;5;13;9;11;15;12;14;16;17;18;ab
46;0;2;1;6;4;3;8;ab;10;7;5;13;9;11;15;12;14;16;17;18;ab
47;0;2;1;6;4;3;7;ab;10;9;5;14;8;11;15;12;13;16;17;18;ab
48;0;2;1;8;4;3;6;ab;10;9;5;14;7;11;15;12;13;16;17;18;ab
49;0;2;1;8;3;5;6;ab;10;9;4;14;7;11;15;12;13;16;17;18;ab
50;0;2;1;7;3;5;10;ab;9;8;4;14;6;11;15;12;13;16;17;18;ab
51;0;2;1;6;3;4;9;ab;8;7;5;14;10;11;15;12;13;16;17;18;ab
52;0;2;1;6;5;3;9;ab;8;7;4;14;10;11;15;12;13;16;17;18;ab
53;0;2;1;6;5;3;9;ab;8;7;4;14;10;11;15;12;13;16;17;18;ab
54;0;2;1;6;5;3;8;ab;10;7;4;14;9;11;15;12;13;16;17;18;ab
55;0;2;1;6;5;3;8;ab;10;7;4;14;9;11;15;12;13;16;17;18;ab
56;0;2;1;6;5;3;8;ab;10;7;4;14;9;11;15;12;13;16;17;18;ab
57;0;2;1;6;5;3;8;ab;10;7;4;14;9;11;15;12;13;16;17;18;ab
58;0;2;1;6;5;3;8;ab;10;7;4;14;9;11;15;12;13;16;17;18;ab
59;0;2;1;6;5;3;8;ab;10;7;4;14;9;11;15;12;13;16;17;18;ab
60;0;2;1;6;5;3;8;ab;10;7;4;14;9;11;15;12;13;16;17;18;ab
61;0;2;1;6;5;3;8;ab;10;7;4;14;9;11;15;12;13;16;17;18;ab
62;0;2;1;6;5;3;8;ab;10;7;4;14;9;11;15;12;13;16;17;18;ab
63;0;2;1;6;5;3;8;ab;10;7;4;14;9;11;15;12;13;16;17;18;ab
64;0;2;1;6;5;3;8;ab;10;7;4;14;9;11;15;12;13;16;17;18;ab
65;0;2;1;6;5;3;8;ab;10;7;4;14;9;11;15;12;13;16;17;18;ab
66;0;2;1;6;5;3;8;ab;10;7;4;14;9;11;15;12;13;16;17;18;ab
67;0;2;1;6;5;3;8;ab;10;7;4;14;9;11;15;12;13;16;17;18;ab
68;0;2;1;6;5;3;8;ab;10;7;4;14;9;11;15;12;13;16;17;18;ab
69;0;2;1;6;5;4;8;ab;10;7;3;14;9;11;15;12;13;16;17;18;ab
