;sc;TRU;RAI;BUT;FIS;MSC;ALO;BAR;SAT;WEB;MAS;MON;VIL;ZON;KLI;HEI;COU;MTR;ALB;KAR;FRI
35;0;f;f;f;f;2;f;1;f;f;f;f;f;ab;f;f;f;3;6;4;5
36;0;f;f;f;f;2;f;1;f;f;f;f;f;ab;f;f;f;3;6;4;5
37;0;f;f;f;f;2;f;1;f;f;f;f;f;ab;f;f;f;3;6;4;5
38;0;f;f;f;f;2;f;1;f;f;f;f;f;ab;f;f;f;3;6;4;5
39;0;f;f;f;f;2;f;1;f;f;f;f;f;ab;f;f;f;3;6;4;5
40;0;f;f;f;f;2;f;1;f;f;f;f;f;ab;f;f;f;3;6;4;5
41;0;f;f;f;f;2;f;1;f;f;f;f;f;ab;f;f;f;3;6;4;5
42;0;f;f;f;f;2;f;1;f;f;f;f;f;ab;f;f;f;3;6;4;5
43;0;f;f;f;f;2;f;1;f;f;f;f;f;ab;f;f;f;3;5;4;6
44;0;f;f;f;f;2;f;1;f;f;f;f;f;ab;f;f;f;3;5;4;6
45;0;f;f;f;f;2;f;1;f;f;f;f;f;ab;f;f;f;3;5;4;6
46;0;f;f;f;f;2;f;1;f;f;f;f;f;ab;f;f;f;3;5;4;6
47;0;f;f;f;f;2;f;1;f;f;f;f;f;ab;f;f;f;3;5;4;6
48;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
49;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
50;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
51;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
52;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
53;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
54;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
55;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
56;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
57;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
58;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
59;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
60;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
61;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
62;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
63;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
64;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
65;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
66;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
67;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
68;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
69;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
70;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
71;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
72;0;f;f;f;f;1;f;2;f;f;f;f;f;ab;f;f;f;3;5;4;6
