;race_idx;race_name;ALO;BOT;ERI;GAS;GRO;HAM;HAR;HUL;LEC;MAG;OCO;PER;RAI;RIC;SAI;SIR;STR;VAN;VER;VET
0;1;AUS;10;15;17;20;6;1;16;7;18;5;14;12;2;8;9;19;13;11;4;3
1;2;BHR;13;3;17;5;16;9;11;7;19;6;8;12;2;4;10;18;20;14;15;1
2;3;CHN;13;3;20;17;10;4;15;7;19;11;12;8;2;6;9;16;18;14;5;1
3;4;AZE;12;3;18;17;20;2;19;14;13;15;7;8;6;4;9;11;10;16;5;1
4;5;ESP;8;2;17;12;10;1;20;16;14;7;13;15;4;6;9;19;18;11;5;3
5;6;MCO;7;5;16;10;18;3;15;11;14;19;6;9;4;1;8;13;17;12;20;2
6;7;CAN;14;2;18;19;20;4;12;7;13;11;8;10;5;6;9;17;16;15;3;1
7;8;FRA;16;2;15;14;10;1;20;12;8;9;11;13;6;5;7;18;19;17;4;3
8;9;AUT;20;1;18;12;5;2;19;10;17;8;11;15;3;7;9;16;13;14;4;6
9;10;GBR;13;4;15;14;8;1;20;11;9;7;10;12;3;6;16;18;19;17;5;2
10;11;DEU;11;2;13;20;6;14;16;7;9;5;15;10;3;19;8;12;17;18;4;1
11;12;HUN;11;2;14;6;10;1;8;13;16;9;17;18;3;12;5;19;20;15;7;4
12;13;BEL;14;17;13;10;5;1;11;18;12;9;3;4;6;8;19;15;16;20;7;2
13;14;ITA;13;4;18;9;6;3;16;20;15;11;8;14;1;19;7;12;10;17;5;2
14;15;SGP;11;4;14;15;8;1;17;10;13;16;9;7;5;6;12;19;20;18;2;3
15;16;RUS;16;1;10;17;9;2;20;12;7;5;6;8;4;18;11;13;14;15;19;3
16;17;JPN;18;2;20;7;5;1;6;16;10;12;11;9;4;15;13;17;14;19;3;8
17;18;USA;13;3;16;19;8;1;20;7;9;12;6;10;2;4;11;14;15;17;18;5
18;19;MEX;12;5;10;20;18;3;14;7;9;16;11;13;6;1;8;19;17;15;2;4
19;20;BRA;17;3;6;9;8;1;16;13;7;10;18;12;4;11;15;14;19;20;5;2
20;21;ABD;15;2;12;17;7;1;16;10;8;13;9;14;4;5;11;19;20;18;6;3
