;race_idx;race_name;ALO;BOT;ERI;GAS;GRO;HAM;HAR;HUL;LEC;MAG;OCO;PER;RAI;RIC;SAI;SIR;STR;VAN;VER;VET
0;1;AUS;11;10;17;20;7;1;16;8;18;6;15;13;2;5;9;19;14;12;4;3
1;2;BHR;13;3;17;6;16;4;11;8;19;7;9;12;2;5;10;18;20;14;15;1
2;3;CHN;13;3;20;17;10;4;15;7;19;11;12;8;2;6;9;16;18;14;5;1
3;4;AZE;13;3;18;17;20;2;19;9;14;15;7;8;6;4;10;12;11;16;5;1
4;5;ESP;8;2;17;12;10;1;20;16;14;7;13;15;4;6;9;18;19;11;5;3
5;6;MCO;7;5;17;10;15;3;16;11;14;19;6;9;4;1;8;13;18;12;20;2
6;7;CAN;14;2;19;16;20;4;12;7;13;11;8;10;5;6;9;18;17;15;3;1
7;8;FRA;16;2;15;14;10;1;17;12;8;9;11;13;6;5;7;19;20;18;4;3
8;9;AUT;14;1;20;12;6;2;19;10;13;8;11;17;4;7;9;18;15;16;5;3
9;10;GBR;13;4;15;14;8;1;20;11;9;7;10;12;3;6;16;18;19;17;5;2
10;11;DEU;11;2;13;17;6;14;18;7;9;5;16;10;3;15;8;12;19;20;4;1
11;12;HUN;11;2;14;6;10;1;8;13;17;9;18;19;3;12;5;20;15;16;7;4
12;13;BEL;17;10;14;11;5;1;12;15;13;9;3;4;6;8;16;18;19;20;7;2
13;14;ITA;13;4;19;9;6;3;18;14;17;11;8;16;1;15;7;12;10;20;5;2
14;15;SGP;11;4;14;15;8;1;17;10;13;16;9;7;5;6;12;19;20;18;2;3
15;16;RUS;17;1;10;13;9;2;16;15;7;5;6;8;4;12;14;18;20;19;11;3
16;17;JPN;18;2;20;7;5;1;6;16;11;12;8;10;4;15;13;17;14;19;3;9
17;18;USA;16;4;19;13;8;1;14;7;9;12;6;10;3;5;11;17;18;20;15;2
18;19;MEX;12;5;10;15;16;3;14;7;9;18;11;13;6;1;8;20;19;17;2;4
19;20;BRA;18;3;7;10;9;1;17;14;8;11;13;12;4;6;16;15;19;20;5;2
20;21;ABD;15;2;12;17;7;1;16;10;8;13;9;14;4;5;11;19;20;18;6;3
