;sc;RSC;RAI;MON;TRU;MSC;COU;BAR;ALO;WEB;DMA;VIL;FIS;PIZ;HEI;FRE;FIR;PAN;VER;WIL;BUT
65;0;4;2;1;6;3;7;8;5;ab;9;ab;10;ab;11;ab;12;13;ab;ab;np
66;0;4;2;1;6;3;7;8;5;ab;9;ab;10;ab;11;ab;12;13;ab;ab;np
67;0;4;2;1;6;3;7;8;5;ab;9;ab;10;ab;11;ab;12;13;ab;ab;np
68;0;4;2;1;6;3;7;8;5;ab;9;ab;10;ab;11;ab;12;13;ab;ab;np
69;0;4;2;1;6;3;7;8;5;ab;9;ab;10;ab;11;ab;12;13;ab;ab;np
70;0;4;2;1;6;3;7;8;5;ab;9;ab;10;ab;11;ab;12;13;ab;ab;np
71;0;4;2;1;6;3;7;8;5;ab;9;ab;10;ab;11;ab;12;13;ab;ab;np
72;0;4;2;1;6;3;7;8;5;ab;9;ab;10;ab;11;ab;12;13;ab;ab;np
73;0;4;2;1;6;3;7;8;5;ab;9;ab;10;ab;11;ab;12;13;ab;ab;np
74;0;4;2;1;6;3;7;8;5;ab;9;ab;10;ab;11;ab;12;13;ab;ab;np
75;0;4;2;1;6;3;7;8;5;ab;9;ab;10;ab;11;ab;12;13;ab;ab;np
76;0;4;2;1;6;3;7;8;5;ab;9;ab;10;ab;11;ab;12;13;ab;ab;np
77;0;4;2;1;6;3;7;8;5;ab;9;ab;10;ab;11;ab;12;13;ab;ab;np
