;sc;ROS;VET;ALO;MAS;DRE;SUT;WEB;RAI;HAM;BUT;GRO;PER;RIC;HUL;BOT;VER;MAL;PIC;BIA;VDG;CHI;GUT
38;0;9;1;6;15;5;16;7;3;10;8;2;4;14;12;13;ab;11;17;19;21;20;18
39;0;7;1;10;14;4;16;5;3;8;6;2;9;15;11;12;ab;13;17;19;21;20;18
40;0;7;1;10;14;4;15;5;3;8;6;2;9;16;11;12;ab;13;17;19;21;20;18
41;0;7;1;10;13;4;15;5;3;8;6;2;9;16;14;11;ab;12;17;19;21;20;18
42;0;7;1;10;12;3;16;4;2;8;6;5;9;15;14;11;ab;13;17;19;21;20;18
43;0;9;1;10;12;3;15;5;2;7;6;4;8;16;14;11;ab;13;17;19;21;20;18
44;0;10;1;9;12;3;15;5;2;6;7;4;8;16;14;11;ab;13;17;19;21;20;18
45;0;10;1;8;12;3;15;5;2;6;9;4;7;16;14;11;ab;13;17;19;21;20;18
46;0;9;1;7;12;3;15;5;2;6;10;4;8;16;14;11;ab;13;17;19;21;20;18
47;0;9;1;7;12;3;15;5;2;6;10;4;8;16;13;14;ab;11;17;19;21;20;18
48;0;9;1;7;12;3;15;5;2;6;10;4;8;16;13;14;ab;11;17;19;21;20;18
49;0;9;1;7;12;3;15;5;2;6;10;4;8;16;13;14;ab;11;17;19;21;20;18
50;0;9;1;7;12;3;14;6;2;5;10;4;8;16;13;15;ab;11;17;19;21;20;18
51;0;9;1;7;13;4;14;6;2;5;10;3;8;16;12;15;ab;11;17;19;21;20;18
52;0;9;1;7;13;4;14;5;2;6;10;3;8;16;12;15;ab;11;17;19;21;20;18
53;0;9;1;8;13;4;14;5;2;6;10;3;7;16;12;15;ab;11;17;19;21;20;18
54;0;9;1;8;13;4;14;5;2;6;10;3;7;16;12;15;ab;11;17;19;21;20;18
55;0;9;1;8;14;4;13;5;2;6;10;3;7;16;12;15;ab;11;17;19;21;20;18
56;0;9;1;8;15;4;13;7;2;5;10;3;6;16;12;14;ab;11;17;19;21;20;18
