;sc;HAM;RAI;ALO;ROS;MAS;GRO;RIC;BUT;VET;HUL;DRE;PER;SUT;MAL;VER;BOT;GUT;BIA;CHI;PIC;VDG;WEB
37;0;5;4;1;ab;8;11;6;3;2;9;7;10;ab;13;12;14;ab;15;17;16;18;ab
38;0;5;4;1;ab;7;11;10;3;2;8;6;9;ab;14;12;13;ab;15;17;16;18;ab
39;0;5;4;1;ab;7;11;10;3;2;8;6;9;ab;14;12;13;ab;15;17;16;18;ab
40;0;5;4;1;ab;7;11;9;3;2;8;6;10;ab;14;12;13;ab;15;17;16;18;ab
41;0;5;4;2;ab;7;11;9;3;1;8;6;10;ab;14;12;13;ab;15;17;16;18;ab
42;0;5;4;1;ab;7;11;9;3;2;8;6;10;ab;14;12;13;ab;15;17;16;18;ab
43;0;5;3;1;ab;7;10;9;4;2;8;6;11;ab;14;13;12;ab;15;17;16;18;ab
44;0;4;3;1;ab;7;10;9;5;2;8;6;11;ab;14;13;12;ab;15;17;16;18;ab
45;0;4;3;1;ab;7;10;8;5;2;9;6;11;ab;14;13;12;ab;15;17;16;18;ab
46;0;4;3;1;ab;7;10;8;5;2;9;6;11;ab;14;13;12;ab;15;17;16;18;ab
47;0;4;3;1;ab;7;10;8;5;2;9;6;11;ab;14;13;12;ab;15;17;16;18;ab
48;0;4;3;1;ab;7;10;8;5;2;9;6;11;ab;14;12;13;ab;15;17;16;18;ab
49;0;4;3;1;ab;7;10;8;6;2;9;5;11;ab;14;12;13;ab;15;17;16;18;ab
50;0;4;3;1;ab;7;10;8;6;2;9;5;11;ab;14;12;13;ab;15;17;16;18;ab
51;0;3;2;1;ab;7;10;8;6;4;9;5;11;ab;13;12;14;ab;15;17;16;18;ab
52;0;3;2;1;ab;7;9;8;6;4;10;5;11;ab;13;12;14;ab;15;17;16;18;ab
53;0;3;2;1;ab;6;9;7;5;4;10;8;11;ab;13;12;14;ab;15;17;16;18;ab
54;0;3;2;1;ab;6;9;7;5;4;10;8;11;ab;14;12;13;ab;15;17;16;18;ab
55;0;3;2;1;ab;6;9;7;5;4;10;8;11;ab;14;12;13;ab;15;17;16;18;ab
