;sc;VET;ROS;HAM;WEB;MAS;RAI;HUL;ALO;PER;BUT;RIC;DRE;SUT;VER;BOT;GUT;GRO;MAL;BIA;VDG;PIC;CHI
30;0;1;9;12;2;11;7;6;15;5;14;3;16;4;18;8;17;10;13;19;ab;21;20
31;0;2;8;11;1;10;7;6;13;4;15;3;14;5;18;16;17;9;12;19;ab;21;20
32;0;1;8;11;2;10;6;7;13;5;18;3;14;4;17;15;16;9;12;19;ab;21;20
33;0;1;5;9;2;7;4;11;13;10;18;8;14;3;17;15;16;6;12;20;ab;21;19
34;0;1;5;9;2;7;4;11;13;10;18;8;14;3;17;15;16;6;12;20;ab;21;19
35;0;1;5;9;2;7;4;11;13;10;18;8;14;3;17;15;16;6;12;20;ab;ab;19
36;0;1;5;9;2;7;3;11;16;10;18;8;13;4;17;14;15;6;12;20;ab;ab;19
37;0;1;5;8;2;7;3;11;16;10;18;9;13;4;17;14;15;6;12;20;ab;ab;19
38;0;1;5;8;2;7;3;10;15;9;18;14;11;4;17;12;13;6;16;20;ab;ab;19
39;0;1;4;7;ab;6;2;9;14;8;17;13;10;3;16;11;12;5;15;19;ab;ab;18
40;0;1;3;7;ab;6;2;9;14;8;16;13;10;5;17;11;12;4;15;19;ab;ab;18
41;0;1;3;6;ab;5;2;8;14;7;16;13;10;9;17;11;12;4;15;19;ab;ab;18
42;0;1;3;6;ab;5;2;8;14;7;16;13;10;9;17;11;12;4;15;19;ab;ab;18
43;0;1;3;6;ab;5;2;8;14;7;16;13;9;10;17;11;12;4;15;19;ab;ab;18
44;0;1;3;6;ab;5;2;8;14;7;16;13;9;10;17;12;11;4;15;19;ab;ab;18
45;0;1;3;6;ab;5;2;8;14;7;16;13;9;10;17;12;11;4;15;19;ab;ab;18
46;0;1;3;6;ab;5;2;8;13;7;16;12;9;10;17;11;14;4;15;19;ab;ab;18
47;0;1;3;6;ab;5;2;8;12;7;15;11;9;10;16;13;17;4;14;19;ab;ab;18
48;0;1;3;6;ab;5;2;8;12;7;15;11;9;10;16;14;17;4;13;19;ab;ab;18
49;0;1;3;6;ab;5;2;8;12;7;14;11;9;10;15;17;16;4;13;19;ab;ab;18
50;0;1;3;6;ab;5;2;8;12;7;14;11;9;10;15;17;16;4;13;19;ab;ab;18
51;0;1;2;6;ab;5;3;8;12;7;14;11;9;10;15;17;16;4;13;19;ab;ab;18
52;0;1;2;6;ab;5;3;8;12;7;14;11;9;10;15;17;16;4;13;19;ab;ab;18
53;0;1;2;6;ab;5;3;15;11;7;13;10;8;9;14;17;16;4;12;19;ab;ab;18
54;0;1;2;6;ab;5;3;19;11;7;13;10;8;9;14;16;15;4;12;18;ab;ab;17
55;0;1;2;6;ab;4;5;19;11;7;13;10;8;9;14;16;15;3;12;18;ab;ab;17
56;0;1;2;6;ab;4;5;19;11;7;13;10;8;9;14;16;15;3;12;18;ab;ab;17
57;0;1;2;6;ab;4;7;19;11;5;13;10;8;9;14;16;15;3;12;18;ab;ab;17
58;0;1;2;6;ab;4;7;19;11;5;14;10;8;9;13;16;15;3;12;18;ab;ab;17
59;0;1;2;6;ab;4;7;19;11;5;14;10;8;9;13;16;15;3;12;18;ab;ab;17
