;sc;HAM;VET;WEB;RAI;GRO;RIC;MAS;ALO;BUT;HUL;ROS;DRE;PER;GUT;SUT;VER;BOT;MAL;BIA;VDG;CHI;PIC
27;1;7;1;19;3;2;11;ab;4;5;6;13;12;9;14;10;ab;15;8;ab;16;18;17
28;1;7;1;19;3;2;11;ab;4;5;6;13;12;9;14;10;ab;15;8;ab;16;18;17
29;0;7;1;15;3;2;11;ab;4;5;6;13;12;9;14;10;ab;16;8;ab;17;18;19
30;0;7;1;15;3;2;11;ab;4;5;6;13;12;9;14;10;ab;16;8;ab;17;18;19
31;0;7;1;15;3;2;11;ab;4;5;6;13;12;9;14;10;ab;16;8;ab;17;18;19
32;0;7;1;15;3;2;11;ab;4;5;6;13;12;9;14;10;ab;16;8;ab;17;18;19
33;0;7;1;15;3;2;11;ab;4;5;6;13;12;9;14;10;ab;16;8;ab;17;18;19
34;0;7;1;15;3;2;11;ab;4;5;6;13;12;9;14;10;ab;16;8;ab;17;18;19
35;0;7;1;15;3;2;11;ab;4;5;6;13;12;8;14;10;ab;16;9;ab;17;18;19
36;0;6;1;15;3;2;11;ab;4;5;7;13;12;8;14;10;ab;16;9;ab;17;18;19
37;0;6;1;14;3;2;10;ab;4;5;16;12;11;7;13;9;ab;15;8;ab;17;18;19
38;0;6;1;16;3;2;10;ab;4;5;15;12;11;7;13;9;ab;14;8;ab;17;18;19
39;0;6;1;16;2;3;13;ab;4;5;14;11;10;7;12;9;ab;15;8;ab;17;18;19
40;0;5;2;15;1;6;16;ab;3;4;13;11;10;7;12;9;ab;14;8;ab;17;18;19
41;0;4;5;14;1;6;15;ab;2;3;12;11;10;7;16;9;ab;13;8;ab;17;18;19
42;0;4;5;14;1;6;15;ab;2;3;12;11;9;7;16;10;ab;13;8;ab;17;18;19
43;0;4;5;13;1;6;14;ab;2;3;11;10;9;7;16;15;ab;12;8;ab;17;18;19
44;0;6;4;13;1;5;14;ab;2;3;10;11;9;7;16;15;ab;12;8;ab;17;18;19
45;0;10;4;13;1;5;14;ab;2;3;9;11;8;6;16;15;ab;12;7;ab;17;18;19
46;0;10;3;12;1;4;14;ab;2;5;9;11;8;6;16;15;ab;13;7;ab;17;18;19
47;0;9;3;12;1;4;14;ab;2;6;10;11;8;5;16;15;ab;13;7;ab;17;18;19
48;0;9;3;11;1;4;13;ab;2;6;10;16;8;5;15;14;ab;12;7;ab;17;18;19
49;0;7;1;9;3;2;12;ab;4;6;16;14;8;5;15;13;ab;11;10;ab;17;19;18
50;0;7;1;9;3;2;11;ab;4;5;15;12;8;6;14;13;ab;10;16;ab;17;19;18
51;0;7;1;9;3;2;11;ab;4;5;14;12;8;6;15;13;ab;10;16;ab;17;19;18
52;0;7;1;8;3;2;11;ab;4;5;13;12;9;6;15;14;ab;10;16;ab;17;19;18
53;0;7;1;8;3;2;11;ab;4;5;12;10;9;6;14;13;ab;15;16;ab;17;19;18
54;0;6;1;8;2;3;11;ab;4;5;12;10;9;7;14;13;ab;16;15;ab;17;19;18
55;0;6;1;8;2;3;12;ab;4;5;11;10;9;7;14;13;ab;16;15;ab;17;19;18
56;0;6;1;8;2;3;12;ab;4;5;11;10;9;7;14;13;ab;16;15;ab;17;19;18
57;0;6;1;8;2;3;12;ab;4;5;11;9;10;7;14;13;ab;16;15;ab;18;19;17
58;0;6;1;8;2;3;12;ab;4;5;10;9;11;7;14;13;ab;16;15;ab;18;19;17
59;0;5;1;7;2;3;12;ab;4;6;10;9;11;8;14;13;ab;16;15;ab;18;19;17
