;sc;MSC;HAK;COU;TRU;FRE;BAR;RAI;MON;HEI;RSC;PAN;VIL;DLR;ALE;IRV;BUR2;VER;BUT;FIS;BER;ALO
0;0;1;2;18;ab;8;4;6;3;7;5;ab;10;12;9;15;16;11;13;17;14;19
1;0;1;2;18;ab;8;4;6;3;7;5;ab;10;12;9;15;16;11;13;17;14;19
2;0;1;2;ab;ab;8;4;6;3;7;5;ab;11;12;9;15;16;10;13;17;14;18
3;0;1;2;ab;ab;8;4;6;3;7;5;ab;11;12;10;15;16;9;13;18;14;17
4;0;2;1;ab;ab;8;4;6;3;7;5;ab;11;12;10;15;16;9;13;18;14;17
5;0;2;1;ab;ab;8;4;6;3;7;5;ab;11;12;10;15;17;9;13;18;14;16
6;0;2;1;ab;ab;8;4;6;3;7;5;ab;11;12;10;15;ab;9;13;17;14;16
7;0;2;1;ab;ab;8;4;6;3;7;5;ab;11;12;10;15;ab;9;13;17;14;16
8;0;2;1;ab;ab;8;4;6;3;7;5;ab;11;12;10;15;ab;9;13;17;14;16
9;0;2;1;ab;ab;8;4;6;3;7;5;ab;11;12;10;15;ab;9;13;17;14;16
10;0;2;1;ab;ab;8;4;6;3;7;5;ab;10;12;11;15;ab;9;13;17;14;16
11;0;2;1;ab;ab;8;4;6;3;7;5;ab;10;12;11;15;ab;9;13;17;14;16
12;0;2;1;ab;ab;8;4;6;3;7;5;ab;10;12;11;15;ab;9;13;17;14;16
13;0;2;1;ab;ab;8;4;6;3;7;5;ab;10;12;11;15;ab;9;13;17;14;16
14;0;2;1;ab;ab;8;4;6;3;7;5;ab;10;12;11;15;ab;9;13;17;14;16
15;0;2;1;ab;ab;8;4;6;3;7;5;ab;10;12;11;15;ab;9;13;17;14;16
16;0;2;1;ab;ab;8;4;6;3;7;5;ab;10;12;11;15;ab;9;13;17;14;16
17;0;3;1;ab;ab;8;4;6;2;7;5;ab;10;12;11;15;ab;9;13;17;14;16
18;0;3;1;ab;ab;8;4;6;2;7;5;ab;10;12;11;15;ab;9;13;17;14;16
19;0;3;1;ab;ab;8;4;7;2;6;5;ab;10;12;11;15;ab;9;13;17;14;16
20;0;3;1;ab;ab;6;4;10;2;7;5;ab;9;12;11;15;ab;8;13;17;14;16
21;0;3;2;ab;ab;6;4;9;1;10;5;ab;8;12;11;14;ab;7;16;17;13;15
22;0;3;2;ab;ab;6;4;8;1;9;5;ab;7;11;10;12;ab;13;17;14;15;16
23;0;3;2;ab;ab;6;4;8;1;9;5;ab;7;11;10;12;ab;13;15;14;16;17
24;0;3;1;ab;ab;9;4;7;2;8;5;ab;6;11;10;12;ab;13;14;17;15;16
25;0;2;1;ab;ab;9;3;7;5;8;4;ab;6;11;10;12;ab;13;14;17;15;16
26;0;2;1;ab;ab;9;3;7;5;8;4;ab;6;11;10;12;ab;13;14;17;15;16
27;0;2;1;ab;ab;9;3;7;5;8;4;ab;6;11;10;12;ab;13;14;17;15;16
28;0;2;1;ab;ab;9;3;7;5;8;4;ab;6;11;10;12;ab;13;14;17;15;16
29;0;2;1;ab;ab;9;3;7;5;8;4;ab;6;10;11;12;ab;13;14;17;15;16
30;0;2;1;ab;ab;9;3;7;5;8;4;ab;6;10;13;12;ab;11;14;17;15;16
31;0;2;1;ab;ab;8;3;6;5;7;4;ab;9;10;13;12;ab;11;14;17;15;16
32;0;2;1;ab;ab;8;3;6;5;7;4;ab;11;9;13;12;ab;10;14;17;15;16
33;0;2;1;ab;ab;8;3;6;5;7;4;ab;11;9;13;12;ab;10;14;17;15;16
34;0;2;1;ab;ab;8;3;6;4;7;5;ab;10;12;13;11;ab;9;14;17;15;16
35;0;2;1;ab;ab;8;3;5;4;7;6;ab;10;17;12;11;ab;9;13;16;14;15
36;0;2;1;ab;ab;7;3;5;4;6;ab;ab;9;16;11;10;ab;8;12;15;13;14
37;0;2;1;ab;ab;7;3;5;4;6;ab;ab;9;16;11;10;ab;8;12;15;13;14
38;0;2;1;ab;ab;7;3;5;4;6;ab;ab;9;15;11;10;ab;8;14;13;12;16
39;0;4;1;ab;ab;7;2;5;3;6;ab;ab;9;14;11;10;ab;8;15;13;12;16
40;0;3;1;ab;ab;6;2;7;4;5;ab;ab;8;14;11;9;ab;10;15;13;12;16
41;0;2;1;ab;ab;7;3;5;4;6;ab;ab;8;14;11;9;ab;10;15;13;12;16
42;0;2;1;ab;ab;7;3;5;4;6;ab;ab;8;12;11;9;ab;10;15;13;14;16
43;0;2;1;ab;ab;7;3;5;4;6;ab;ab;8;12;11;9;ab;10;15;13;14;16
44;0;2;1;ab;ab;7;3;5;4;6;ab;ab;8;12;11;9;ab;10;15;13;14;16
45;0;2;1;ab;ab;7;3;5;4;6;ab;ab;8;12;11;9;ab;10;15;13;14;16
46;0;2;1;ab;ab;7;3;5;4;6;ab;ab;8;12;11;9;ab;10;15;13;14;16
47;0;2;1;ab;ab;7;3;5;4;6;ab;ab;8;12;11;9;ab;10;15;13;14;16
48;0;2;1;ab;ab;7;3;5;4;6;ab;ab;8;12;11;9;ab;10;15;13;14;16
49;0;2;1;ab;ab;7;3;5;4;6;ab;ab;8;12;11;9;ab;10;15;13;14;16
50;0;2;1;ab;ab;7;3;5;4;6;ab;ab;8;12;11;9;ab;10;15;13;14;16
51;0;2;1;ab;ab;7;3;5;4;6;ab;ab;8;12;11;9;ab;10;15;13;14;16
52;0;2;1;ab;ab;7;3;5;4;6;ab;ab;8;12;11;9;ab;10;15;13;14;16
53;0;2;1;ab;ab;7;3;5;4;6;ab;ab;8;12;11;9;ab;10;15;13;14;16
54;0;2;1;ab;ab;7;3;5;4;6;ab;ab;8;12;11;9;ab;10;15;13;14;16
55;0;2;1;ab;ab;7;3;5;4;6;ab;ab;8;12;11;9;ab;10;15;13;14;16
56;0;2;1;ab;ab;7;3;5;4;6;ab;ab;8;12;11;9;ab;10;15;13;14;16
57;0;2;1;ab;ab;7;3;5;4;6;ab;ab;8;12;11;9;ab;10;15;13;14;16
58;0;2;1;ab;ab;7;3;5;4;6;ab;ab;8;12;11;9;ab;10;15;13;14;16
59;0;2;1;ab;ab;7;3;5;4;6;ab;ab;8;12;11;9;ab;10;15;13;14;16
