;sc;RSC;MSC;COU;HAK;TRU;MON;FRE;BAR;HEI;VIL;PAN;IRV;RAI;DLR;BUR2;FIS;BUT;VER;ALE;BER;ALO;MAR
62;0;2;1;4;np;5;ab;8;3;6;ab;9;ab;7;15;10;11;12;14;13;ab;16;17
63;0;2;1;4;np;5;ab;8;3;6;ab;9;ab;7;15;10;11;12;14;13;ab;16;17
64;0;2;1;4;np;5;ab;8;3;6;ab;9;ab;7;15;10;11;12;14;13;ab;16;17
65;0;2;1;4;np;5;ab;8;3;6;ab;9;ab;7;15;10;11;12;14;13;ab;17;16
66;0;2;1;4;np;5;ab;8;3;6;ab;9;ab;7;15;10;11;12;14;13;ab;17;16
67;0;2;1;4;np;5;ab;8;3;6;ab;9;ab;7;15;10;11;12;14;13;ab;17;16
68;0;2;1;4;np;5;ab;8;3;6;ab;9;ab;7;14;10;11;16;13;12;ab;17;15
69;0;2;1;4;np;5;ab;8;3;6;ab;9;ab;7;14;10;11;16;13;12;ab;17;15
70;0;2;1;4;np;5;ab;8;3;6;ab;9;ab;7;14;10;11;16;13;12;ab;17;15
71;0;2;1;4;np;5;ab;8;3;6;ab;9;ab;7;14;ab;11;16;13;12;ab;17;15
