;sc;COU;MSC;HAK;BAR;RSC;IRV;MON;TRU;VIL;FIS;ALE;PAN;FRE;DLR;RAI;HEI;BUT;ALO;VER;BER;BUR2;MAR
32;0;13;1;ab;2;3;4;ab;ab;5;6;7;ab;8;ab;15;ab;10;11;9;12;ab;14
33;0;13;1;ab;2;3;4;ab;ab;5;6;7;ab;8;ab;15;ab;10;11;9;12;ab;14
34;0;13;1;ab;2;3;4;ab;ab;5;6;7;ab;8;ab;15;ab;10;11;9;12;ab;14
35;0;13;1;ab;2;3;4;ab;ab;5;6;7;ab;8;ab;15;ab;10;11;9;12;ab;14
36;0;13;1;ab;2;3;4;ab;ab;5;6;7;ab;8;ab;15;ab;10;11;9;12;ab;14
37;0;13;1;ab;2;3;4;ab;ab;5;6;7;ab;8;ab;15;ab;10;11;9;12;ab;14
38;0;13;1;ab;2;3;4;ab;ab;5;6;7;ab;8;ab;15;ab;10;11;9;12;ab;14
39;0;13;1;ab;2;3;4;ab;ab;5;6;7;ab;8;ab;15;ab;10;11;9;12;ab;14
40;0;13;1;ab;2;3;4;ab;ab;5;6;7;ab;8;ab;15;ab;10;11;9;12;ab;14
41;0;12;1;ab;2;3;4;ab;ab;5;6;7;ab;8;ab;15;ab;9;10;13;11;ab;14
42;0;11;1;ab;2;3;4;ab;ab;5;6;7;ab;8;ab;15;ab;9;10;12;13;ab;14
43;0;10;1;ab;2;3;4;ab;ab;5;ab;6;ab;7;ab;14;ab;8;9;11;12;ab;13
44;0;10;1;ab;2;3;4;ab;ab;5;ab;6;ab;7;ab;14;ab;8;9;11;12;ab;13
45;0;9;1;ab;2;3;4;ab;ab;5;ab;6;ab;7;ab;14;ab;8;10;11;12;ab;13
46;0;9;1;ab;2;3;4;ab;ab;5;ab;6;ab;7;ab;14;ab;8;11;10;12;ab;13
47;0;9;1;ab;2;3;4;ab;ab;5;ab;6;ab;7;ab;14;ab;8;11;10;12;ab;13
48;0;9;1;ab;2;3;4;ab;ab;5;ab;6;ab;7;ab;14;ab;8;11;10;12;ab;13
49;0;7;1;ab;2;3;4;ab;ab;5;ab;6;ab;ab;ab;13;ab;8;10;9;11;ab;12
50;0;7;1;ab;2;3;4;ab;ab;5;ab;6;ab;ab;ab;13;ab;8;10;9;11;ab;12
51;0;7;1;ab;2;3;4;ab;ab;5;ab;6;ab;ab;ab;13;ab;8;10;9;11;ab;12
52;0;7;1;ab;2;3;4;ab;ab;5;ab;6;ab;ab;ab;13;ab;8;10;9;11;ab;12
53;0;7;1;ab;2;3;4;ab;ab;5;ab;6;ab;ab;ab;13;ab;8;10;9;11;ab;12
54;0;7;2;ab;1;3;4;ab;ab;5;ab;6;ab;ab;ab;12;ab;8;ab;9;10;ab;11
55;0;7;2;ab;1;3;4;ab;ab;5;ab;6;ab;ab;ab;12;ab;8;ab;9;10;ab;11
56;0;7;2;ab;1;3;4;ab;ab;5;ab;6;ab;ab;ab;11;ab;8;ab;9;10;ab;ab
57;0;6;2;ab;1;ab;3;ab;ab;4;ab;5;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
58;0;6;2;ab;1;ab;3;ab;ab;4;ab;5;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
59;0;6;1;ab;2;ab;3;ab;ab;4;ab;5;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
60;0;6;1;ab;2;ab;3;ab;ab;4;ab;5;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
61;0;6;1;ab;2;ab;3;ab;ab;4;ab;5;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
62;0;6;1;ab;2;ab;3;ab;ab;4;ab;5;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
63;0;6;1;ab;2;ab;3;ab;ab;4;ab;5;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
64;0;6;1;ab;2;ab;3;ab;ab;4;ab;5;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
65;0;6;1;ab;2;ab;3;ab;ab;4;ab;5;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
66;0;6;1;ab;2;ab;3;ab;ab;4;ab;5;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
67;0;6;1;ab;2;ab;3;ab;ab;4;ab;5;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
68;0;6;1;ab;2;ab;3;ab;ab;4;ab;5;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
69;0;5;1;ab;2;ab;3;ab;ab;4;ab;6;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
70;0;5;1;ab;2;ab;3;ab;ab;4;ab;6;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
71;0;5;1;ab;2;ab;3;ab;ab;4;ab;6;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
72;0;5;1;ab;2;ab;3;ab;ab;4;ab;6;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
73;0;5;1;ab;2;ab;3;ab;ab;4;ab;6;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
74;0;5;1;ab;2;ab;3;ab;ab;4;ab;6;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
75;0;5;1;ab;2;ab;3;ab;ab;4;ab;6;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
76;0;5;1;ab;2;ab;3;ab;ab;4;ab;6;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
77;0;5;1;ab;2;ab;3;ab;ab;4;ab;6;ab;ab;ab;10;ab;7;ab;8;9;ab;ab
