;sc;MSC;RSC;MON;HAK;BAR;HEI;COU;TRU;ALE2;BUT;RAI;FIS;PAN;IRV;FRE2;DLR;ALO;VIL;BER;VER;ENG;YOO
60;0;3;ab;ab;1;2;7;4;5;8;10;ab;9;12;6;11;13;ab;ab;14;ab;15;ab
61;0;3;ab;ab;1;2;7;4;5;8;10;ab;9;12;6;11;13;ab;ab;14;ab;15;ab
62;0;3;ab;ab;1;2;7;4;5;8;10;ab;9;12;6;11;13;ab;ab;14;ab;15;ab
63;0;3;ab;ab;1;2;7;4;5;8;10;ab;9;12;6;11;13;ab;ab;14;ab;15;ab
64;0;3;ab;ab;1;2;7;4;5;8;10;ab;9;12;6;11;13;ab;ab;14;ab;15;ab
65;0;3;ab;ab;1;2;7;4;5;8;10;ab;9;12;6;11;13;ab;ab;14;ab;15;ab
66;0;3;ab;ab;1;2;7;4;5;8;10;ab;9;12;6;11;13;ab;ab;14;ab;15;ab
67;0;3;ab;ab;1;2;7;4;5;8;10;ab;9;12;6;11;13;ab;ab;14;ab;15;ab
68;0;3;ab;ab;1;2;7;4;5;8;10;ab;9;12;6;11;13;ab;ab;14;ab;15;ab
69;0;2;ab;ab;1;3;7;4;5;8;10;ab;9;12;6;11;13;ab;ab;14;ab;15;ab
70;0;2;ab;ab;1;4;7;3;5;8;10;ab;9;12;6;11;13;ab;ab;14;ab;15;ab
71;0;2;ab;ab;1;15;6;3;4;7;9;ab;8;11;5;10;12;ab;ab;13;ab;14;ab
72;0;2;ab;ab;1;15;6;3;4;ab;9;ab;8;11;5;ab;12;ab;ab;13;ab;ab;ab
