;sc;RAI;MSC;MAS;BUT;FIS;BAR;ALO;RSC;DLR;COU;WEB;KLI;VIL;ROS;HEI;LIU;SAT;MTR;SPE;TRU;ALB;YAM
43;0;4;1;2;5;9;ab;8;11;ab;12;3;7;ab;ab;ab;10;ab;15;13;6;14;ab
44;0;4;1;2;5;9;ab;8;11;ab;12;3;7;ab;ab;ab;10;ab;15;14;6;13;ab
45;0;4;1;2;5;9;ab;8;11;ab;12;3;7;ab;ab;ab;10;ab;15;14;6;13;ab
46;0;4;1;2;5;9;ab;8;11;ab;12;3;7;ab;ab;ab;10;ab;15;14;6;13;ab
47;0;4;1;2;5;8;ab;7;13;ab;11;3;9;ab;ab;ab;10;ab;15;14;6;12;ab
48;0;3;1;2;4;8;ab;7;12;ab;11;6;9;ab;ab;ab;10;ab;15;14;5;13;ab
49;0;3;1;2;4;8;ab;7;11;ab;10;6;9;ab;ab;ab;12;ab;15;14;5;13;ab
50;0;3;1;2;4;8;ab;7;11;ab;10;6;9;ab;ab;ab;12;ab;15;14;5;13;ab
51;0;3;1;2;4;7;ab;6;10;ab;11;5;9;ab;ab;ab;12;ab;15;14;8;13;ab
52;0;3;1;2;4;7;ab;6;10;ab;11;5;9;ab;ab;ab;12;ab;15;14;8;13;ab
53;0;3;1;2;4;7;ab;6;10;ab;12;5;9;ab;ab;ab;11;ab;15;14;8;13;ab
54;0;3;1;2;4;7;ab;6;10;ab;12;5;9;ab;ab;ab;11;ab;15;14;8;13;ab
55;0;4;1;2;3;7;ab;6;10;ab;12;5;9;ab;ab;ab;11;ab;15;14;8;13;ab
56;0;4;1;2;3;7;ab;6;10;ab;12;5;9;ab;ab;ab;11;ab;15;14;8;13;ab
57;0;3;1;2;4;6;ab;5;10;ab;12;8;9;ab;ab;ab;11;ab;15;14;7;13;ab
58;0;3;1;2;4;6;ab;5;9;ab;11;14;8;ab;ab;ab;10;ab;15;12;7;13;ab
59;0;3;1;2;4;6;ab;5;9;ab;11;ab;8;ab;ab;ab;10;ab;14;12;7;13;ab
60;0;3;1;2;4;6;ab;5;9;ab;11;ab;8;ab;ab;ab;10;ab;14;12;7;13;ab
61;0;3;1;2;4;6;ab;5;9;ab;11;ab;8;ab;ab;ab;10;ab;14;12;7;13;ab
62;0;3;1;2;4;6;ab;5;9;ab;11;ab;8;ab;ab;ab;10;ab;14;12;7;13;ab
63;0;3;1;2;4;6;ab;5;9;ab;11;ab;8;ab;ab;ab;10;ab;14;12;7;13;ab
64;0;3;1;2;4;6;ab;5;9;ab;11;ab;8;ab;ab;ab;10;ab;14;12;7;13;ab
65;0;3;1;2;4;6;ab;5;9;ab;11;ab;8;ab;ab;ab;10;ab;dsq;12;7;13;ab
66;0;3;1;2;4;6;ab;5;9;ab;11;ab;8;ab;ab;ab;10;ab;dsq;12;7;dsq;ab
