;sc;RAI;MAS;BAR;DLR;WEB;RSC;FIS;TRU;KUB;HEI;MSC;COU;KLI;BUT;ALO;MTR;LIU;ROS;SAT;SPE;YAM;ALB
29;1;ab;9;4;3;ab;8;ab;12;10;5;7;6;ab;2;1;15;ab;ab;13;11;ab;14
30;1;ab;8;4;3;ab;9;ab;11;10;5;7;6;ab;2;1;15;ab;ab;13;12;ab;14
31;0;ab;8;4;3;ab;9;ab;11;10;5;7;6;ab;2;1;15;ab;ab;13;12;ab;14
32;0;ab;8;4;3;ab;9;ab;11;10;5;7;6;ab;2;1;15;ab;ab;14;12;ab;13
33;0;ab;8;4;3;ab;10;ab;11;9;5;7;6;ab;2;1;15;ab;ab;14;12;ab;13
34;0;ab;8;4;3;ab;10;ab;11;9;5;7;6;ab;2;1;15;ab;ab;14;12;ab;13
35;0;ab;9;4;3;ab;10;ab;11;8;5;7;6;ab;2;1;15;ab;ab;14;12;ab;13
36;0;ab;9;4;3;ab;10;ab;11;8;5;7;6;ab;2;1;15;ab;ab;14;12;ab;13
37;0;ab;9;4;3;ab;10;ab;11;8;5;7;6;ab;2;1;14;ab;ab;15;12;ab;13
38;0;ab;9;4;3;ab;10;ab;11;8;5;7;6;ab;2;1;14;ab;ab;15;12;ab;13
39;0;ab;10;4;3;ab;9;ab;11;8;5;6;7;ab;2;1;14;ab;ab;15;12;ab;13
40;0;ab;11;4;3;ab;9;ab;10;8;5;6;7;ab;2;1;14;ab;ab;15;12;ab;13
41;0;ab;11;4;3;ab;9;ab;10;8;5;6;7;ab;2;1;13;ab;ab;15;14;ab;12
42;0;ab;11;4;3;ab;9;ab;10;8;5;6;7;ab;2;1;13;ab;ab;15;14;ab;12
43;0;ab;11;4;3;ab;9;ab;10;8;6;5;7;ab;2;1;13;ab;ab;15;14;ab;12
44;0;ab;11;4;3;ab;8;ab;10;9;6;5;7;ab;2;1;13;ab;ab;15;14;ab;12
45;0;ab;11;4;3;ab;8;ab;10;9;6;5;7;ab;2;1;13;ab;ab;15;14;ab;12
46;0;ab;11;4;3;ab;8;ab;10;9;5;6;7;ab;2;1;12;ab;ab;14;15;ab;13
47;0;ab;11;4;3;ab;10;ab;9;8;5;6;7;ab;2;1;12;ab;ab;14;15;ab;13
48;0;ab;10;4;3;ab;9;ab;11;8;5;6;7;ab;2;1;12;ab;ab;14;15;ab;13
49;0;ab;10;4;3;ab;9;ab;11;8;5;6;7;ab;2;1;12;ab;ab;14;15;ab;13
50;0;ab;10;6;3;ab;9;ab;11;8;4;5;7;ab;2;1;12;ab;ab;14;15;ab;13
51;0;ab;9;5;4;ab;8;ab;10;7;2;3;6;ab;1;ab;11;ab;ab;13;14;ab;12
52;0;ab;9;5;4;ab;8;ab;10;7;2;3;6;ab;1;ab;11;ab;ab;13;14;ab;12
53;0;ab;9;5;4;ab;8;ab;10;7;2;3;6;ab;1;ab;11;ab;ab;13;14;ab;12
54;0;ab;9;5;4;ab;8;ab;10;7;2;3;6;ab;1;ab;11;ab;ab;13;14;ab;12
55;0;ab;9;5;3;ab;8;ab;10;7;4;2;6;ab;1;ab;11;ab;ab;13;14;ab;12
56;0;ab;9;5;3;ab;8;ab;10;7;4;2;6;ab;1;ab;11;ab;ab;13;14;ab;12
57;0;ab;9;5;3;ab;8;ab;10;7;4;2;6;ab;1;ab;11;ab;ab;13;14;ab;12
58;0;ab;9;5;3;ab;8;ab;10;7;4;2;6;ab;1;ab;11;ab;ab;13;14;ab;12
59;0;ab;10;5;3;ab;8;ab;9;7;4;2;6;ab;1;ab;11;ab;ab;13;14;ab;12
60;0;ab;10;5;3;ab;8;ab;9;7;4;2;6;ab;1;ab;11;ab;ab;13;14;ab;12
61;0;ab;10;5;3;ab;8;ab;9;7;4;2;6;ab;1;ab;11;ab;ab;13;14;ab;12
62;0;ab;10;5;3;ab;8;ab;9;7;4;2;6;ab;1;ab;11;ab;ab;14;13;ab;12
63;0;ab;10;5;3;ab;8;ab;9;7;4;2;6;ab;1;ab;11;ab;ab;14;13;ab;12
64;0;ab;10;5;3;ab;7;ab;9;8;4;2;6;ab;1;ab;11;ab;ab;14;13;ab;12
65;0;ab;9;5;2;ab;7;ab;12;8;4;3;6;ab;1;ab;10;ab;ab;13;12;ab;11
66;0;ab;9;4;2;ab;7;ab;12;8;3;5;6;ab;1;ab;10;ab;ab;13;11;ab;11
67;0;ab;8;4;2;ab;6;ab;12;7;3;8;5;ab;1;ab;9;ab;ab;13;11;ab;10
68;0;ab;8;4;2;ab;6;ab;12;7;3;8;5;ab;1;ab;9;ab;ab;13;11;ab;10
69;0;ab;7;4;2;ab;6;ab;12;ab;3;8;5;ab;1;ab;9;ab;ab;13;11;ab;10
