;sc;MAS;RAI;TRU;ALO;BAR;FIS;RSC;HEI;KUB;MSC;WEB;DLR;ROS;BUT;LIU;SPE;ALB;COU;SAT;YAM;MTR;DOO
59;0;1;4;ab;2;7;5;ab;11;9;6;ab;8;ab;3;14;12;15;ab;10;17;16;13
60;0;1;4;ab;2;7;5;ab;11;9;6;ab;8;ab;3;14;12;15;ab;10;17;16;13
61;0;1;4;ab;2;7;5;ab;11;9;6;ab;8;ab;3;14;12;15;ab;10;17;16;13
62;0;1;4;ab;2;7;6;ab;11;9;5;ab;8;ab;3;14;12;15;ab;10;16;17;13
63;0;1;4;ab;2;7;6;ab;17;9;5;ab;8;ab;3;13;11;14;ab;10;16;15;12
64;0;1;4;ab;2;7;6;ab;17;9;5;ab;8;ab;3;13;11;14;ab;10;16;15;12
65;0;1;4;ab;2;7;6;ab;17;9;5;ab;8;ab;3;13;11;14;ab;10;16;15;12
66;0;1;4;ab;2;7;6;ab;17;9;5;ab;8;ab;3;13;11;14;ab;10;16;15;12
67;0;1;4;ab;2;7;6;ab;17;9;5;ab;8;ab;3;13;11;14;ab;10;16;15;12
68;0;1;5;ab;2;7;6;ab;17;9;4;ab;8;ab;3;13;11;14;ab;10;16;15;12
69;0;1;5;ab;2;7;6;ab;17;9;4;ab;8;ab;3;13;11;14;ab;10;ab;15;12
70;0;1;5;ab;2;7;6;ab;17;9;4;ab;8;ab;3;13;11;14;ab;10;ab;15;ab
